generation,best_avg_reward,avg_top_reward,worst_avg_reward
1,-677.8586430875821,-395.11928805820605,-927.6998702790974
2,-405.62129709089754,-420.08730675301194,-1431.4969962804196
3,-321.8422466855527,-404.8677898846943,-741.8281902872161
4,-238.4636132656821,-364.8323524579589,-1145.7446033621293
5,-507.8513304653017,-419.92549932119726,-969.6907842624208
6,-388.15400077749825,-390.9092301386765,-1045.4553958264169
7,-378.82550545255833,-417.06857404559526,-1070.742697785223
8,-413.08414206076606,-443.94975575385007,-1038.310927277829
9,-474.4530991655496,-563.6805322210023,-1347.2084819637214
10,-556.701101257223,-540.5135112471545,-981.2549661890832
11,-361.7869637364205,-464.24469161976924,-932.5387431361366
12,-408.51244119509386,-458.2145355386239,-904.6779137715688
13,-528.1533183501244,-627.1833146682836,-1297.005613417153
14,-272.49247077042355,-468.66952504360904,-1183.9822481536874
15,-84.66871976817706,-524.9416619397201,-981.0596632989042
16,-28.885815198248885,-442.7782101686651,-1561.5525361995146
17,-97.13473047258691,-519.0005774342069,-1500.294182379729
18,-36.552239224743815,-496.949004274087,-1292.9432668040895
19,-104.71647594117985,-493.9249981087263,-962.0708371304211
20,-528.1301377215083,-508.9959152031179,-1116.623293407051
21,-550.657411347084,-557.0519360032937,-1178.4303407651637
22,-372.9650198053743,-519.6797195274852,-1339.2515819013624
23,-553.1959079086494,-483.72013157225723,-1110.7711904892485
24,-453.31281827390086,-447.93191857480514,-1312.8344342696475
25,-357.88719778665865,-384.65177106168596,-1012.8171180975099
26,-163.58126426585187,-342.39189852742527,-1169.2055815199221
27,-265.21094750365626,-371.0972698693085,-1482.7572771909022
28,-153.0802670577352,-400.5949632284095,-1558.5793202223808
29,-464.8553832448978,-362.37441056148407,-890.31943405478
30,-171.00577034947267,-370.8546513659927,-1548.5249949028985
31,-349.3916586110302,-416.2088197318838,-1119.6795874398645
32,-362.8627159529459,-418.5884162820164,-971.6159591867975
33,-452.35268499930714,-387.62346002322494,-894.5691785143099
34,-360.2993356767293,-410.03593675946746,-863.1164326921219
35,-330.72916927904413,-361.12120959817844,-1269.1714957595111
36,-185.59285763292712,-433.66533479714127,-1033.505499569572
37,-186.0403082749918,-363.88324279520145,-691.7020537274817
38,-198.07604835224913,-434.6057758952229,-1119.165618988453
39,-148.08967373093793,-386.12925901347285,-1009.8983439837015
40,-27.424275354405005,-437.7949244311921,-910.6601961196997
41,-67.5064240483686,-380.1628599321887,-1021.9497681888408
42,-122.70169478012585,-413.47558230468564,-1015.7694087735019
43,-36.311920678104876,-424.55443427373706,-1289.132760527211
44,-59.874776282218775,-393.3381773012163,-1147.4354578952994
45,-264.27410333793193,-381.17255612877256,-1265.3907267319169
46,-153.07382126976296,-454.3611131882221,-1538.6127735228831
47,-237.26360114121763,-410.97213023496784,-776.6667661364381
48,-121.54390909594186,-416.0751655049126,-1036.5364238389382
49,-85.93074610446565,-378.9522162632831,-828.4739628931663
50,-129.99552510189216,-412.03891997967963,-902.9649982302938
51,-97.6219274981753,-340.42302918855825,-1036.5832849634667
52,-165.1375184563457,-410.8305788227979,-874.9598096733687
53,-91.68928923000702,-374.36789693169027,-782.6332281653049
54,-145.1805578613686,-343.0607279650474,-772.9593785305882
55,-101.85991374846034,-365.3230168391459,-729.1040581142075
56,-438.04586104191685,-411.1133360424199,-880.9325977119094
57,-95.65118941997194,-350.924015593582,-833.4346187565161
58,-80.40016627576367,-324.26669707938015,-786.6448948309446
59,-155.83087997615743,-307.0960903007701,-655.7180966888575
60,-115.92501691599618,-295.15277309591124,-854.6793572087014
61,-128.61887378693376,-331.84013646559526,-815.8119657871905
62,-39.534595623819506,-248.06753631935314,-706.3157678179947
63,-89.06351385752481,-302.78540179256254,-1180.521909637161
64,-72.37686808917799,-375.0506307022881,-870.8699453859547
65,-104.74348487859633,-356.38977365902616,-1116.3470428485841
66,-159.92511447557123,-343.5127089533304,-979.9254632027618
67,-109.07370633887635,-325.98444239127787,-772.5850965490076
68,-228.56504614287468,-443.03353782176225,-1563.5201724378917
69,-139.98413141885845,-337.0438034521137,-803.7077438240176
70,-100.33404541419816,-318.6882546367735,-682.4059882670463
