Timestamp_sec,CPU_Usage_Percent,GPU_Power_Watts
0.00,0.0,69.91
0.51,8.1,69.99
1.03,6.8,69.97
1.55,8.8,70.69
2.05,8.5,39.89
2.56,12.5,32.99
3.08,11.9,28.71
3.58,15.8,26.84
4.10,16.6,30.45
4.61,41.2,68.74
5.13,13.2,69.41
5.63,28.4,69.41
6.15,83.9,69.00
6.66,73.4,68.96
7.18,75.6,69.09
7.68,72.1,69.36
8.19,32.5,69.18
8.70,54.6,69.05
9.21,72.8,69.72
9.71,76.3,69.48
10.23,75.5,69.33
10.74,75.9,43.00
11.25,14.9,42.80
11.76,21.5,31.47
12.27,11.2,33.92
12.79,21.5,42.47
13.31,24.7,43.45
13.82,23.0,44.15
14.34,22.3,43.42
14.84,16.0,43.09
15.36,12.1,42.48
15.87,24.1,37.23
16.38,22.4,46.33
16.90,12.7,40.11
17.40,9.2,34.88
17.92,10.6,35.00
18.42,8.5,36.49
18.94,8.0,46.51
19.45,11.0,46.47
19.95,12.0,51.41
20.47,11.9,56.58
20.98,13.7,75.45
21.50,14.0,77.45
22.01,17.6,79.71
22.53,16.3,79.11
23.04,12.4,79.07
23.56,14.6,79.07
24.07,11.4,80.14
24.59,14.0,79.72
25.11,10.2,70.39
25.62,16.0,66.70
26.14,13.6,57.65
26.65,13.3,74.59
27.17,13.5,76.65
27.67,11.8,75.82
28.18,12.0,54.13
28.68,12.0,55.89
29.20,12.9,76.52
29.70,12.5,74.52
30.21,15.5,76.02
30.72,12.6,67.30
31.23,11.9,66.78
31.75,12.0,70.27
32.26,12.2,68.58
32.78,12.0,67.39
33.28,11.7,54.28
33.78,12.8,77.81
34.30,12.7,77.08
34.80,13.7,76.60
35.32,12.9,77.64
35.82,13.5,54.70
36.32,13.8,57.24
36.83,12.2,76.24
37.34,11.5,77.03
37.86,11.2,74.61
38.36,12.4,55.39
38.86,12.7,76.96
39.37,11.2,75.15
39.87,12.4,76.70
40.38,11.8,53.38
40.89,13.1,56.59
41.40,15.8,53.95
41.91,23.9,78.62
42.43,22.0,77.58
42.94,31.3,76.89
43.46,25.8,79.18
43.97,17.6,79.53
44.47,12.5,78.87
44.98,12.9,54.89
45.49,11.8,54.47
46.01,14.1,74.97
46.52,12.6,75.68
47.03,13.8,76.91
47.53,11.9,72.54
48.03,11.4,54.41
48.55,11.2,55.34
49.05,11.8,77.58
49.57,12.9,74.54
50.08,11.9,76.46
50.60,12.4,71.59
51.11,11.8,76.75
51.61,12.4,77.59
52.11,14.0,76.25
52.63,15.0,76.70
53.15,11.3,52.60
53.66,11.7,54.55
54.18,12.0,76.43
54.69,12.3,76.39
55.21,15.7,74.49
55.73,14.4,78.26
56.26,12.6,55.11
56.77,12.8,55.86
57.28,12.0,56.75
57.80,12.3,77.21
58.31,13.9,78.39
58.82,13.9,78.03
59.33,12.9,54.70
59.84,11.6,70.88
60.34,12.1,71.14
60.85,12.3,69.31
61.35,13.3,53.69
61.85,12.3,55.40
62.35,14.9,76.11
62.86,12.1,77.47
63.36,11.5,77.28
63.86,11.3,77.21
64.37,12.2,67.04
64.89,15.1,69.24
65.39,12.3,67.50
65.91,13.3,56.65
66.41,12.0,57.90
66.92,15.5,80.27
67.42,12.1,78.22
67.92,11.5,78.72
68.42,13.1,66.68
68.94,12.7,78.39
69.44,13.9,77.56
69.95,13.6,77.51
70.45,12.1,73.85
70.97,12.5,67.59
71.48,10.6,67.73
71.98,12.1,68.62
72.49,11.2,56.95
72.99,12.1,77.50
73.49,13.1,76.06
74.01,13.8,76.79
74.51,12.4,75.06
75.03,10.9,53.88
75.54,11.5,70.32
76.05,12.4,68.68
76.56,11.8,54.66
77.08,13.2,76.65
77.58,11.9,76.34
78.09,11.5,77.14
78.59,12.5,77.76
79.11,11.6,60.85
79.61,11.1,76.97
80.11,11.5,76.68
80.61,12.1,77.81
81.13,13.8,70.41
81.63,12.7,68.76
82.13,13.9,67.38
82.64,11.5,53.65
83.14,11.8,54.60
83.66,12.8,54.43
84.17,14.2,60.08
84.68,16.2,75.60
85.19,15.1,79.10
85.70,13.1,77.36
86.20,12.3,69.11
86.70,11.3,53.50
87.21,11.4,62.90
87.72,12.7,76.42
88.22,11.6,76.66
88.74,12.6,78.63
89.24,11.5,54.82
89.75,15.1,78.68
90.26,13.4,78.04
90.76,11.3,78.45
91.28,12.5,70.14
91.80,11.2,68.73
92.30,10.9,55.96
92.80,12.0,56.63
93.32,11.8,78.25
93.83,11.3,80.19
94.34,12.4,79.37
94.85,14.8,77.24
95.37,12.8,70.13
95.89,11.2,54.80
96.39,12.3,79.15
96.90,13.1,78.24
97.40,13.3,76.85
97.92,12.1,78.62
98.43,12.8,61.16
98.94,11.8,78.83
99.45,12.0,77.38
99.97,11.2,77.10
100.47,12.1,59.31
100.98,10.8,69.92
101.50,11.2,71.35
102.01,12.2,69.78
102.52,12.1,70.07
103.04,12.8,54.62
103.55,12.0,56.66
104.07,11.0,57.37
104.57,12.2,77.66
105.09,12.0,78.10
105.59,14.2,78.32
106.10,12.2,76.98
106.62,13.0,72.05
107.14,12.9,71.04
107.65,12.8,71.82
108.17,13.0,71.72
108.67,12.4,69.56
109.19,12.7,56.32
109.70,12.6,62.16
110.21,11.5,79.78
110.72,10.5,77.42
111.24,11.4,77.53
111.75,12.5,57.27
112.27,14.0,72.94
112.78,13.2,71.82
113.30,10.9,71.01
113.82,13.1,71.02
114.33,11.4,65.24
114.83,11.7,56.87
115.35,11.9,77.23
115.85,11.7,79.40
116.35,13.7,77.66
116.87,12.4,57.90
117.37,12.6,55.85
117.89,11.3,55.12
118.39,12.9,77.71
118.91,9.2,77.15
119.42,11.8,78.81
119.93,11.9,78.33
120.44,11.6,56.82
120.96,11.0,57.94
121.47,14.3,78.21
121.99,12.0,78.74
122.49,13.3,79.74
123.00,15.7,78.65
123.51,12.1,69.91
124.02,11.5,69.73
124.52,11.1,71.74
125.03,12.8,55.93
125.53,11.1,57.56
126.05,12.6,76.50
126.55,11.8,78.32
127.07,12.8,77.26
127.57,13.2,77.39
128.08,12.6,65.05
128.60,12.8,79.41
129.12,11.2,80.05
129.62,11.5,79.04
130.13,12.5,54.79
130.65,11.0,57.21
131.17,11.9,78.78
131.67,12.7,79.69
132.18,16.4,79.00
132.69,11.6,70.83
133.19,12.3,70.70
133.69,11.0,73.14
134.20,12.8,71.53
