Timestamp_sec,CPU_Usage_Percent,GPU_Power_Watts
0.00,0.0,71.23
0.51,14.9,71.30
1.03,20.2,72.08
1.53,21.1,71.64
2.05,54.5,70.67
2.55,82.0,71.08
3.06,73.1,71.96
3.58,74.7,70.86
4.08,53.7,72.10
4.59,48.7,70.99
5.10,88.9,71.49
5.61,100.0,70.94
6.13,100.0,71.32
6.66,100.0,42.98
7.18,100.0,29.44
7.69,100.0,26.89
8.20,100.0,32.89
8.73,100.0,32.07
9.25,100.0,31.82
9.76,91.2,33.52
10.26,65.9,34.64
10.78,60.4,36.47
11.28,29.5,44.78
11.80,19.7,45.15
12.31,23.3,45.08
12.83,23.8,47.28
13.34,17.5,48.56
13.86,10.5,46.41
14.38,17.6,43.55
14.88,17.5,43.67
15.40,9.5,34.54
15.90,7.9,26.83
16.40,9.0,40.64
16.92,12.5,45.83
17.42,15.2,49.67
17.93,19.7,50.29
18.43,20.5,52.52
18.93,20.8,52.63
19.44,23.3,52.84
19.94,23.4,53.31
20.46,23.7,55.42
20.96,23.0,53.87
21.47,21.8,53.34
21.97,22.5,53.02
22.48,22.7,75.16
23.00,20.3,77.18
23.50,21.4,76.18
24.01,22.1,76.89
24.52,21.0,77.19
25.02,25.1,53.41
25.54,23.7,53.48
26.05,20.7,52.40
26.57,19.9,52.37
27.09,20.5,53.18
27.60,18.4,51.65
28.10,23.3,54.77
28.61,20.7,53.62
29.11,22.3,53.32
29.62,23.2,53.15
30.13,21.2,53.40
30.64,22.3,53.10
31.14,21.9,53.41
31.66,22.6,53.61
32.16,22.3,52.81
32.68,20.7,52.61
33.19,20.8,53.00
33.70,21.2,53.12
34.20,20.1,52.33
34.70,23.1,52.51
35.21,23.2,53.06
35.73,23.5,54.71
36.23,21.8,54.69
36.74,21.9,53.41
37.25,22.0,53.46
37.75,20.7,53.55
38.27,23.3,53.35
38.77,25.7,53.65
39.29,27.6,53.23
39.79,22.5,53.74
40.30,22.0,53.39
40.81,21.2,53.35
41.32,20.3,52.53
41.82,21.6,77.93
42.33,20.0,75.85
42.83,23.0,77.72
43.33,22.9,77.03
43.84,21.6,55.10
44.34,22.1,53.93
44.84,21.4,53.52
45.35,22.9,53.38
45.85,22.4,53.33
46.36,19.9,53.10
46.87,20.8,53.19
47.39,24.4,79.05
47.89,20.2,78.33
48.40,19.9,76.35
48.92,22.0,78.01
49.42,21.7,77.91
49.92,21.3,53.20
50.44,23.4,53.84
50.94,22.0,53.74
51.45,19.3,52.27
51.96,18.0,52.65
52.48,19.8,54.55
52.98,20.8,54.38
53.48,21.1,53.65
53.99,23.6,53.48
54.50,24.2,53.85
55.02,22.0,52.60
55.54,20.0,53.41
56.05,20.4,53.18
56.57,19.2,52.68
57.08,20.0,53.28
57.60,18.9,50.98
58.10,20.1,53.68
58.60,21.8,53.69
59.11,21.5,53.63
59.62,22.3,53.65
60.14,21.8,53.87
60.66,20.3,54.52
61.17,21.1,54.98
61.69,21.6,54.25
62.20,21.6,53.70
62.72,21.0,53.99
63.23,20.2,53.44
63.75,21.1,53.84
64.26,20.5,53.38
64.78,21.1,53.84
65.29,20.6,53.65
65.81,21.1,53.50
66.33,19.2,53.13
66.84,20.1,53.92
67.36,20.4,52.68
67.86,20.2,53.57
68.38,21.4,53.39
68.89,20.5,53.51
69.40,19.8,54.75
69.91,20.0,54.62
70.43,19.1,54.56
70.93,22.0,54.23
71.45,18.5,51.81
71.96,21.7,53.77
72.47,22.7,54.77
72.97,24.5,54.87
73.48,20.9,54.51
73.98,22.0,54.30
74.49,23.0,54.33
74.99,19.8,54.06
75.51,20.4,54.62
76.01,20.3,53.42
76.52,21.8,52.82
77.04,19.1,52.38
77.56,22.5,53.50
78.07,21.2,53.08
78.58,23.3,53.52
79.08,21.7,53.91
79.59,19.1,54.18
80.10,23.1,54.45
80.61,22.4,54.06
81.11,24.2,53.49
81.62,18.9,53.55
82.13,18.4,53.03
82.64,20.0,53.80
83.15,21.3,54.25
83.67,21.0,53.97
84.19,22.0,53.38
84.70,22.3,53.99
85.21,20.4,54.19
85.73,20.5,53.70
86.25,20.7,53.21
86.76,19.5,53.58
87.28,22.3,52.10
87.78,22.6,54.39
88.29,22.8,53.34
88.79,22.3,52.72
89.31,21.6,53.62
89.81,23.4,53.64
90.32,22.8,53.57
90.82,21.6,54.24
91.32,21.9,53.81
91.83,21.3,53.11
92.33,19.2,51.02
92.83,22.9,52.35
93.34,22.3,52.90
93.85,19.3,51.59
94.37,21.0,51.57
94.89,19.6,50.71
95.39,20.4,52.17
95.89,20.8,53.39
96.40,19.1,53.19
96.92,20.9,52.60
97.42,20.9,53.17
97.92,20.5,52.99
98.43,22.5,52.38
98.93,25.0,52.72
99.43,20.5,52.80
99.94,18.6,52.67
100.44,21.5,52.84
100.94,22.4,53.40
101.45,19.4,52.43
101.95,20.5,53.61
102.45,22.8,54.04
102.95,21.6,53.84
103.46,22.4,53.47
103.97,20.1,53.91
104.48,20.1,54.02
104.98,20.9,53.50
105.49,20.9,53.57
106.01,21.9,53.89
