Timestamp_sec,CPU_Usage_Percent,GPU_Power_Watts
0.00,0.0,71.28
0.51,10.0,42.69
1.01,8.5,43.67
1.52,86.8,35.91
2.05,100.0,35.78
2.59,100.0,35.30
3.16,100.0,34.22
3.76,100.0,37.95
4.28,100.0,29.81
4.79,100.0,30.18
5.32,100.0,26.58
5.82,97.8,27.23
6.33,81.5,31.73
6.84,90.9,29.73
7.35,99.0,32.06
7.86,85.8,29.20
8.36,68.5,30.98
8.87,38.3,29.53
9.38,17.9,29.78
9.89,8.7,29.57
10.40,30.6,70.77
10.90,16.4,71.25
11.42,15.7,72.67
11.93,33.5,72.76
12.44,35.4,72.65
12.94,37.0,72.56
13.46,21.1,72.68
13.97,50.3,72.58
14.48,69.3,72.78
14.98,45.8,72.74
15.50,38.3,72.74
16.00,26.1,72.79
16.51,36.8,46.39
17.02,24.0,45.46
17.54,28.9,38.74
18.05,29.8,38.64
18.55,27.5,37.16
19.06,27.9,38.50
19.58,25.0,30.00
20.09,8.2,35.99
20.59,8.9,37.55
21.11,12.5,92.06
21.61,13.3,94.80
22.13,15.2,92.51
22.63,13.7,94.68
23.13,8.6,90.21
23.65,9.2,87.15
24.15,9.4,87.37
24.66,10.4,81.56
25.17,9.0,85.27
25.69,9.9,81.17
26.19,10.8,84.57
26.71,12.8,82.23
27.21,10.3,84.74
27.72,11.4,85.05
28.23,10.1,81.99
28.74,9.8,84.03
29.26,9.2,83.15
29.77,10.2,84.89
30.27,11.1,83.30
30.77,11.9,85.83
31.27,9.2,80.76
31.79,11.2,83.34
32.29,9.1,81.98
32.80,11.5,83.27
33.30,42.5,73.67
33.80,40.8,68.88
34.32,31.9,64.47
34.82,37.2,63.51
35.33,16.9,48.22
35.84,31.1,47.62
36.35,29.3,41.95
36.85,25.7,41.96
37.37,27.7,42.12
37.88,29.3,38.40
38.39,35.0,39.47
38.91,31.7,38.01
39.42,30.2,38.67
39.93,29.1,40.28
40.44,29.0,39.29
40.95,28.6,38.27
41.46,24.9,37.76
41.98,30.0,37.32
42.49,21.3,28.02
43.00,8.0,51.28
43.51,12.3,80.06
44.01,10.3,84.48
44.51,10.1,80.13
45.03,9.3,82.44
45.55,10.2,80.53
46.06,9.8,79.24
46.57,11.0,82.97
47.08,13.8,82.24
