Timestamp_sec,CPU_Usage_Percent,GPU_Power_Watts
0.00,0.0,27.00
0.52,11.4,30.98
1.03,7.7,30.04
1.54,32.3,31.72
2.05,84.5,29.78
2.57,100.0,27.26
3.17,100.0,30.91
3.78,100.0,29.72
4.34,100.0,32.82
4.87,100.0,71.46
5.38,100.0,71.11
5.89,100.0,71.40
6.40,99.4,70.90
6.91,95.4,71.28
7.42,94.3,44.00
7.93,98.8,36.78
8.44,74.0,31.79
8.95,53.0,28.05
9.46,40.3,27.50
9.97,8.6,30.28
10.48,8.3,28.41
10.99,35.4,70.74
11.50,26.2,70.94
12.00,31.3,71.11
12.51,59.4,70.83
13.03,59.6,71.10
13.54,62.7,71.32
14.05,57.6,71.16
14.57,60.1,71.01
15.08,58.8,71.27
15.59,70.0,71.65
16.09,62.9,72.82
16.61,65.2,71.94
17.11,58.7,45.69
17.63,62.7,44.90
18.13,57.0,30.91
18.65,64.6,33.32
19.16,63.0,30.25
19.68,63.8,32.46
20.19,54.3,29.77
20.70,54.8,32.03
21.22,53.9,29.61
21.74,54.2,33.41
22.25,56.7,30.20
22.77,58.0,29.34
23.27,54.5,29.41
23.79,58.8,31.10
24.31,56.0,30.96
24.81,59.6,30.50
25.33,54.9,34.56
25.83,56.8,30.30
26.35,53.3,34.77
26.86,56.8,32.33
27.38,58.4,32.37
27.89,57.2,29.15
28.41,56.7,30.20
28.92,58.1,29.52
29.43,58.4,32.07
29.95,58.8,29.41
30.46,57.9,31.12
30.98,55.1,30.26
31.50,55.1,30.98
32.00,56.3,31.42
32.51,57.0,32.23
33.02,55.4,31.78
33.53,56.9,32.31
34.03,53.8,33.22
34.55,56.8,33.39
35.07,53.8,29.73
35.58,59.0,29.42
36.10,59.0,30.75
36.60,58.1,28.72
37.12,53.5,29.65
37.64,52.3,29.12
38.16,56.1,30.86
38.67,55.6,31.09
39.19,55.2,29.44
39.71,58.0,28.86
40.22,56.5,29.53
40.73,55.7,29.38
41.23,52.2,30.62
41.75,57.0,30.32
42.25,54.4,30.60
42.75,54.9,31.50
43.27,55.6,30.59
43.77,54.6,32.12
44.29,54.4,31.26
44.80,51.8,30.36
45.32,56.1,29.17
45.84,56.4,29.63
46.36,50.9,30.01
46.87,55.8,30.53
47.39,54.6,31.01
47.90,60.0,32.13
48.41,58.0,32.04
48.92,66.9,29.23
49.44,68.8,30.91
49.96,66.9,28.57
50.47,64.8,31.27
50.99,60.0,30.60
51.51,56.4,31.85
52.03,53.8,29.70
52.53,54.5,32.46
53.04,52.5,30.05
53.55,58.7,29.29
54.07,24.9,27.11
54.59,9.1,44.84
55.11,9.4,83.85
55.61,9.3,83.67
56.11,9.7,84.17
56.63,11.0,83.42
57.13,12.2,85.72
57.65,14.6,87.38
58.16,9.5,87.62
58.68,14.1,89.09
59.19,11.0,88.75
59.69,13.8,90.70
60.20,10.7,90.85
60.71,10.5,90.87
61.23,8.8,86.34
61.75,10.4,83.28
