Timestamp_sec,CPU_Usage_Percent,GPU_Power_Watts
0,6,7.24
0.5,5.8,5.21
1,11.5,4.79
1.5,7.6,4.88
2,10.5,4.82
2.5,25.5,4.85
3,63.6,4.85
3.5,74.5,5.21
4.01,75.6,5.9
4.51,70.3,6.29
5.01,40.4,5.76
5.51,12.2,5.33
6.01,8.7,5.46
6.51,19.9,5.3
7.01,40.8,8.8
7.51,16.6,20.11
8.01,33.9,29.65
8.51,33.7,30.63
9.01,30.5,31.46
9.51,36.9,31.55
10.01,19.6,31.65
10.51,34.3,31.77
11.01,36.6,31.79
11.51,32.4,31.76
12.01,7.6,31.71
12.52,9.5,31.33
13.02,9.3,44.91
13.52,11.2,61.82
14.02,10.2,69.53
14.52,10.3,72.29
15.02,9.1,72.41
15.52,11.2,71.47
16.02,25.8,69.35
16.52,26.8,51.06
17.02,36.5,29.42
17.52,31.6,20.81
18.02,25.4,19.68
18.52,28.3,19.4
19.02,38.3,19.12
19.52,25,18.8
20.02,16.1,18.62
20.52,9.9,22.63
21.02,10,42.42
21.52,10.6,65.85
22.02,8.5,76.63
22.53,7.5,81.57
23.03,9,84.22
23.53,13.9,84.89
24.03,31.4,71.74
24.53,27.8,52.23
25.03,27.6,37.98
25.53,28.4,28.03
26.03,25.8,19.6
26.53,29.4,19.21
27.03,19,18.95
27.54,20.6,18.74
28.04,5.9,18.93
28.54,7.5,33.98
29.04,6,53.79
29.54,6.5,61.89
30.04,6.8,61.7
30.54,6.4,60.84
31.04,5.3,59.37
31.54,19.1,58.55
32.04,22.8,48.02
32.54,18.8,34.62
33.04,34.3,29.05
33.54,42.2,24.64
34.04,11.1,19.99
34.54,31.5,18.86
35.04,28.4,18.67
35.55,14.3,18.43
36.05,5.6,20
36.55,6.5,36.47
37.05,6.9,59.44
37.55,6.4,70.77
38.05,7.1,75.81
38.55,8.2,82.17
39.05,9.3,84.8
39.55,19.8,78.73
40.05,42.4,58.92
40.55,26.4,42.03
41.06,33.1,41.98
41.56,29,31.88
42.06,32.3,21.4
42.56,18.8,18.88
43.06,29.6,18.64
43.56,5.8,18.34
44.06,5.7,29.03
44.56,5.3,48.89
