Timestamp_sec,CPU_Usage_Percent,GPU_Power_Watts
0.00,3.1,4.68
0.50,4.1,4.68
1.00,28.3,4.73
1.50,65.4,4.81
2.00,76.2,5.38
2.50,72.3,6.06
3.01,72.3,6.20
3.51,48.0,5.69
4.01,18.4,5.13
4.51,9.4,4.89
5.01,49.7,9.20
5.51,39.5,20.57
6.01,48.0,30.02
6.51,53.6,30.37
7.01,52.3,30.44
7.51,48.3,30.51
8.01,50.0,30.46
8.52,53.9,30.40
9.02,44.6,30.38
9.52,49.8,30.45
10.02,50.3,30.44
10.52,48.3,30.39
11.02,50.1,30.21
11.52,54.3,30.11
12.02,46.8,25.44
12.52,51.0,17.68
13.02,48.8,12.35
13.52,43.9,10.88
14.03,46.9,8.79
14.53,48.6,7.13
15.03,48.3,7.05
15.53,53.8,7.14
16.03,50.6,7.13
16.54,46.9,7.15
17.04,51.0,7.08
17.54,51.4,7.10
18.04,47.2,7.07
18.54,46.0,6.98
19.04,48.3,6.84
19.54,48.3,6.93
20.05,43.6,7.08
20.55,46.5,7.20
21.05,50.0,7.17
21.55,42.7,7.18
22.05,45.8,7.10
22.55,45.0,7.11
23.05,46.4,7.16
23.55,40.7,7.00
24.05,43.7,6.91
24.55,46.3,6.97
25.05,41.9,6.99
25.56,44.6,7.00
26.06,41.0,6.96
26.56,43.8,7.02
27.06,43.8,6.86
27.56,42.8,6.96
28.06,43.1,6.94
28.56,45.8,6.87
29.06,43.1,6.86
29.57,42.2,6.92
30.07,42.2,6.77
30.57,41.8,6.72
31.07,6.4,6.63
31.57,5.7,7.74
32.07,5.9,31.61
32.57,6.7,67.55
33.07,7.7,85.94
33.57,6.6,85.21
34.07,5.7,81.27
34.57,6.5,74.57
35.07,21.4,69.72
35.57,49.2,54.93
36.07,43.8,33.12
36.57,44.7,20.75
37.07,45.9,19.08
37.57,46.0,18.65
38.07,42.9,18.28
38.58,45.9,17.98
39.08,46.2,17.82
39.58,47.3,17.76
40.08,46.4,16.91
40.58,43.0,14.73
41.08,44.6,12.10
41.58,46.0,10.78
42.08,40.9,9.08
42.59,44.1,7.16
43.09,38.8,6.86
43.59,44.9,6.90
44.09,40.6,6.91
44.59,46.2,6.90
45.09,43.2,6.86
45.60,41.9,6.93
46.10,43.9,6.76
46.60,40.8,6.84
47.10,45.5,6.89
47.60,42.9,7.02
48.10,44.5,6.94
48.60,41.9,6.96
49.10,46.2,6.93
49.61,44.9,6.92
50.11,41.9,6.87
50.61,45.5,6.98
51.11,44.2,6.98
51.61,43.7,6.98
52.11,43.6,7.05
52.61,47.0,7.08
53.12,40.6,7.14
53.62,44.3,7.05
54.12,43.1,6.96
54.62,47.4,7.06
55.12,46.1,7.07
55.62,42.6,7.14
56.12,44.0,7.11
56.62,44.8,6.93
57.12,46.0,6.84
57.62,42.6,6.95
58.13,49.1,6.99
58.63,43.4,6.94
59.13,45.5,6.95
59.63,43.8,6.97
60.13,46.1,6.86
60.63,9.6,6.87
61.13,6.1,7.85
61.63,6.5,39.42
62.13,6.8,75.86
62.63,5.0,88.49
63.13,7.2,88.14
63.63,6.5,88.42
64.13,20.1,88.33
64.63,48.2,80.60
65.14,44.5,58.25
65.64,46.2,38.46
66.14,48.9,28.92
66.64,43.4,19.19
67.14,44.3,18.62
67.64,51.2,18.34
68.14,43.2,18.16
68.64,46.2,17.98
69.14,42.4,17.80
69.64,47.5,16.44
70.14,42.7,14.19
70.65,45.2,11.97
71.15,41.8,10.79
71.65,44.1,8.96
72.15,46.9,7.22
72.65,42.5,6.81
73.15,44.9,6.88
73.65,43.5,6.98
74.15,46.4,6.81
74.65,46.3,6.88
75.15,42.8,7.04
75.65,42.8,7.00
76.16,44.8,6.84
76.66,43.6,6.75
77.16,41.2,6.82
77.66,44.1,6.91
78.16,43.9,6.93
78.66,43.8,6.99
79.16,40.8,7.00
79.66,44.1,6.72
80.17,45.3,6.62
80.67,46.7,6.87
81.17,41.3,6.94
81.67,42.7,6.83
82.17,47.0,6.77
82.67,44.5,6.80
83.17,39.4,6.79
83.67,45.2,6.74
84.17,43.2,6.75
84.67,47.0,6.80
85.17,43.8,6.83
85.68,46.7,6.82
86.18,44.3,6.92
86.68,40.0,6.66
87.18,45.1,6.66
87.68,44.8,6.70
88.18,43.8,6.66
88.68,42.5,6.61
89.18,44.4,6.68
89.68,42.8,6.69
90.18,11.4,7.38
90.68,6.4,30.10
91.18,5.5,65.51
91.68,5.8,85.45
92.18,5.8,86.37
92.69,7.9,87.08
93.19,6.3,87.20
93.69,8.4,87.62
94.19,42.9,64.44
94.69,46.4,34.71
95.19,46.6,20.94
95.69,45.6,19.20
96.19,46.1,18.81
96.69,44.2,18.44
97.19,44.3,18.24
97.69,48.8,18.09
98.20,44.7,17.91
98.70,42.7,16.06
99.20,47.6,13.77
99.70,49.4,12.19
100.20,43.4,11.07
100.70,43.1,9.12
101.20,48.6,7.23
101.70,46.7,7.13
102.20,42.9,6.95
102.70,44.2,6.91
103.20,41.2,6.95
103.70,47.3,6.97
104.21,43.9,7.04
104.71,44.5,7.02
105.21,46.5,7.03
105.71,47.0,7.12
106.21,40.9,7.01
106.71,40.2,6.87
107.21,46.4,7.02
107.72,44.8,7.18
108.22,44.9,7.02
108.72,47.7,6.90
109.22,43.2,6.87
109.72,42.7,7.07
110.22,45.9,7.00
110.72,43.4,6.97
111.22,43.2,6.86
111.72,43.8,6.92
112.22,42.9,6.88
112.72,44.3,6.75
113.23,39.1,6.77
113.73,47.3,6.86
114.23,41.7,6.70
114.73,45.0,6.73
115.23,46.0,6.93
115.73,46.9,6.91
116.23,43.3,6.93
116.73,42.9,6.90
117.23,47.6,6.84
117.73,44.7,6.85
118.24,41.0,6.81
118.74,46.9,6.87
119.24,29.9,6.79
119.74,6.1,17.04
120.24,7.9,54.52
120.74,7.0,88.30
121.24,6.8,90.35
121.74,6.3,90.65
122.24,7.2,90.97
122.74,17.7,88.90
123.24,50.3,65.74
123.74,44.9,42.56
124.24,44.9,40.23
124.75,45.1,32.57
125.25,48.1,22.55
125.75,44.1,18.07
126.25,47.9,17.87
126.75,47.7,17.77
127.25,48.5,17.66
127.75,53.2,17.59
128.25,45.5,15.50
128.75,49.8,12.12
129.25,43.7,10.85
129.76,44.7,10.06
130.26,46.3,8.44
130.76,40.5,7.03
131.26,45.3,7.01
131.76,48.3,7.12
132.26,43.0,7.10
132.76,44.4,6.97
133.26,45.9,7.05
133.77,46.4,7.11
134.27,44.8,7.17
134.77,46.0,7.12
135.27,41.1,7.09
135.77,44.6,7.15
136.27,46.4,7.13
136.77,42.3,7.11
137.27,43.6,7.02
137.77,44.8,6.89
138.27,42.2,6.99
138.77,45.8,7.04
139.28,41.6,7.10
139.78,46.0,7.22
140.28,44.7,7.09
140.78,44.7,7.13
141.28,45.8,7.28
141.78,40.7,7.31
142.28,44.4,7.09
142.79,39.0,7.02
143.29,44.1,7.30
143.79,42.2,7.26
144.29,46.0,7.12
144.79,42.9,6.96
145.29,48.9,7.18
145.79,43.6,7.19
146.30,52.0,7.12
146.81,43.1,7.10
147.31,46.1,7.16
147.81,44.1,7.04
148.31,6.6,7.49
148.81,6.2,35.25
149.32,6.0,67.11
149.82,6.0,80.23
150.32,7.1,85.31
150.82,5.7,87.51
151.32,7.1,87.50
151.82,19.8,81.87
152.32,45.6,60.28
152.82,49.2,34.55
153.32,45.4,24.79
153.82,50.1,18.56
154.32,47.6,18.23
154.82,46.3,18.05
155.32,49.0,17.84
155.82,46.6,17.57
156.32,48.1,17.38
156.83,45.0,16.06
157.33,45.9,13.96
157.83,48.2,11.75
158.33,44.1,10.46
158.83,45.1,8.75
159.33,43.4,7.54
159.83,42.1,7.18
160.33,42.8,7.08
160.83,46.4,7.08
161.34,48.8,7.28
161.84,45.1,7.08
162.34,46.8,7.03
162.84,47.0,7.05
163.34,45.4,7.09
163.84,45.8,7.07
164.34,45.5,7.04
164.84,46.9,6.86
165.34,44.7,7.00
165.84,42.8,7.11
166.34,46.3,7.21
166.85,40.4,6.96
167.35,45.1,7.00
167.85,47.2,7.26
168.35,45.4,7.27
168.85,42.8,7.16
169.35,43.5,7.20
169.85,44.9,7.18
170.36,42.1,7.27
170.86,43.8,7.19
171.36,45.4,7.26
171.86,44.1,7.20
172.36,47.4,7.26
172.86,43.2,7.08
173.36,44.0,7.03
173.86,50.4,7.03
174.36,40.9,7.02
174.86,44.4,7.04
175.36,47.1,6.97
175.86,49.9,7.13
176.36,45.2,7.19
176.87,23.8,6.93
177.37,4.8,16.38
177.87,5.2,48.47
178.37,6.7,77.13
178.87,5.3,78.51
179.37,6.7,77.65
179.87,5.4,76.23
