Timestamp_sec,CPU_Usage_Percent,GPU_Power_Watts
0.00,0.0,71.42
0.51,23.8,71.87
1.02,23.4,71.04
1.53,13.0,70.89
2.04,11.6,70.90
2.55,63.9,70.71
3.06,72.0,70.85
3.57,77.1,70.84
4.08,74.2,71.36
4.59,41.9,70.83
5.10,61.6,70.89
5.60,74.4,70.95
6.11,73.8,71.30
6.62,77.1,54.41
7.13,76.4,42.34
7.63,31.5,41.54
8.15,13.4,40.75
8.67,28.5,46.03
9.18,38.7,48.17
9.70,25.4,48.21
10.21,21.9,47.01
10.73,20.3,46.79
11.24,13.5,44.18
11.76,13.9,40.68
12.26,16.4,44.19
12.76,11.4,37.09
13.27,9.4,42.65
13.78,8.8,39.44
14.30,9.9,46.68
14.81,15.1,73.51
15.32,15.1,77.67
15.83,13.3,78.69
16.35,15.0,76.34
16.85,13.5,78.34
17.35,14.0,76.74
17.87,15.3,75.74
18.39,15.0,75.87
18.90,13.5,52.71
19.42,15.4,78.01
19.92,13.0,76.00
20.42,12.5,76.94
20.92,12.6,78.16
21.43,12.8,76.39
21.94,12.4,52.27
22.44,12.2,54.43
22.96,12.2,53.35
23.47,13.7,53.75
23.98,12.6,52.63
24.49,14.5,54.51
25.01,13.7,52.82
25.52,15.0,54.07
26.04,14.7,53.97
26.55,13.7,52.56
27.06,13.8,52.89
27.57,15.2,53.89
28.08,11.8,55.08
28.59,12.7,53.67
29.09,12.2,54.38
29.61,11.7,55.56
30.12,10.8,53.46
30.63,12.2,52.58
31.13,13.0,52.76
31.63,12.7,52.87
32.13,12.6,53.77
32.65,13.4,53.49
33.17,15.7,54.92
33.68,16.3,55.19
34.20,14.6,54.27
34.71,14.1,54.91
35.22,12.7,54.24
35.72,11.7,52.55
36.22,11.7,54.80
36.74,12.7,53.02
37.25,12.7,53.70
37.77,12.4,52.86
38.27,13.8,54.55
38.78,13.6,54.08
39.28,14.7,54.32
39.79,13.4,54.54
40.30,12.4,54.50
40.81,12.6,53.22
41.33,13.1,54.37
41.83,12.1,54.09
42.35,14.0,53.64
42.87,13.8,55.52
43.37,12.4,53.15
43.87,14.2,54.39
44.39,11.1,53.37
44.90,12.1,52.84
45.42,11.0,52.99
45.92,13.1,54.59
46.43,12.9,53.29
46.93,13.9,53.91
47.43,12.6,52.63
47.95,16.2,53.25
48.46,14.2,53.77
48.98,12.1,54.67
49.49,11.9,53.22
50.01,12.5,52.97
50.51,13.7,54.07
51.02,12.4,54.36
51.52,14.0,54.88
52.02,13.1,53.09
52.53,14.2,52.39
53.04,15.5,76.15
53.56,16.5,78.41
54.06,19.8,77.89
54.56,13.3,78.81
55.07,11.1,78.23
55.58,11.1,57.96
56.10,13.0,54.33
56.61,12.3,53.45
57.13,10.5,54.51
57.64,14.3,56.19
58.16,11.9,55.35
58.67,12.0,53.45
59.18,14.3,53.14
59.69,12.4,53.07
60.20,12.1,54.10
60.72,11.9,54.02
61.23,10.4,52.73
61.75,12.9,53.97
62.26,14.1,54.85
62.78,13.6,54.46
63.29,14.1,53.49
63.81,14.7,52.01
64.33,11.1,53.27
64.83,11.8,53.91
65.34,12.4,55.10
65.86,12.0,55.11
66.38,11.8,53.75
66.89,12.1,56.09
67.41,11.9,54.71
67.92,14.1,55.20
68.44,14.5,77.22
68.95,12.1,78.06
69.47,13.1,76.48
69.98,11.1,77.27
70.48,12.7,77.30
71.00,11.1,52.57
71.52,13.4,78.67
72.02,12.0,76.53
72.54,12.7,77.40
73.05,13.0,77.48
73.57,13.2,76.94
74.07,11.5,51.98
74.57,13.9,54.38
75.09,13.0,54.75
75.60,12.9,54.59
76.12,12.5,54.69
76.63,10.5,53.39
77.13,13.3,51.84
77.65,12.4,52.24
78.16,11.9,52.14
78.68,11.9,54.59
79.19,12.7,53.01
79.71,12.2,53.50
80.21,13.8,54.85
80.73,13.3,52.95
81.25,19.5,49.87
81.75,10.3,49.14
82.25,11.1,51.48
82.77,13.5,51.58
83.28,10.5,52.85
83.80,12.5,54.45
84.30,15.6,53.71
84.80,11.1,55.79
85.32,12.9,55.20
85.82,13.8,53.06
86.34,12.7,54.66
86.84,13.9,53.58
87.34,12.0,53.61
87.86,13.5,54.89
88.36,12.2,55.19
88.86,12.0,55.12
89.37,11.6,55.23
89.88,13.3,52.45
90.40,14.8,55.62
90.90,13.2,55.05
91.42,11.3,53.73
91.93,13.7,54.99
92.45,14.7,55.66
92.96,14.1,54.00
93.48,13.6,54.31
94.00,14.7,53.96
94.50,12.8,53.32
95.01,11.3,53.53
95.51,11.5,54.79
96.01,12.3,52.88
96.53,12.0,54.62
97.04,12.7,53.19
97.55,13.8,53.09
98.06,11.7,52.85
98.57,13.0,53.07
99.09,12.2,53.62
99.60,12.7,53.02
100.11,12.4,56.02
100.62,12.7,53.99
101.13,12.2,54.13
101.63,11.7,55.19
102.14,14.4,54.06
102.65,13.1,55.33
103.17,12.8,55.45
103.68,15.8,75.60
104.19,14.3,76.34
104.70,13.1,75.15
105.22,11.7,51.77
105.73,13.0,53.55
106.24,11.1,54.57
106.75,12.3,53.76
107.25,12.0,55.17
107.76,11.9,54.69
108.27,11.7,53.81
108.77,12.8,54.48
109.28,12.4,53.46
109.79,14.0,55.06
110.31,13.2,53.14
110.82,13.5,53.57
111.33,11.6,51.56
111.84,13.6,52.40
112.34,11.1,53.03
112.85,11.9,54.36
113.35,11.0,51.95
113.87,13.5,52.65
114.38,12.3,54.52
114.90,12.5,53.13
115.41,13.5,55.05
115.92,14.9,54.97
116.42,13.8,56.30
116.92,11.4,54.12
117.44,12.1,55.13
117.94,11.2,53.67
118.46,12.5,53.77
118.96,12.9,53.22
119.48,14.6,53.52
119.98,12.9,52.07
120.48,12.8,54.44
121.00,13.3,54.55
121.51,13.5,52.99
122.03,11.8,52.28
122.55,12.5,54.25
123.06,11.6,55.16
123.58,12.6,54.06
124.10,12.9,53.05
124.61,13.9,53.92
125.13,12.7,53.75
125.64,13.7,53.82
126.15,13.0,53.80
