Timestamp_sec,CPU_Usage_Percent,GPU_Power_Watts
0.00,0.0,27.54
0.52,32.0,69.49
1.03,15.0,69.84
1.54,11.3,69.73
2.05,9.9,70.03
2.56,75.5,70.02
3.07,70.1,69.06
3.58,74.4,69.42
4.09,75.2,69.41
4.60,40.0,70.39
5.11,68.7,69.62
5.62,78.5,70.46
6.12,77.0,70.27
6.63,78.3,52.56
7.14,80.6,42.39
7.66,46.9,34.99
8.17,15.8,37.45
8.67,16.4,43.08
9.18,23.6,45.05
9.69,22.1,43.76
10.21,21.6,43.84
10.72,14.5,42.57
11.24,13.5,43.19
11.74,18.5,43.05
12.26,14.7,45.00
12.77,9.1,32.94
13.29,9.3,27.16
13.80,10.2,40.71
14.32,13.4,45.59
14.83,13.7,50.82
15.33,20.7,53.76
15.83,22.3,54.24
16.34,21.0,53.83
16.84,23.4,59.39
17.34,20.7,75.90
17.86,21.0,75.93
18.36,22.3,78.03
18.86,20.1,52.21
19.37,20.7,53.47
19.87,22.0,53.48
20.39,20.0,53.73
20.89,24.1,53.94
21.40,22.1,54.33
21.90,22.1,53.20
22.40,21.8,54.88
22.90,22.6,54.76
23.41,19.9,51.74
23.91,20.3,54.09
24.41,23.3,54.65
24.91,21.1,54.95
25.42,22.5,54.22
25.93,22.6,53.07
26.44,21.4,55.25
26.94,18.8,54.60
27.45,23.1,54.99
27.97,19.5,52.14
28.47,21.0,53.68
28.99,20.3,53.47
29.49,21.1,53.29
30.00,22.2,53.73
30.51,18.8,51.02
31.01,20.9,54.66
31.53,21.0,53.93
32.03,20.4,54.66
32.54,21.2,54.44
33.04,23.5,52.45
33.55,19.9,53.34
34.05,21.8,53.20
34.55,18.2,52.65
35.05,21.4,53.52
35.55,22.1,54.04
36.07,25.6,54.21
36.57,21.2,53.94
37.08,19.0,53.40
37.58,21.2,53.13
38.10,20.0,52.63
38.60,18.5,53.77
39.11,23.0,54.27
39.62,20.6,54.71
40.12,19.1,54.22
40.63,21.5,54.24
41.13,21.0,54.02
41.63,18.8,55.15
42.15,24.8,54.60
42.67,21.1,52.17
43.18,22.8,54.39
43.68,20.3,54.10
44.19,21.3,54.26
44.70,19.9,54.66
45.21,19.1,53.87
45.71,19.1,53.15
46.21,22.3,52.34
46.71,20.7,54.42
47.22,20.0,52.75
47.72,21.2,54.54
48.22,21.1,51.87
48.73,22.1,54.27
49.24,23.9,54.32
49.75,19.6,52.24
50.26,19.1,53.54
50.78,20.7,53.71
51.30,20.2,54.05
51.81,21.5,55.55
52.33,21.3,55.38
52.84,19.9,55.34
53.36,20.4,55.27
53.88,19.5,53.36
54.39,21.1,55.25
54.90,21.0,53.18
55.40,20.3,54.44
55.90,23.3,54.54
56.42,19.4,55.24
56.92,20.9,54.49
57.42,21.0,55.46
57.93,20.4,54.12
58.43,22.7,55.18
58.94,20.4,55.16
59.45,17.4,53.32
59.97,19.8,55.03
60.48,18.5,53.62
60.99,20.6,54.26
61.49,19.4,54.37
62.01,23.6,54.53
62.52,19.4,54.05
63.03,20.6,54.77
63.55,19.9,54.12
64.07,20.6,52.65
64.58,18.8,53.69
65.10,20.1,54.28
65.60,19.0,54.43
66.11,21.8,54.13
66.62,20.0,54.40
67.12,21.8,55.04
67.62,20.4,54.19
68.12,19.6,53.96
68.64,20.5,54.80
69.14,20.2,55.00
69.66,20.5,55.04
70.16,22.0,55.06
70.68,20.7,54.60
71.18,24.4,54.59
71.70,17.7,51.44
72.21,20.1,53.52
72.73,20.4,54.95
73.23,21.2,53.97
73.75,20.0,53.90
74.25,19.9,53.83
74.77,19.6,54.55
75.27,22.2,51.98
75.78,22.1,49.94
76.29,12.1,49.47
76.80,18.2,52.11
77.30,20.2,54.60
77.82,18.9,53.46
78.33,21.5,54.37
78.84,22.0,54.73
79.35,22.1,53.36
79.87,23.2,54.19
80.38,20.7,53.08
80.90,20.3,54.51
81.42,24.8,54.55
81.92,22.6,54.97
82.42,19.9,55.07
82.92,18.9,55.15
83.44,19.8,55.08
83.94,21.2,54.65
84.46,20.4,54.14
84.96,18.9,52.25
85.48,21.8,55.16
85.99,22.2,54.91
86.49,21.6,55.30
87.01,20.6,55.20
87.52,19.9,53.28
88.04,20.9,55.26
88.54,20.6,55.61
89.05,23.4,76.34
89.55,20.4,76.12
90.05,20.1,76.06
90.55,21.3,54.59
91.05,20.7,54.32
91.57,20.1,54.86
92.07,22.5,54.70
92.59,22.6,54.06
93.09,23.9,53.39
93.59,19.4,52.51
94.11,21.7,54.40
94.61,20.5,53.99
95.12,23.1,54.84
95.62,21.3,55.54
96.13,20.5,53.50
96.63,22.7,54.98
97.15,22.0,55.57
97.65,20.8,55.20
98.16,21.6,55.06
98.67,19.7,55.84
99.17,21.8,55.63
99.68,20.1,54.03
100.18,21.7,54.84
100.70,18.6,53.39
101.21,21.6,54.93
101.73,22.1,54.74
102.24,24.6,54.37
102.76,22.9,54.86
103.26,25.0,54.33
103.77,20.7,54.75
104.28,21.6,54.03
104.79,21.5,54.18
105.30,23.4,54.38
105.81,23.2,54.38
106.31,20.6,55.07
106.81,21.4,54.09
107.33,18.8,54.27
107.84,19.3,52.81
108.34,18.7,54.29
108.86,23.1,54.05
109.36,20.5,55.41
109.86,21.8,54.89
110.37,21.7,55.40
110.87,19.4,54.70
111.38,22.6,54.88
111.89,22.3,55.07
112.40,21.8,54.53
112.90,19.7,54.07
113.42,18.7,54.42
113.92,19.2,54.13
114.44,20.1,54.90
114.96,21.5,53.84
115.47,19.8,53.54
115.98,22.3,55.13
116.49,21.3,54.70
117.01,21.9,54.75
117.52,19.8,54.03
118.03,23.8,53.73
118.54,19.2,53.10
119.05,21.7,54.94
119.56,21.3,55.33
120.08,21.2,55.23
120.60,20.2,54.99
121.11,21.0,54.87
121.61,20.0,54.43
122.12,21.2,53.07
122.62,24.0,54.14
123.13,24.2,54.01
123.65,21.9,55.05
124.16,21.7,53.55
124.67,22.0,54.96
125.18,20.9,54.82
125.68,20.2,55.07
126.20,21.0,54.94
126.71,22.0,55.29
127.21,20.4,54.92
127.71,21.9,54.25
128.23,21.1,55.41
