Timestamp_sec,CPU_Usage_Percent,GPU_Power_Watts
0.00,0.0,34.41
0.51,51.5,34.64
1.02,45.1,34.59
1.54,46.3,35.35
2.04,80.4,35.19
2.57,99.8,34.44
3.11,100.0,36.47
3.80,100.0,35.57
4.37,100.0,35.99
4.91,100.0,36.11
5.42,100.0,31.53
5.95,100.0,27.60
6.45,100.0,27.05
6.96,99.8,37.73
7.48,98.3,34.45
7.98,94.9,27.66
8.49,94.3,36.39
9.00,80.3,27.37
9.51,50.0,27.08
10.02,31.5,27.66
10.53,14.1,26.64
11.04,8.0,27.16
11.55,34.6,70.08
12.05,17.9,70.41
12.56,21.8,72.04
13.08,42.0,71.44
13.60,45.5,71.42
14.11,45.6,71.41
14.63,46.8,71.15
15.14,43.1,71.42
15.64,42.7,71.09
16.16,48.1,71.53
16.67,43.1,71.44
17.19,42.9,72.08
17.70,42.2,45.73
18.22,45.8,46.41
18.73,45.4,35.11
19.25,44.8,36.50
19.76,44.8,33.37
20.28,48.7,35.21
20.79,44.0,33.84
21.31,44.0,32.95
21.82,51.6,34.32
22.34,44.3,33.71
22.85,45.2,34.14
23.37,46.8,36.42
23.89,41.2,35.17
24.39,40.5,33.35
24.89,40.6,34.06
25.41,39.9,33.48
25.92,39.1,32.99
26.44,39.7,34.31
26.95,22.4,27.11
27.45,8.9,39.13
27.97,9.8,80.45
28.49,9.5,81.01
29.00,11.2,80.94
29.52,9.3,83.15
30.03,9.9,84.83
30.54,9.4,87.04
31.05,11.6,88.39
31.57,9.2,92.02
32.07,10.0,94.39
32.57,10.4,94.52
33.07,12.5,88.84
33.59,13.3,87.24
34.09,10.1,86.55
34.61,8.9,83.42
35.12,9.6,86.64
35.63,9.3,88.43
36.13,13.0,88.02
36.63,9.4,88.64
37.15,11.0,87.31
37.65,12.0,83.98
38.15,12.0,83.11
38.65,9.7,78.55
39.17,10.2,82.02
39.69,9.6,84.28
40.19,25.4,72.22
40.70,48.1,71.39
41.22,43.2,61.55
41.73,42.5,61.49
42.24,41.4,45.85
42.75,44.9,45.89
43.27,46.2,38.90
43.78,41.7,39.54
44.30,38.7,34.03
44.81,43.7,32.96
45.32,40.1,33.63
45.84,47.6,33.14
46.35,43.4,35.54
46.87,42.8,34.36
47.38,38.7,33.29
47.89,41.3,36.18
48.41,38.6,35.28
48.92,43.0,34.52
49.43,47.9,34.46
49.95,43.5,33.42
50.47,43.4,34.69
50.98,38.7,31.76
51.50,43.2,34.74
52.02,43.7,33.55
52.53,40.7,35.24
53.04,46.5,33.16
53.56,40.9,33.24
54.07,37.5,33.25
54.59,44.1,32.37
55.10,12.5,29.64
55.62,10.8,78.45
56.12,10.1,81.22
56.64,9.0,79.66
57.15,9.8,82.06
57.67,8.9,79.40
58.17,8.8,81.91
58.67,10.5,79.22
59.19,10.8,81.41
59.71,11.3,80.75
60.22,9.6,82.84
60.72,10.2,83.98
61.23,12.7,84.46
61.74,13.1,80.76
62.26,11.3,86.37
62.78,14.2,83.59
63.28,10.0,87.41
63.80,11.3,83.16
64.30,9.4,88.11
64.81,10.5,80.47
65.32,9.5,84.36
65.82,11.9,81.75
66.34,11.7,86.45
66.84,10.7,82.26
67.35,8.1,85.89
67.86,30.0,71.34
68.38,44.3,62.89
