Timestamp_sec,CPU_Usage_Percent,GPU_Power_Watts
0.00,0.0,31.51
0.52,8.3,36.07
1.03,46.0,29.70
1.54,95.1,30.28
2.07,100.0,30.94
2.71,100.0,37.77
3.33,100.0,26.42
3.96,100.0,32.70
4.49,100.0,32.36
5.00,99.9,26.21
5.51,100.0,26.42
6.02,99.7,28.94
6.53,96.4,28.95
7.04,97.9,27.51
7.55,73.8,27.25
8.06,48.6,27.04
8.56,34.6,28.22
9.07,22.7,26.88
9.58,7.3,26.72
10.09,22.1,62.98
10.59,23.1,70.19
11.10,23.1,70.86
11.60,48.3,71.04
12.12,63.9,70.75
12.63,56.2,70.24
13.13,67.4,70.54
13.64,61.7,70.72
14.14,61.8,70.87
14.64,57.9,70.81
15.15,64.1,71.24
15.66,56.2,70.70
16.17,61.7,71.36
16.69,58.1,45.71
17.20,58.5,34.60
17.70,59.6,29.48
18.22,57.1,30.43
18.74,57.1,29.22
19.25,56.2,33.26
19.77,55.0,29.31
20.29,57.4,32.28
20.80,53.3,32.15
21.32,54.8,31.93
21.84,58.1,28.43
22.35,60.5,30.34
22.87,58.7,39.45
23.38,56.4,39.52
23.90,57.9,29.07
24.42,57.2,33.89
24.93,59.3,30.46
25.45,55.3,31.40
25.95,57.7,29.95
26.46,53.4,32.43
26.96,52.6,32.40
27.48,56.0,31.80
27.98,60.9,30.85
28.48,55.8,30.82
29.00,55.5,30.57
29.51,54.1,30.07
30.03,58.0,30.56
30.55,56.5,29.76
31.06,57.8,32.75
31.58,57.0,31.17
32.09,56.7,32.34
32.61,57.5,30.69
33.11,57.1,30.83
33.63,53.4,31.55
34.14,57.3,30.19
34.65,55.7,32.10
35.17,57.1,32.18
35.69,55.1,31.20
36.20,56.2,30.89
36.71,52.7,32.08
37.22,57.9,30.97
37.74,56.9,31.02
38.25,53.6,31.02
38.76,58.0,32.26
39.28,55.6,33.11
39.79,56.8,28.29
40.30,56.5,31.39
40.82,56.2,27.82
41.33,52.1,30.76
41.85,59.9,28.09
42.36,51.3,31.70
42.88,52.9,30.28
43.39,57.7,32.83
43.89,54.5,33.40
44.41,52.8,30.84
44.92,55.9,30.78
45.44,58.5,32.49
45.95,53.2,31.55
46.47,54.7,32.47
46.99,57.0,29.89
47.50,53.1,29.32
48.02,57.2,29.18
48.54,57.1,28.99
49.05,56.1,30.22
49.57,55.9,29.68
50.09,57.7,30.65
50.60,57.4,29.46
51.12,60.1,30.23
51.63,58.4,28.02
52.15,41.8,30.15
52.66,8.2,27.41
53.17,11.1,74.95
53.68,12.2,84.04
54.18,11.9,83.93
54.70,7.9,82.95
55.22,9.9,82.44
55.73,9.0,82.89
56.25,11.3,82.59
56.77,10.2,84.36
57.28,10.5,86.45
57.79,9.7,83.61
58.31,9.0,84.41
58.83,10.9,87.15
59.34,9.7,87.89
59.86,9.3,85.29
60.36,9.0,84.91
60.86,10.9,80.47
61.38,9.2,84.81
61.88,12.5,79.94
62.38,12.0,85.11
62.90,12.2,83.63
63.40,8.8,85.97
63.92,11.3,82.38
64.42,9.6,82.94
64.94,18.5,73.86
65.44,58.0,73.52
65.94,65.7,73.93
66.45,68.3,74.11
66.97,56.5,60.59
67.49,61.7,45.02
67.99,56.4,36.38
68.51,62.7,37.30
69.02,57.8,28.73
69.54,58.5,31.20
70.06,61.4,29.64
70.57,52.8,31.73
71.08,63.1,30.59
71.59,57.3,31.76
72.10,54.2,30.64
72.62,55.1,28.84
73.12,58.2,30.25
73.63,54.5,29.39
74.14,57.0,30.38
74.66,55.6,30.64
75.17,55.7,29.91
75.69,51.7,30.73
76.21,59.6,32.38
76.71,57.0,29.66
77.22,59.0,32.09
77.72,53.4,28.69
78.22,56.0,30.73
78.74,58.0,31.37
79.25,59.3,30.69
79.77,53.3,29.71
80.27,58.6,28.61
80.79,55.2,28.79
81.30,57.7,28.92
81.82,57.9,29.50
82.34,58.0,30.30
82.85,62.0,28.24
83.36,58.1,30.14
83.88,53.7,29.20
84.39,56.4,29.98
84.91,57.5,31.78
85.43,58.4,28.98
85.93,59.6,29.14
86.45,54.3,28.64
86.97,55.2,32.32
87.48,54.0,29.67
88.00,51.7,33.32
88.51,51.6,31.67
89.03,52.6,32.98
89.55,56.6,32.09
90.06,55.0,32.65
90.58,58.6,31.38
91.09,59.6,30.20
91.60,52.5,30.27
92.12,58.3,29.16
92.62,57.1,30.93
93.13,57.6,31.09
93.65,61.2,31.98
94.15,56.8,27.98
94.67,52.9,31.27
95.19,54.9,29.19
95.70,52.6,29.66
96.22,57.9,31.27
96.73,54.9,31.81
97.25,56.8,28.34
97.76,54.7,33.04
98.28,56.6,30.82
98.78,69.9,31.80
99.30,69.0,31.52
99.81,73.7,31.20
100.33,68.0,31.48
100.85,66.3,27.67
101.37,71.9,28.85
101.88,72.1,29.76
102.39,69.4,29.20
102.90,65.3,29.98
103.42,64.3,30.43
103.93,66.3,30.09
104.43,62.3,34.32
104.95,67.0,28.21
105.45,64.8,28.43
105.97,64.0,28.27
106.48,55.2,28.21
106.99,14.9,26.31
107.50,14.1,79.92
108.02,15.4,81.53
108.52,15.5,80.47
109.04,16.4,82.84
109.55,13.2,81.10
110.07,13.1,85.39
110.57,10.9,82.83
111.07,12.2,84.30
111.57,8.2,83.16
112.09,10.9,84.92
112.61,9.5,83.90
113.12,10.4,83.31
113.63,8.9,84.94
114.14,10.6,86.83
114.65,10.0,86.50
115.15,11.0,86.69
115.65,9.8,82.71
116.17,11.3,83.19
116.68,9.2,84.83
117.20,12.5,82.77
117.71,11.8,84.39
118.23,13.7,85.12
118.74,12.8,82.33
119.26,17.8,77.20
