Timestamp_sec,CPU_Usage_Percent,GPU_Power_Watts
0.00,7.7,5.06
0.50,2.7,16.08
1.00,3.7,27.14
1.50,23.2,28.95
2.00,71.4,29.10
2.50,75.9,29.37
3.00,56.3,29.32
3.51,75.4,29.16
4.01,78.2,28.87
4.51,77.5,29.04
5.01,76.8,29.22
5.51,35.7,29.47
6.01,16.0,29.59
6.51,11.3,30.07
7.01,18.0,24.30
7.51,11.1,17.19
8.01,16.0,15.75
8.51,15.6,19.45
9.01,17.4,23.83
9.51,13.6,30.70
10.01,8.7,39.89
10.51,15.6,43.11
11.02,11.5,38.30
11.52,13.8,30.15
12.02,15.0,25.81
12.52,13.3,26.31
13.02,11.0,25.06
13.52,15.3,24.93
14.02,13.9,24.09
14.52,12.7,21.60
15.02,14.3,21.31
15.52,19.2,24.78
16.02,12.9,29.61
16.52,13.4,33.63
17.02,14.7,34.70
17.52,15.2,33.20
18.02,17.4,28.97
18.52,13.7,25.43
19.02,13.9,23.61
19.52,11.0,21.76
20.02,10.4,21.73
20.52,14.7,21.84
21.03,13.9,25.08
21.53,16.4,30.78
22.03,13.8,33.07
22.53,13.1,33.52
23.03,11.3,31.52
23.53,8.6,26.57
24.03,17.0,24.95
24.53,15.5,23.22
25.03,13.5,22.28
25.53,16.6,22.45
26.03,13.8,22.71
26.53,15.9,22.97
27.03,13.7,22.59
27.53,14.4,22.23
28.03,19.0,25.27
28.53,12.5,30.04
29.03,14.8,32.28
29.53,12.8,33.23
30.03,12.6,30.41
30.53,12.8,26.69
31.04,11.8,25.95
31.54,14.1,26.40
32.04,9.8,23.47
32.54,8.9,20.95
33.04,11.4,21.30
33.54,8.3,21.65
34.04,10.9,22.14
34.54,12.1,22.74
35.04,31.5,27.71
35.54,69.5,29.21
36.05,74.9,26.65
36.55,53.3,24.26
37.05,74.0,17.40
37.55,76.5,11.09
38.05,76.6,10.32
38.55,71.7,8.58
39.05,33.5,7.86
39.55,12.5,9.33
40.05,15.7,14.34
40.55,17.4,20.17
41.05,15.5,27.56
41.55,13.9,32.19
42.05,15.6,34.57
42.55,13.5,34.34
43.05,13.0,29.35
43.56,11.8,25.81
44.06,14.5,24.73
44.56,15.1,22.36
45.06,14.6,22.07
45.56,12.2,24.93
46.06,12.4,30.65
46.56,12.0,35.37
47.06,11.3,34.27
47.56,14.6,31.25
48.06,15.6,27.57
48.56,14.4,25.09
49.06,15.7,23.14
49.56,14.9,21.64
50.06,15.0,21.89
50.56,14.6,22.28
51.06,16.5,23.07
51.56,16.2,23.61
52.06,14.6,31.81
52.56,14.4,41.54
53.06,16.0,43.68
53.56,11.7,40.00
54.06,14.5,32.46
54.56,12.6,26.32
55.06,10.7,26.07
55.56,9.5,25.79
56.07,10.0,25.72
56.57,10.4,24.04
57.07,10.6,21.51
57.57,10.9,21.57
58.07,10.1,22.42
58.57,11.0,22.14
59.07,10.0,23.85
59.57,8.7,29.67
60.07,12.0,34.72
60.57,9.5,34.95
61.07,10.5,32.45
61.57,11.4,27.51
62.07,11.0,25.79
62.57,8.8,26.03
63.07,9.2,23.86
63.57,11.4,22.29
64.07,10.3,22.94
64.57,9.9,27.59
65.07,10.0,33.09
65.57,11.2,35.18
66.07,8.6,32.64
66.57,10.2,28.23
67.07,10.4,25.05
67.57,10.5,24.03
68.08,8.7,23.66
68.58,10.6,28.60
69.08,18.9,35.49
69.58,40.4,35.02
70.08,69.6,27.88
70.58,73.3,20.89
71.08,48.9,15.60
71.58,74.1,12.20
72.08,76.1,10.20
72.58,73.3,8.96
73.08,67.7,7.42
73.58,13.5,7.34
74.08,7.6,9.10
74.58,8.4,12.92
75.08,10.3,17.95
75.58,9.0,21.06
76.09,9.0,20.20
76.59,9.5,20.02
77.09,9.5,21.07
77.59,10.6,21.50
78.09,9.5,22.02
78.59,11.3,22.30
79.09,8.2,21.53
79.59,10.8,21.52
80.09,9.4,21.68
80.59,8.0,22.21
81.09,9.0,21.91
81.59,8.6,21.72
82.09,9.5,21.72
82.59,9.5,21.55
83.09,9.5,21.61
83.59,9.2,22.21
84.09,8.8,22.97
84.59,10.1,22.89
85.09,8.4,22.86
85.59,8.3,22.98
86.09,9.4,22.64
86.59,7.2,22.13
87.09,10.8,22.45
87.59,11.7,21.93
88.09,10.6,21.59
88.59,10.7,20.92
89.10,7.3,20.27
89.60,9.8,20.50
90.10,9.2,20.70
90.60,7.9,21.15
91.10,9.4,21.14
91.60,10.7,21.88
92.10,10.1,21.88
92.60,9.3,20.86
93.10,10.6,20.74
93.60,12.2,21.11
94.10,10.6,21.18
94.60,7.7,20.48
95.10,9.1,20.76
95.60,7.6,21.17
96.10,8.2,21.33
96.60,9.4,22.18
97.10,9.1,22.48
97.60,8.5,22.14
98.10,9.9,22.84
98.61,8.9,22.78
99.11,10.4,22.76
99.61,8.8,22.41
100.11,10.9,22.27
100.61,12.3,22.42
101.11,10.9,22.76
101.61,6.6,24.57
102.11,11.5,29.79
102.61,10.9,34.23
103.11,9.7,34.88
103.61,10.3,31.62
104.11,10.8,28.43
104.61,8.9,27.19
105.11,10.8,26.47
105.61,9.1,26.71
106.11,9.8,26.04
106.61,9.0,24.01
107.11,10.2,22.86
107.61,11.4,23.58
108.11,10.4,28.86
108.61,11.0,34.30
109.11,9.7,36.36
109.61,9.6,34.61
110.11,7.8,30.05
110.61,11.1,27.00
111.12,10.1,26.91
111.62,11.0,26.29
112.12,10.2,24.37
112.62,9.8,21.84
113.12,9.5,21.62
113.62,12.1,22.37
114.12,12.3,22.26
114.62,7.8,21.53
115.12,9.7,21.69
115.62,12.1,22.00
116.12,11.1,22.07
116.62,8.9,21.87
117.12,10.1,21.98
117.62,9.9,26.54
118.12,12.0,32.89
118.62,12.2,35.71
