Timestamp_sec,CPU_Usage_Percent,GPU_Power_Watts
0.00,7.3,16.76
0.50,5.0,27.68
1.00,41.6,29.49
1.50,69.8,29.66
2.00,71.0,29.59
2.50,55.6,29.57
3.00,75.7,29.32
3.51,76.7,29.55
4.01,76.1,29.70
4.51,73.1,29.84
5.01,19.4,29.86
5.51,20.0,30.32
6.01,18.0,30.53
6.51,15.9,25.00
7.01,14.8,17.97
7.51,19.6,16.55
8.01,26.4,19.64
8.51,22.7,22.03
9.01,15.6,21.24
9.51,16.7,21.01
10.01,19.9,23.40
10.51,21.7,28.85
11.01,16.1,31.59
11.51,20.1,31.43
12.01,20.9,31.00
12.51,18.5,28.23
13.02,19.5,25.11
13.52,21.5,24.98
14.02,21.0,23.84
14.52,20.2,21.72
15.02,18.5,21.24
15.52,23.4,21.97
16.02,24.9,23.90
16.52,19.5,28.16
17.02,22.2,34.09
17.52,23.2,35.92
18.02,22.2,34.02
18.52,20.2,29.39
19.02,19.4,26.09
19.52,18.8,25.81
20.02,22.0,23.75
20.52,18.3,21.60
21.02,16.4,21.81
21.52,16.5,22.44
22.02,19.9,22.62
22.53,21.9,22.92
23.03,18.7,22.70
23.53,21.0,22.21
24.03,21.4,22.65
24.53,21.0,22.96
25.03,19.5,22.76
25.53,20.8,22.45
26.03,23.6,22.85
26.53,19.7,26.71
27.03,22.5,32.04
27.53,21.4,34.68
28.03,19.5,34.34
28.53,19.7,30.12
29.03,19.8,25.59
29.53,18.9,24.43
30.03,16.0,22.11
30.53,16.4,21.14
31.03,17.8,21.60
31.53,16.7,22.33
32.03,16.2,22.31
32.54,16.5,26.04
33.04,16.5,31.89
33.54,18.2,33.37
34.04,17.4,32.93
34.54,17.3,29.55
35.04,18.6,25.88
35.54,19.9,24.33
36.04,18.7,22.62
36.54,13.5,21.77
37.04,18.0,22.63
37.54,16.3,21.29
38.04,57.5,16.18
38.54,71.8,12.47
39.04,65.4,9.41
39.54,59.9,7.01
40.04,77.9,5.44
40.54,77.5,5.76
41.05,75.4,5.97
41.55,67.2,6.16
42.05,16.0,7.92
42.55,20.3,15.98
43.05,25.5,32.23
43.55,20.4,44.47
44.05,23.2,42.17
44.55,19.0,34.70
45.05,23.4,29.10
45.55,22.4,26.61
46.05,12.7,25.79
46.55,19.0,23.17
47.05,21.8,21.14
47.55,19.7,22.18
48.05,21.7,22.86
48.55,19.9,23.00
49.05,15.7,22.58
49.55,17.0,22.78
50.05,20.8,22.55
50.56,23.7,23.55
51.06,20.2,28.39
51.56,21.0,33.17
52.06,24.1,35.26
52.56,22.6,34.07
53.06,24.4,29.65
53.56,21.7,26.42
54.06,18.7,26.84
54.56,18.0,25.65
55.06,21.2,25.09
55.56,22.8,22.88
56.06,20.0,21.31
56.56,21.2,22.55
57.06,17.7,21.93
57.56,21.0,22.25
58.06,20.7,22.89
58.56,15.5,22.25
59.06,17.4,22.03
59.56,19.3,24.66
60.06,17.4,29.75
60.56,16.5,32.60
61.07,19.1,32.52
61.57,20.5,30.88
62.07,15.2,26.98
62.57,21.3,25.16
63.07,21.1,26.17
63.57,18.1,26.31
64.07,16.2,25.16
64.57,18.4,22.70
65.07,17.4,21.47
65.57,19.9,21.69
66.07,17.5,21.27
66.57,12.2,21.96
67.07,16.1,22.17
67.57,16.6,22.19
68.07,19.3,22.53
68.57,16.7,23.15
69.07,15.8,22.36
69.57,16.7,22.60
70.07,18.8,26.25
70.58,18.7,33.14
71.08,15.3,37.02
71.58,16.6,36.93
72.08,18.8,32.43
72.58,16.1,27.06
73.08,16.7,25.67
73.58,16.6,25.80
74.08,17.5,25.62
74.58,16.5,24.35
75.08,17.5,22.12
75.58,18.5,21.59
76.08,18.9,22.40
76.58,22.1,22.62
77.08,15.1,25.18
77.58,19.1,31.02
78.08,16.9,33.69
78.58,56.2,30.02
79.08,68.9,22.48
79.58,64.8,19.12
80.08,58.5,18.20
80.59,73.4,15.88
81.09,74.2,12.61
81.59,71.6,10.33
82.09,70.3,9.74
82.59,10.3,9.28
83.09,17.4,12.50
83.59,18.3,29.32
84.09,19.8,44.39
84.59,14.5,43.79
85.09,14.4,37.45
85.59,18.9,29.50
86.09,18.2,26.27
86.59,30.1,26.37
87.09,19.8,24.98
87.59,18.4,22.91
88.09,11.6,22.27
88.59,20.3,22.28
89.09,18.6,22.79
89.59,17.3,23.71
90.10,17.4,23.45
90.60,20.3,23.92
91.10,18.4,23.99
91.60,19.0,23.97
92.10,18.8,24.20
92.60,23.7,26.12
93.10,21.0,31.95
93.60,19.8,37.82
94.10,19.6,39.21
94.60,21.6,34.59
95.10,16.4,29.22
95.60,16.4,26.20
96.10,11.2,25.31
96.60,18.8,25.91
97.10,18.1,25.90
97.60,17.1,25.66
98.10,16.0,23.29
98.60,19.4,21.58
99.10,17.1,21.60
99.60,16.3,21.64
100.10,16.2,21.94
100.61,18.9,22.31
101.11,17.9,23.08
101.61,13.5,22.43
102.11,17.6,22.06
102.61,18.3,24.47
103.11,18.1,29.86
103.61,19.2,35.46
104.11,19.6,35.46
104.61,14.4,32.19
105.11,18.7,28.36
105.61,17.8,26.06
106.11,16.6,24.23
106.61,18.9,22.76
107.11,21.0,23.10
107.61,15.8,22.82
108.11,17.1,22.73
108.61,16.6,23.07
109.11,17.9,23.33
109.61,18.6,24.09
110.11,18.1,24.06
110.61,18.3,23.64
111.11,17.6,24.09
111.61,17.8,28.56
112.12,20.8,33.12
112.62,18.3,34.30
113.12,17.4,32.59
113.62,14.0,29.10
114.12,19.0,26.61
114.62,15.8,26.53
