generation,best_fitness_score,global_max_raw_reward,global_avg_raw_reward,selected_individual_reward
1,1.3637348909639604,-161.6,-472.37199999999996,-161.6
2,1.1414914800035663,-167.4,-463.58,-167.4
3,0.987165997001833,-165.4,-450.616,-165.4
4,0.8958317489841228,-168.0,-445.092,-168.0
5,0.8213383739222643,-163.0,-434.56800000000004,-163.0
6,0.6482787324552656,-164.2,-436.412,-183.8
7,0.5453525743125219,-158.2,-417.46,-166.0
8,0.503903526216744,-149.4,-424.76399999999995,-149.4
9,0.46267352265304285,-127.0,-411.59200000000004,-138.8
10,0.4108945503304919,-135.6,-367.57200000000006,-151.0
11,0.3840562638936721,-113.8,-403.14799999999997,-147.4
12,0.3653654581316641,-118.6,-388.916,-155.4
13,0.3271274537780636,-135.0,-367.1040000000001,-137.0
14,0.30885887539175627,-122.0,-361.62799999999993,-122.0
15,0.31180048271373806,-137.4,-368.5760000000001,-150.8
16,0.2761426511943284,-99.4,-338.7440000000001,-118.0
17,0.32695499832154307,-91.2,-378.55600000000004,-104.2
18,0.2698142023197819,-93.8,-326.00800000000004,-131.0
19,0.26617375065116544,-96.8,-339.056,-96.8
20,0.27237349788061727,-93.4,-350.616,-94.6
21,0.2509223667658357,-95.0,-303.784,-161.0
22,0.22737008444664908,-94.0,-302.076,-98.0
23,0.2527699444853417,-89.2,-337.352,-89.2
24,0.2406046590723629,-89.2,-319.296,-89.2
25,0.24019818213595082,-87.4,-336.10400000000004,-108.4
26,0.30110070533679195,-100.0,-367.048,-100.0
27,0.2615251221154555,-91.2,-327.204,-115.2
28,0.24029392820674556,-97.0,-295.00399999999996,-97.0
29,0.22904184820689744,-96.0,-294.364,-100.2
30,0.28057701402222723,-87.2,-352.40799999999996,-87.2
31,0.2613220047328642,-87.4,-329.416,-87.4
32,0.23638500088145808,-101.4,-303.312,-129.4
33,0.24736377380459224,-82.2,-340.256,-105.4
34,0.22768356087750727,-89.8,-257.616,-94.8
35,0.21564103823678743,-91.4,-313.748,-91.4
36,0.20698914804245122,-90.0,-293.892,-91.6
37,0.20479870939153139,-76.0,-271.092,-99.0
38,0.19487758179553388,-92.6,-290.70799999999997,-92.6
39,0.1963247882627121,-91.8,-288.81200000000007,-98.0
40,0.2189720202816493,-90.6,-314.92,-95.2
41,0.21172799732371234,-89.4,-304.14799999999997,-101.4
42,0.1979848813287485,-96.0,-264.49600000000004,-99.2
43,0.20505454993034794,-91.6,-305.828,-102.8
44,0.22034581960949998,-87.0,-313.63199999999995,-90.2
45,0.1973719606079672,-72.6,-263.948,-89.8
46,0.19619197706200883,-87.0,-287.93999999999994,-90.2
47,0.20027067242629576,-83.4,-296.688,-83.4
48,0.18917807987033028,-83.4,-241.65599999999998,-99.4
49,0.18415464915227533,-89.0,-268.068,-89.8
50,0.18199355156930702,-79.0,-260.99999999999994,-86.4
51,0.21365376832212724,-86.8,-315.776,-108.8
52,0.19895775099340385,-89.0,-285.668,-106.6
53,0.19362055514091517,-72.4,-281.7,-100.8
54,0.1920859432825333,-85.4,-285.83600000000007,-98.4
55,0.19380555902784957,-89.6,-283.20400000000006,-94.8
56,0.1930678108455554,-83.4,-287.728,-83.4
57,0.22730846402399815,-72.8,-321.308,-94.2
58,0.21193123050721296,-74.2,-298.976,-105.0
59,0.20819947608513673,-83.6,-294.18799999999993,-83.6
60,0.21023892431539,-89.6,-294.96399999999994,-93.4
61,0.21151330299621168,-83.8,-295.72,-83.8
62,0.20512549832998767,-79.2,-299.468,-84.6
63,0.20857939163160505,-78.2,-306.504,-96.4
64,0.20364001665671908,-85.4,-281.888,-90.2
65,0.19863245292327714,-85.0,-262.0,-86.8
66,0.23100687721519966,-74.2,-320.75200000000007,-86.8
67,0.20299198619359982,-79.6,-265.74800000000005,-90.8
68,0.19143440041371074,-83.2,-259.276,-94.8
69,0.19628434109167966,-76.4,-292.42,-93.8
70,0.19420429675690418,-84.4,-285.048,-84.4
71,0.1824175037340888,-84.0,-257.68000000000006,-112.2
72,0.177062135304178,-78.4,-242.83599999999998,-85.0
73,0.17733236980292388,-89.2,-255.38400000000001,-93.0
74,0.1693159947409641,-86.0,-245.532,-98.0
75,0.1771853913264137,-78.4,-261.528,-78.4
76,0.1804270171843766,-80.8,-267.192,-80.8
77,0.18538577547428903,-76.0,-270.564,-76.0
78,0.1829254325666774,-77.4,-265.408,-77.4
79,0.18236940852577008,-80.4,-272.75600000000003,-80.4
80,0.17681760009593842,-79.0,-229.58,-82.4
81,0.1721669909468916,-75.4,-238.72400000000002,-89.8
82,0.16687466262432285,-82.8,-236.05599999999998,-82.8
83,0.18022181158130726,-80.8,-274.752,-95.6
84,0.20320635663344233,-78.6,-293.404,-81.2
85,0.18979971697151116,-79.2,-261.20000000000005,-79.2
86,0.18718716878024064,-82.4,-271.836,-85.4
87,0.18255489813557657,-79.4,-254.824,-86.4
88,0.17979818984654033,-78.6,-249.62400000000002,-78.6
89,0.17431015325663698,-82.0,-263.07199999999995,-84.4
90,0.1839274267260102,-84.6,-278.82,-93.0
91,0.17290130350361976,-77.0,-245.42,-88.4
92,0.16633885032744558,-81.4,-213.5,-92.6
93,0.16432106497795776,-82.4,-242.66,-94.8
94,0.1798213939253507,-78.2,-265.37600000000003,-78.2
95,0.1752040699338941,-75.8,-250.95199999999997,-75.8
96,0.18680019975066825,-80.2,-275.07199999999995,-80.2
97,0.17793280518337024,-85.0,-255.73999999999995,-87.6
98,0.17480655926933267,-75.2,-250.72400000000002,-81.4
99,0.18527135809055467,-75.2,-273.224,-81.0
100,0.1716135094410289,-77.0,-228.86800000000002,-77.0
