generation,best_fitness_score,global_max_raw_reward,global_avg_raw_reward,selected_individual_reward
1,0.1,9.0,9.0,9.0
2,0.10217294900221731,9.6,9.403999999999998,9.6
3,0.12013028189320779,11.4,9.471999999999998,11.4
4,0.2637638728851431,27.8,10.540000000000003,27.8
5,0.24933794696134884,32.4,13.059999999999997,32.4
6,0.33254404867538,72.8,23.048,72.8
7,0.29721594706243415,102.6,34.028,102.6
8,0.3024084788609141,121.6,39.488,121.6
9,0.28029210027897,97.2,40.472,97.2
10,0.259686277069092,95.4,47.208,95.4
11,0.3120279311501065,164.8,52.431999999999995,164.8
12,0.3011482378819148,167.8,57.65999999999999,167.8
13,0.2923826662733534,209.4,71.67200000000001,209.4
14,0.5542425253579666,500.0,90.28,500.0
15,0.4857653542740792,500.0,120.12,500.0
16,0.4578550696871953,500.0,124.42,500.0
17,0.4157101416692487,500.0,172.892,500.0
18,0.37668620964094973,500.0,226.89200000000005,500.0
19,0.3075367383972859,500.0,240.09599999999998,500.0
20,0.26052685530474745,500.0,275.67199999999997,500.0
