epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,14.6803,2.67981,0.46409,0.56466,1.46359,2.21031,0.88116,0.97701,0.97251,0.4421,0.90249,0.99791,0.9846,0.9846,1.89858,0.07062,0.07404,0.84528,1.48971,0.00196667,0.000655556,0.00196667,0.000655556,0.00196667,0.000655556,0.00196667,0.000655556
2,26.158,1.10604,0.1932,0.20013,0.70247,1.11237,0.99987,1,0.995,0.88818,0.99987,1,0.995,0.995,0.50118,0.02645,0.00107,0.40039,0.89763,0.00383577,0.00127859,0.00383577,0.00127859,0.00383577,0.00127859,0.00383577,0.00127859
3,35.4043,0.57249,0.08921,0.08147,0.38517,0.90485,0.99992,1,0.995,0.96276,0.99992,1,0.995,0.995,0.30861,0.02043,0.00351,0.26992,0.82689,0.00557287,0.00185762,0.00557287,0.00185762,0.00557287,0.00185762,0.00557287,0.00185762
4,44.3684,0.45732,0.07517,0.04818,0.32473,0.85228,0.99993,1,0.995,0.97659,0.99993,1,0.995,0.995,0.25506,0.00966,0.00304,0.23518,0.81606,0.005406,0.001802,0.005406,0.001802,0.005406,0.001802,0.005406,0.001802
5,53.5733,0.38975,0.05087,0.03659,0.28848,0.83503,0.99994,1,0.995,0.98948,0.99994,1,0.995,0.995,0.20254,0.00606,0.00197,0.20065,0.80716,0.005208,0.001736,0.005208,0.001736,0.005208,0.001736,0.005208,0.001736
6,62.6013,0.35478,0.02909,0.02554,0.26571,0.82649,0.99994,1,0.995,0.99011,0.99994,1,0.995,0.995,0.17981,0.0051,0.00066,0.17139,0.80524,0.00501,0.00167,0.00501,0.00167,0.00501,0.00167,0.00501,0.00167
7,71.4875,0.32401,0.02933,0.02256,0.25328,0.82019,0.99994,1,0.995,0.99188,0.99994,1,0.995,0.995,0.17691,0.00393,0.00035,0.15504,0.80403,0.004812,0.001604,0.004812,0.001604,0.004812,0.001604,0.004812,0.001604
8,80.6886,0.30556,0.02755,0.02845,0.23774,0.81385,0.99994,1,0.995,0.99193,0.99994,1,0.995,0.995,0.17765,0.00422,0.00028,0.15907,0.80354,0.004614,0.001538,0.004614,0.001538,0.004614,0.001538,0.004614,0.001538
9,89.7871,0.29069,0.01999,0.02617,0.23094,0.81212,0.99994,1,0.995,0.99131,0.99994,1,0.995,0.995,0.16597,0.00292,0.00042,0.14824,0.80212,0.004416,0.001472,0.004416,0.001472,0.004416,0.001472,0.004416,0.001472
10,98.6573,0.25994,0.01901,0.02117,0.21712,0.80768,0.99994,1,0.995,0.99227,0.99994,1,0.995,0.995,0.17049,0.00279,0.0003,0.15765,0.80201,0.004218,0.001406,0.004218,0.001406,0.004218,0.001406,0.004218,0.001406
11,107.493,0.25325,0.01452,0.02006,0.20544,0.80424,0.99994,1,0.995,0.99223,0.99994,1,0.995,0.995,0.15445,0.00271,0.0003,0.15638,0.80094,0.00402,0.00134,0.00402,0.00134,0.00402,0.00134,0.00402,0.00134
12,116.171,0.25439,0.01582,0.02221,0.20941,0.80874,0.99994,1,0.995,0.99313,0.99994,1,0.995,0.995,0.14371,0.00254,0.00024,0.1311,0.80008,0.003822,0.001274,0.003822,0.001274,0.003822,0.001274,0.003822,0.001274
13,124.975,0.24094,0.01368,0.02235,0.20219,0.80412,0.99994,1,0.995,0.99234,0.99994,1,0.995,0.995,0.14211,0.002,0.00022,0.13027,0.79993,0.003624,0.001208,0.003624,0.001208,0.003624,0.001208,0.003624,0.001208
14,133.741,0.2474,0.0168,0.01994,0.20453,0.80447,0.99994,1,0.995,0.99393,0.99994,1,0.995,0.995,0.13562,0.00193,0.00025,0.12048,0.79877,0.003426,0.001142,0.003426,0.001142,0.003426,0.001142,0.003426,0.001142
15,142.605,0.23479,0.01122,0.01807,0.19407,0.80265,1,1,0.995,0.99372,1,1,0.995,0.995,0.13498,0.00219,0.00028,0.12002,0.79911,0.003228,0.001076,0.003228,0.001076,0.003228,0.001076,0.003228,0.001076
16,151.366,0.23274,0.01269,0.01656,0.19195,0.80105,0.99994,1,0.995,0.99412,0.99994,1,0.995,0.995,0.13224,0.00189,0.00025,0.11663,0.7983,0.00303,0.00101,0.00303,0.00101,0.00303,0.00101,0.00303,0.00101
17,160.116,0.22305,0.01168,0.01623,0.1894,0.80711,0.99994,1,0.995,0.99342,0.99994,1,0.995,0.995,0.13251,0.00171,0.00018,0.12052,0.79807,0.002832,0.000944,0.002832,0.000944,0.002832,0.000944,0.002832,0.000944
18,168.874,0.22313,0.01414,0.01782,0.18928,0.80066,0.99994,1,0.995,0.9939,0.99994,1,0.995,0.995,0.12803,0.00224,0.00046,0.11415,0.79768,0.002634,0.000878,0.002634,0.000878,0.002634,0.000878,0.002634,0.000878
19,177.673,0.2207,0.01167,0.01972,0.18574,0.80451,0.99994,1,0.995,0.99407,0.99994,1,0.995,0.995,0.12731,0.00193,0.00025,0.11082,0.7976,0.002436,0.000812,0.002436,0.000812,0.002436,0.000812,0.002436,0.000812
20,186.455,0.21055,0.00951,0.0141,0.17786,0.8046,0.99994,1,0.995,0.99365,0.99994,1,0.995,0.995,0.12415,0.00152,0.00023,0.10989,0.79746,0.002238,0.000746,0.002238,0.000746,0.002238,0.000746,0.002238,0.000746
21,205.757,0.15902,0.00538,0.00088,0.14377,0.76756,0.99994,1,0.995,0.9947,0.99994,1,0.995,0.995,0.12245,0.00173,0.00013,0.10506,0.79719,0.00204,0.00068,0.00204,0.00068,0.00204,0.00068,0.00204,0.00068
22,214.538,0.15123,0.00438,0.00083,0.13792,0.76939,0.99994,1,0.995,0.99487,0.99994,1,0.995,0.995,0.12981,0.00183,0.00011,0.11338,0.79764,0.001842,0.000614,0.001842,0.000614,0.001842,0.000614,0.001842,0.000614
23,223.348,0.14791,0.00387,0.00064,0.13279,0.76453,0.99994,1,0.995,0.99481,0.99994,1,0.995,0.995,0.12053,0.00153,0.0001,0.10419,0.79667,0.001644,0.000548,0.001644,0.000548,0.001644,0.000548,0.001644,0.000548
24,232.292,0.14622,0.00349,0.00053,0.13265,0.77582,0.99994,1,0.995,0.99487,0.99994,1,0.995,0.995,0.11838,0.00146,0.00011,0.10288,0.79665,0.001446,0.000482,0.001446,0.000482,0.001446,0.000482,0.001446,0.000482
25,241.063,0.13934,0.00318,0.00049,0.12672,0.76914,0.99994,1,0.995,0.99499,0.99994,1,0.995,0.995,0.11534,0.00153,0.00011,0.10175,0.79654,0.001248,0.000416,0.001248,0.000416,0.001248,0.000416,0.001248,0.000416
26,249.879,0.13764,0.00325,0.00052,0.12471,0.76995,0.99994,1,0.995,0.99499,0.99994,1,0.995,0.995,0.11528,0.00197,0.00011,0.09995,0.79622,0.00105,0.00035,0.00105,0.00035,0.00105,0.00035,0.00105,0.00035
27,258.706,0.13499,0.0033,0.00071,0.12277,0.77342,0.99994,1,0.995,0.99498,0.99994,1,0.995,0.995,0.11259,0.00133,0.00011,0.09741,0.79607,0.000852,0.000284,0.000852,0.000284,0.000852,0.000284,0.000852,0.000284
28,267.551,0.13293,0.00349,0.00074,0.12335,0.76759,0.99994,1,0.995,0.9948,0.99994,1,0.995,0.995,0.11495,0.00141,0.00011,0.0974,0.79606,0.000654,0.000218,0.000654,0.000218,0.000654,0.000218,0.000654,0.000218
29,276.426,0.13273,0.00301,0.00053,0.11906,0.7732,0.99994,1,0.995,0.99499,0.99994,1,0.995,0.995,0.1114,0.00152,0.00011,0.09552,0.79591,0.000456,0.000152,0.000456,0.000152,0.000456,0.000152,0.000456,0.000152
30,285.178,0.13058,0.00299,0.00053,0.11981,0.75646,0.99994,1,0.995,0.99499,0.99994,1,0.995,0.995,0.11091,0.00165,0.00011,0.09512,0.79586,0.000258,8.6e-05,0.000258,8.6e-05,0.000258,8.6e-05,0.000258,8.6e-05
