generation,best_avg_reward,avg_top_reward,worst_avg_reward,avg_nodes,min_nodes,max_nodes
1,-83.5414085620477,-385.76305622148567,-927.6998702790974,4.0,4,4
2,-68.33110794202959,-393.4168228349525,-1110.629955699941,4.1,4,5
3,-55.429218541115496,-268.98421177230705,-1031.3523567879781,4.266666666666667,4,6
4,-132.4070617564393,-298.0013129942909,-841.759250149615,4.366666666666666,4,6
5,-57.5673509173309,-296.7666091743742,-824.2321930191758,4.55,4,7
6,-92.31235347370375,-249.9707194536863,-880.5915870969027,4.541666666666667,4,7
7,-130.26253428951648,-302.5276278149969,-1119.543210295409,4.683333333333334,4,7
8,-391.24540977881344,-291.6831712722944,-1023.8390832862909,4.875,4,8
9,-100.7072538599385,-299.5027284245645,-906.3093076977646,4.958333333333333,4,8
10,-164.20076915466274,-342.8557541921289,-944.4179803781055,5.108333333333333,4,9
11,-109.10241394506897,-265.4327476920947,-1083.2100858059898,5.291666666666667,4,8
12,-103.8588331852371,-260.2376493810601,-882.4008919960042,5.508333333333334,4,9
13,-107.34967847809594,-226.6266378946774,-611.5935552594104,5.658333333333333,4,10
14,-185.32051597951835,-261.66443933180705,-622.5223583383498,5.875,4,10
15,-117.26314940883557,-292.37507462570187,-693.4901278445898,6.15,4,11
16,-136.69247978824404,-219.71961726130252,-620.083717005354,6.141666666666667,4,10
17,-281.93674348500707,-187.9334899593234,-695.213475185971,6.55,4,11
18,-159.88474456592692,-227.61151367343518,-731.0369576439907,7.016666666666667,4,12
19,-50.70351911173505,-186.14346848822564,-610.9605068269245,7.358333333333333,4,11
20,-59.90184127897943,-174.897416563785,-666.7813076912942,7.883333333333334,4,11
21,-112.84469747811177,-171.34136171438033,-627.9125138323122,7.9,4,12
22,-30.10608625879534,-175.63138919063957,-1181.8450756957159,8.183333333333334,4,12
23,-34.243213833314485,-128.26136077893972,-792.620255646998,8.066666666666666,4,12
24,-39.418947966964126,-140.62622131982974,-605.8098666251525,8.25,4,11
