generation,best_fitness_score,global_max_raw_reward,global_avg_raw_reward,selected_individual_reward
1,0.09999999999999988,-500.0,-500.0,-500.0
2,0.09999999999999988,-500.0,-500.0,-500.0
3,4.932576694610634,-184.0,-493.584,-184.0
4,4.162938378409522,-197.2,-489.352,-197.2
5,3.0275102350062824,-178.8,-457.01199999999994,-178.8
6,2.444732849499223,-172.4,-452.48,-172.4
7,2.050076986467174,-172.6,-429.75199999999995,-172.6
8,1.1469560885577665,-193.8,-427.18399999999997,-197.8
9,0.5472743301412623,-116.4,-423.376,-198.6
10,0.48184211111372716,-121.6,-406.0,-121.6
11,0.43283035166254175,-117.0,-406.28,-117.0
12,0.4065894588169593,-110.2,-382.744,-128.0
13,0.38909013162740125,-110.4,-381.156,-110.6
14,0.3477262202323017,-112.4,-372.452,-128.2
15,0.32734483123857616,-113.4,-368.17199999999997,-143.4
16,0.3057462929917129,-105.0,-370.088,-117.8
17,0.2933369440647869,-102.8,-358.76800000000003,-102.8
18,0.29215602981675287,-103.0,-361.39599999999996,-103.0
19,0.28857283745480267,-103.0,-355.18399999999997,-103.0
20,0.2835618832801094,-96.4,-351.88,-103.2
21,0.3571086188521576,-91.8,-388.784,-103.4
22,0.2897730501935684,-92.2,-333.34,-120.6
23,0.31119981046248074,-93.0,-377.204,-120.6
24,0.29876068622914337,-93.0,-352.144,-93.0
25,0.29915145253065417,-93.8,-349.53200000000004,-93.8
26,0.2721184647272402,-99.4,-327.58399999999995,-101.4
27,0.26742593706978013,-99.0,-321.46,-103.8
28,0.24467337650966878,-90.8,-320.624,-107.0
29,0.2250962829428802,-91.2,-279.812,-100.6
30,0.2151181156127618,-99.4,-310.37199999999996,-101.6
31,0.20925830472963095,-95.2,-300.688,-102.8
32,0.20957967465415017,-97.2,-317.68800000000005,-103.8
33,0.21081644490730111,-97.8,-312.096,-99.6
34,0.20448690082205717,-98.6,-279.452,-104.2
35,0.2014616137177156,-98.2,-294.844,-104.8
36,0.225592366089411,-93.4,-323.556,-103.2
37,0.24179461139196973,-102.2,-344.87199999999996,-128.2
38,0.23196608197111726,-98.2,-307.54400000000004,-98.2
39,0.23030815290185092,-106.6,-324.908,-106.6
40,0.22916794134252863,-100.2,-321.784,-102.8
41,0.2251989865160977,-89.8,-303.488,-99.2
42,0.21426571110099651,-92.6,-303.644,-103.6
43,0.2122233385844033,-95.2,-300.1,-97.2
44,0.21071020493812193,-93.4,-312.736,-93.4
45,0.23192453403614136,-93.0,-329.75199999999995,-110.6
46,0.2373863856214294,-98.4,-330.70399999999995,-98.4
47,0.2561081873048502,-100.0,-343.992,-101.8
48,0.23879435816622763,-100.0,-321.656,-106.6
49,0.22887138828182976,-95.0,-299.428,-95.0
50,0.2305690681214217,-97.0,-326.48,-97.0
51,0.23600689309043363,-91.2,-332.792,-106.0
52,0.23134436548131357,-95.4,-320.632,-95.4
53,0.22760069382126608,-91.6,-316.108,-103.4
54,0.22449611482636045,-99.0,-317.428,-99.0
55,0.24108434267940812,-102.8,-336.832,-108.6
56,0.2974662166244153,-100.0,-367.43199999999996,-108.0
57,0.3098271637318217,-104.0,-377.02,-104.0
58,0.28389187481307787,-96.0,-329.3639999999999,-100.2
59,0.2677085330097023,-97.8,-315.232,-97.8
60,0.2552345848731282,-94.6,-301.624,-94.6
61,0.23642596799580326,-95.0,-302.66,-100.0
62,0.23472093240958214,-101.2,-332.064,-105.8
63,0.2108381804673393,-99.4,-287.716,-99.4
64,0.23695417219741474,-94.4,-328.564,-94.4
65,0.2248455712882142,-90.6,-307.1,-90.6
66,0.24612755855130555,-94.6,-335.712,-96.8
67,0.22964873828931787,-92.6,-308.76800000000003,-92.8
68,0.2290586547241208,-89.0,-320.73599999999993,-91.6
69,0.2591268376697714,-88.6,-345.12399999999997,-99.6
70,0.2401686465287819,-88.6,-319.252,-100.8
71,0.23865694530514822,-96.8,-330.932,-102.0
72,0.2619929227576695,-91.8,-348.996,-104.8
73,0.2554720191247421,-88.4,-337.16799999999995,-95.0
74,0.36605982185265024,-92.8,-391.58799999999997,-103.2
75,0.30099535219029816,-99.2,-329.32800000000003,-99.2
76,0.28512731283468323,-91.8,-349.8,-119.0
77,0.2824486910887223,-89.4,-354.74000000000007,-91.6
78,0.27200321966931035,-91.4,-292.19199999999995,-91.6
79,0.24046294954363218,-92.2,-315.404,-92.2
80,0.24001610929880618,-95.0,-325.612,-95.2
81,0.23520481692030748,-89.8,-326.452,-92.4
82,0.22786019272659397,-95.0,-316.22799999999995,-96.6
83,0.2162364446014328,-90.6,-277.8,-99.0
84,0.21124297809198547,-95.6,-291.792,-95.6
85,0.20353979613447795,-93.8,-281.824,-93.8
86,0.1852465975075416,-90.6,-235.60399999999998,-126.6
87,0.1770072739764697,-91.2,-268.87200000000007,-91.2
88,0.17028765616403604,-93.0,-241.63600000000002,-96.8
89,0.19300150856300216,-93.4,-291.972,-100.8
90,0.18109964083308833,-98.6,-264.372,-98.6
91,0.17792218474680624,-96.4,-265.524,-99.8
92,0.17035224962500733,-95.8,-230.01200000000006,-104.0
93,0.17013675610716575,-95.2,-261.44,-95.2
94,0.15931894074471,-92.6,-208.88000000000002,-100.0
95,0.16141520058961906,-92.6,-246.076,-92.6
96,0.15751113278272422,-93.2,-237.0,-96.4
97,0.1557492780333422,-90.8,-233.06,-90.8
98,0.15384805776005128,-91.6,-228.34399999999997,-97.6
99,0.1521621889718873,-93.2,-227.08399999999997,-100.2
100,0.15378520714698268,-90.0,-233.04399999999998,-90.0
