Generation,Best_Reward,Avg_Reward,Std_Reward,Worst_Reward
1,-500.0,-500.0,0.0,-500.0
2,-500.0,-500.0,0.0,-500.0
3,-184.0,-493.584,44.23138867365572,-500.0
4,-197.2,-489.352,47.18265037066061,-500.0
5,-178.8,-457.01199999999994,87.42254546740216,-500.0
6,-172.4,-452.48,92.67963746152657,-500.0
7,-172.6,-429.75199999999995,109.57183258483904,-500.0
8,-193.8,-427.18399999999997,115.28939475944873,-500.0
9,-116.4,-423.376,126.61612308075146,-500.0
10,-121.6,-406.0,134.6043505983369,-500.0
11,-117.0,-406.28,143.67919264806577,-500.0
12,-110.2,-382.744,158.92771207061404,-500.0
13,-110.4,-381.156,158.06483373603376,-500.0
14,-112.4,-372.452,164.43529455685604,-500.0
15,-113.4,-368.17199999999997,164.83792772296067,-500.0
16,-105.0,-370.088,167.03362133414936,-500.0
17,-102.8,-358.76800000000003,172.06453375405403,-500.0
18,-103.0,-361.39599999999996,164.56277824587187,-500.0
19,-103.0,-355.18399999999997,170.54927189525026,-500.0
20,-96.4,-351.88,174.66375468310534,-500.0
21,-91.8,-388.784,168.6980347959039,-500.0
22,-92.2,-333.34,169.47787702234177,-500.0
23,-93.0,-377.204,166.37561595378094,-500.0
24,-93.0,-352.144,170.92694598570466,-500.0
25,-93.8,-349.53200000000004,168.71680229307333,-500.0
26,-99.4,-327.58399999999995,172.7129819787731,-500.0
27,-99.0,-321.46,173.398215677094,-500.0
28,-90.8,-320.624,165.41886538118922,-500.0
29,-91.2,-279.812,174.0891560551662,-500.0
30,-99.4,-310.37199999999996,175.4710825634811,-500.0
31,-95.2,-300.688,182.12326006306827,-500.0
32,-97.2,-317.68800000000005,169.40432183388947,-500.0
33,-97.8,-312.096,171.8140308123874,-500.0
34,-98.6,-279.452,169.93792659674298,-500.0
35,-98.2,-294.844,175.59727237061512,-500.0
36,-93.4,-323.556,179.25546146212673,-500.0
37,-102.2,-344.87199999999996,171.65624607336605,-500.0
38,-98.2,-307.54400000000004,152.86247958213946,-500.0
39,-106.6,-324.908,171.88547913072819,-500.0
40,-100.2,-321.784,174.14383866218176,-500.0
41,-89.8,-303.488,166.53584435790393,-500.0
42,-92.6,-303.644,165.97457776418656,-500.0
43,-95.2,-300.1,173.4624305145065,-500.0
44,-93.4,-312.736,176.89450614419883,-500.0
45,-93.0,-329.75199999999995,175.56613140352556,-500.0
46,-98.4,-330.70399999999995,180.48215973885064,-500.0
47,-100.0,-343.992,175.78343020887948,-500.0
48,-100.0,-321.656,170.8704540404806,-500.0
49,-95.0,-299.428,175.94002164374086,-500.0
50,-97.0,-326.48,179.4109829414019,-500.0
51,-91.2,-332.792,184.73604503723683,-500.0
52,-95.4,-320.632,174.32124074822323,-500.0
53,-91.6,-316.108,175.8818522076681,-500.0
54,-99.0,-317.428,172.59547159760595,-500.0
55,-102.8,-336.832,175.06281551488883,-500.0
56,-100.0,-367.43199999999996,169.03975087534886,-500.0
57,-104.0,-377.02,169.9207026821629,-500.0
58,-96.0,-329.3639999999999,175.99723947835088,-500.0
59,-97.8,-315.232,164.1212934874692,-500.0
60,-94.6,-301.624,179.0053346244184,-500.0
61,-95.0,-302.66,167.49586382952862,-500.0
62,-101.2,-332.064,179.32841577396485,-500.0
63,-99.4,-287.716,181.8632237259639,-500.0
64,-94.4,-328.564,183.32331085816662,-500.0
65,-90.6,-307.1,177.15833934647276,-500.0
66,-94.6,-335.712,180.54450159448226,-500.0
67,-92.6,-308.76800000000003,182.8770925403179,-500.0
68,-89.0,-320.73599999999993,182.7945357607825,-500.0
69,-88.6,-345.12399999999997,180.75228082655002,-500.0
70,-88.6,-319.252,177.0328638869066,-500.0
71,-96.8,-330.932,178.89125013817753,-500.0
72,-91.8,-348.996,178.28367727865609,-500.0
73,-88.4,-337.16799999999995,184.88110064579342,-500.0
74,-92.8,-391.58799999999997,170.1872305903119,-500.0
75,-99.2,-329.32800000000003,174.5680372118562,-500.0
76,-91.8,-349.8,178.41685122207488,-500.0
77,-89.4,-354.74000000000007,184.63714577516626,-500.0
78,-91.4,-292.19199999999995,185.7725833808638,-500.0
79,-92.2,-315.404,179.60425602975002,-500.0
80,-95.0,-325.612,171.19038949660694,-500.0
81,-89.8,-326.452,174.56230433859426,-500.0
82,-95.0,-316.22799999999995,177.26888056283312,-500.0
83,-90.6,-277.8,173.39889734366827,-500.0
84,-95.6,-291.792,171.7904768489802,-500.0
85,-93.8,-281.824,171.05258905962225,-500.0
86,-90.6,-235.60399999999998,161.52275128909858,-500.0
87,-91.2,-268.87200000000007,179.042653063453,-500.0
88,-93.0,-241.63600000000002,166.6260564977759,-500.0
89,-93.4,-291.972,180.88767789985033,-500.0
90,-98.6,-264.372,161.04801773384236,-500.0
91,-96.4,-265.524,161.25609391275728,-500.0
92,-95.8,-230.01200000000006,155.89484358374398,-500.0
93,-95.2,-261.44,165.58010025362347,-500.0
94,-92.6,-208.88000000000002,147.39569057472477,-500.0
95,-92.6,-246.076,158.32878646664352,-500.0
96,-93.2,-237.0,157.252281382497,-500.0
97,-90.8,-233.06,146.5366043007685,-500.0
98,-91.6,-228.34399999999997,147.41440385525425,-500.0
99,-93.2,-227.08399999999997,148.12229590443164,-500.0
100,-90.0,-233.04399999999998,164.14377254102575,-500.0
