generation,best_fitness_score,global_max_raw_reward,global_avg_raw_reward,selected_individual_reward
1,0.09999999999999988,-500.0,-500.0,-500.0
2,0.09999999999999988,-500.0,-500.0,-500.0
3,0.09999999999999988,-500.0,-500.0,-500.0
4,0.09999999999999988,-500.0,-500.0,-500.0
5,1.0799946154142004,-481.8,-499.63599999999997,-481.8
6,1.0699949487364226,-481.8,-499.57599999999996,-481.8
7,1.0666617265104967,-481.8,-499.57599999999996,-481.8
8,4.319524761738875,-201.2,-492.9,-201.2
9,3.6492946696500916,-192.4,-489.44800000000004,-192.4
10,3.4127342275043007,-237.6,-489.332,-237.6
11,2.991728860806346,-193.0,-481.088,-193.0
12,2.6227794103113236,-206.2,-473.70000000000005,-206.2
13,1.8961664315652118,-197.2,-456.992,-210.4
14,1.3794036633384619,-158.6,-427.504,-217.8
15,0.8468421767207861,-143.0,-410.32,-249.2
16,0.57793543059363,-135.4,-423.096,-209.4
17,0.4407843295084531,-109.2,-395.44,-214.0
18,0.41090776053356387,-129.8,-393.80799999999994,-138.2
19,0.3724606449570259,-123.6,-370.9839999999999,-141.4
20,0.337959769441797,-113.8,-352.8,-152.4
21,0.30863887113558797,-109.2,-367.55199999999996,-131.8
22,0.286031734307429,-102.0,-352.344,-131.0
23,0.29095257295591626,-103.8,-370.1359999999999,-103.8
24,0.27874413189030467,-108.0,-344.94,-124.6
25,0.28504162730265725,-100.6,-359.216,-100.6
26,0.25606664499796034,-103.8,-303.332,-106.2
27,0.24242880679931905,-100.2,-304.788,-109.0
28,0.2242585766401667,-98.8,-308.788,-98.8
29,0.22402477761333173,-99.4,-331.30800000000005,-99.4
30,0.23168327013430026,-108.4,-332.5160000000001,-111.8
31,0.23295079564240606,-101.2,-334.19599999999997,-114.8
32,0.2547457032466698,-96.2,-339.728,-96.2
33,0.23506539076313446,-87.0,-306.548,-87.0
34,0.23376505491296987,-92.6,-323.50000000000006,-92.6
35,0.2285307179841039,-102.0,-311.50000000000006,-108.8
36,0.22571459106751335,-88.0,-317.72,-88.0
37,0.21725783801747026,-87.0,-296.472,-87.0
38,0.21996606207715014,-87.2,-319.012,-87.2
39,0.20740217991261897,-91.4,-259.384,-91.4
40,0.20408153305756388,-98.2,-289.184,-98.2
41,0.19763260493205737,-94.2,-296.23999999999995,-105.0
42,0.19724158948226875,-95.0,-296.08,-98.2
43,0.20629353584456508,-87.8,-302.108,-93.2
44,0.20703769652286175,-87.0,-303.536,-93.0
45,0.23890917348933155,-92.4,-336.05600000000004,-109.2
46,0.2120581835633465,-90.2,-287.38,-107.0
47,0.19846707550041748,-90.2,-234.17200000000005,-94.4
48,0.19461239823523813,-95.2,-283.288,-95.2
49,0.19059338230068218,-100.2,-286.492,-100.2
50,0.22871945498053653,-93.4,-322.18,-102.4
51,0.19204813456625203,-90.0,-245.28,-104.6
52,0.18151767101708535,-104.8,-251.276,-113.6
53,0.1732015895526592,-96.0,-239.332,-113.2
54,0.19895219169466347,-95.8,-290.832,-97.8
55,0.18810695906104516,-102.8,-281.608,-112.6
56,0.17623507075069741,-106.8,-243.16,-108.8
57,0.1738560060228695,-98.4,-258.288,-98.4
58,0.16929303294335146,-100.6,-236.976,-103.0
59,0.18059563473100054,-93.4,-274.276,-93.4
60,0.17981312491605622,-92.8,-270.984,-92.8
61,0.171531504798097,-90.2,-234.75199999999998,-90.2
62,0.1671912301543571,-90.0,-233.25599999999997,-90.0
63,0.16467453132774407,-93.4,-236.66,-93.4
64,0.16662665899810458,-93.2,-256.348,-97.2
65,0.17566100234654924,-87.8,-264.976,-87.8
66,0.16315414794614072,-91.0,-234.20800000000003,-99.4
67,0.16316513574357847,-93.2,-252.86,-97.2
68,0.18268852308872383,-95.4,-279.536,-99.6
69,0.1661469147618861,-96.6,-233.24,-101.2
70,0.1620142692315855,-100.4,-245.78400000000002,-109.8
71,0.16761261738457783,-93.6,-257.58,-93.6
72,0.16047279963831587,-84.2,-228.676,-84.2
73,0.14974721311326503,-88.8,-186.51199999999997,-98.2
74,0.1572868189968768,-94.2,-241.13999999999996,-94.2
75,0.14755411777901745,-91.2,-208.868,-99.2
76,0.14155703871573797,-85.2,-198.75999999999996,-85.2
77,0.1385816821872155,-87.6,-201.31199999999998,-87.6
78,0.14114251748577017,-92.6,-210.97199999999998,-92.6
79,0.13903134837659498,-85.4,-211.22799999999998,-85.4
80,0.1411875225199637,-86.4,-210.088,-86.4
81,0.14520507935263774,-89.2,-218.00799999999998,-91.2
82,0.13921347893386002,-89.0,-174.808,-90.2
83,0.16881630953779136,-89.2,-255.64800000000002,-89.2
84,0.15801013314610532,-90.8,-221.524,-90.8
85,0.15071813735105813,-93.2,-209.90800000000002,-105.0
86,0.15149594076522205,-90.2,-230.116,-91.6
87,0.14662869793176464,-90.6,-203.64399999999998,-90.6
88,0.1430138457492184,-89.6,-217.15599999999998,-101.2
89,0.13851583240582369,-86.8,-170.768,-92.8
90,0.15249850523592645,-88.6,-231.06800000000004,-91.2
91,0.14566603581083876,-91.8,-205.43199999999996,-92.4
92,0.14865631313737376,-91.2,-232.30399999999997,-102.8
93,0.1444468329346812,-87.6,-203.22,-97.6
94,0.14340492463010407,-96.6,-217.46000000000004,-96.6
95,0.14111472724738083,-88.6,-208.112,-88.6
96,0.14207555155098034,-83.8,-209.65600000000003,-84.8
97,0.14146198361790602,-83.6,-206.396,-85.4
98,0.13523814953097368,-90.6,-160.16400000000002,-92.0
99,0.13753219398940048,-83.8,-206.77599999999998,-83.8
100,0.16458052070331622,-84.4,-257.54400000000004,-103.6
