Generation,Best_Reward,Avg_Reward,Std_Reward,Worst_Reward
1,-500.0,-500.0,0.0,-500.0
2,-500.0,-500.0,0.0,-500.0
3,-500.0,-500.0,0.0,-500.0
4,-500.0,-500.0,0.0,-500.0
5,-481.8,-499.63599999999997,2.5479999999999983,-500.0
6,-481.8,-499.57599999999996,2.5739121974146646,-500.0
7,-481.8,-499.57599999999996,2.5739121974146646,-500.0
8,-201.2,-492.9,42.010327301748084,-500.0
9,-192.4,-489.44800000000004,47.71261569019246,-500.0
10,-237.6,-489.332,41.97326024983049,-500.0
11,-193.0,-481.088,52.76634018008071,-500.0
12,-206.2,-473.70000000000005,57.13679374973714,-500.0
13,-197.2,-456.992,75.08930107545282,-500.0
14,-158.6,-427.504,103.41569892429293,-500.0
15,-143.0,-410.32,109.74801683857434,-500.0
16,-135.4,-423.096,115.54757454832188,-500.0
17,-109.2,-395.44,138.94300414198622,-500.0
18,-129.8,-393.80799999999994,142.51827649813902,-500.0
19,-123.6,-370.9839999999999,158.39599914139248,-500.0
20,-113.8,-352.8,151.99215769242835,-500.0
21,-109.2,-367.55199999999996,161.63795376086645,-500.0
22,-102.0,-352.344,170.93777600050845,-500.0
23,-103.8,-370.1359999999999,169.9223325640276,-500.0
24,-108.0,-344.94,176.80591958415874,-500.0
25,-100.6,-359.216,169.4031680459371,-500.0
26,-103.8,-303.332,178.92858736378602,-500.0
27,-100.2,-304.788,171.64650376864657,-500.0
28,-98.8,-308.788,173.89188553811243,-500.0
29,-99.4,-331.30800000000005,173.46956025770055,-500.0
30,-108.4,-332.5160000000001,175.19834286887533,-500.0
31,-101.2,-334.19599999999997,179.34380163250694,-500.0
32,-96.2,-339.728,171.2266603540465,-500.0
33,-87.0,-306.548,177.2089108820434,-500.0
34,-92.6,-323.50000000000006,172.65093223032417,-500.0
35,-102.0,-311.50000000000006,171.42806888021576,-500.0
36,-88.0,-317.72,185.6396293898477,-500.0
37,-87.0,-296.472,175.20148291609866,-500.0
38,-87.2,-319.012,178.67943322050246,-500.0
39,-91.4,-259.384,166.96139357348451,-500.0
40,-98.2,-289.184,173.0761351082234,-500.0
41,-94.2,-296.23999999999995,174.52569782126642,-500.0
42,-95.0,-296.08,184.84683822018704,-500.0
43,-87.8,-302.108,177.14298951976622,-500.0
44,-87.0,-303.536,176.26950928620641,-500.0
45,-92.4,-336.05600000000004,173.0816364147277,-500.0
46,-90.2,-287.38,174.30065633840854,-500.0
47,-90.2,-234.17200000000005,157.36057452869193,-500.0
48,-95.2,-283.288,172.92536730046288,-500.0
49,-100.2,-286.492,168.17682223184025,-500.0
50,-93.4,-322.18,171.38686180684914,-500.0
51,-90.0,-245.28,162.69508658837856,-500.0
52,-104.8,-251.276,159.80245249682497,-500.0
53,-96.0,-239.332,149.77207542128806,-500.0
54,-95.8,-290.832,162.3411635291555,-500.0
55,-102.8,-281.608,173.13847387568137,-500.0
56,-106.8,-243.16,151.60513447769506,-500.0
57,-98.4,-258.288,166.03858423872447,-500.0
58,-100.6,-236.976,161.6192990456276,-500.0
59,-93.4,-274.276,168.5245282562749,-500.0
60,-92.8,-270.984,169.09547523218947,-500.0
61,-90.2,-234.75199999999998,151.670498436578,-500.0
62,-90.0,-233.25599999999997,152.97007832906408,-500.0
63,-93.4,-236.66,152.18849496594677,-500.0
64,-93.2,-256.348,153.12709393180555,-500.0
65,-87.8,-264.976,163.61421278116396,-500.0
66,-91.0,-234.20800000000003,154.22390455438483,-500.0
67,-93.2,-252.86,158.57543441529648,-500.0
68,-95.4,-279.536,171.5918433492688,-500.0
69,-96.6,-233.24,162.31236058908144,-500.0
70,-100.4,-245.78400000000002,159.62968566028061,-500.0
71,-93.6,-257.58,174.00718720788518,-500.0
72,-84.2,-228.676,162.0215486409138,-500.0
73,-88.8,-186.51199999999997,124.61156389356486,-500.0
74,-94.2,-241.13999999999996,159.765804851977,-500.0
75,-91.2,-208.868,141.96987629775552,-500.0
76,-85.2,-198.75999999999996,126.26691728239824,-500.0
77,-87.6,-201.31199999999998,147.92167202949,-500.0
78,-92.6,-210.97199999999998,147.5023200359913,-500.0
79,-85.4,-211.22799999999998,152.54714161858297,-500.0
80,-86.4,-210.088,157.77441698830643,-500.0
81,-89.2,-218.00799999999998,150.63731787309544,-500.0
82,-89.0,-174.808,110.38331004277775,-500.0
83,-89.2,-255.64800000000002,164.5461178393462,-500.0
84,-90.8,-221.524,143.54635705583058,-500.0
85,-93.2,-209.90800000000002,137.47934367024013,-500.0
86,-90.2,-230.116,157.0737767547467,-500.0
87,-90.6,-203.64399999999998,139.7485300960264,-500.0
88,-89.6,-217.15599999999998,146.07315586376575,-500.0
89,-86.8,-170.768,118.81421032856296,-500.0
90,-88.6,-231.06800000000004,161.07117239282763,-500.0
91,-91.8,-205.43199999999996,138.07823498292552,-500.0
92,-91.2,-232.30399999999997,155.21049572757636,-500.0
93,-87.6,-203.22,145.81535310110522,-500.0
94,-96.6,-217.46000000000004,142.90647711003163,-500.0
95,-88.6,-208.112,149.06016052587628,-500.0
96,-83.8,-209.65600000000003,150.64906526095672,-500.0
97,-83.6,-206.396,152.30170840801492,-500.0
98,-90.6,-160.16400000000002,90.20431643774039,-500.0
99,-83.8,-206.77599999999998,149.099529925483,-500.0
100,-84.4,-257.54400000000004,159.75339515640977,-500.0
