epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,13.7661,0.99359,0.52845,0.17914,0.75029,1.05519,0.9985,1,0.995,0.95767,0.9985,1,0.995,0.99327,0.34409,0.09603,0.07502,0.20331,0.85914,0.000653333,0.000653333,0.000653333
2,24.5522,0.56466,0.12031,0.0536,0.46566,0.9142,0.99968,1,0.995,0.97902,0.99968,1,0.995,0.9946,0.2515,0.07868,0.02068,0.20298,0.84983,0.00129386,0.00129386,0.00129386
3,34.9779,0.5292,0.15166,0.06583,0.46182,0.90304,0.99562,1,0.995,0.98657,0.99562,1,0.995,0.995,0.26781,0.07969,0.01361,0.20933,0.85006,0.00190799,0.00190799,0.00190799
4,45.4274,0.5531,0.15097,0.06397,0.46176,0.90727,0.9997,1,0.995,0.97039,0.9997,1,0.995,0.995,0.28723,0.1007,0.01013,0.20682,0.85371,0.0018812,0.0018812,0.0018812
5,55.226,0.51377,0.11498,0.04753,0.46677,0.90512,0.99972,1,0.995,0.97693,0.99972,1,0.995,0.995,0.24131,0.07438,0.00437,0.19687,0.84803,0.0018416,0.0018416,0.0018416
6,65.7578,0.47745,0.11825,0.04365,0.4425,0.89349,0.99968,1,0.995,0.97062,0.99968,1,0.995,0.995,0.26667,0.05721,0.01129,0.21536,0.8507,0.001802,0.001802,0.001802
7,74.8397,0.51063,0.10188,0.05004,0.44729,0.90736,0.99971,1,0.995,0.98679,0.99971,1,0.995,0.995,0.27048,0.07834,0.00657,0.21485,0.85094,0.0017624,0.0017624,0.0017624
8,83.8067,0.49422,0.10709,0.04661,0.44796,0.90414,0.99972,1,0.995,0.98426,0.99972,1,0.995,0.995,0.22766,0.05486,0.00549,0.19086,0.84552,0.0017228,0.0017228,0.0017228
9,92.9905,0.44041,0.09711,0.04493,0.41509,0.87634,0.99971,1,0.995,0.98307,0.99971,1,0.995,0.99432,0.25302,0.06386,0.02686,0.20609,0.8477,0.0016832,0.0016832,0.0016832
10,102.028,0.48466,0.07995,0.04201,0.42383,0.8954,0.99964,1,0.995,0.99443,0.99964,1,0.995,0.995,0.20874,0.08863,0.01206,0.17266,0.84328,0.0016436,0.0016436,0.0016436
11,110.525,0.4657,0.07712,0.04482,0.43514,0.90215,0.9997,1,0.995,0.99298,0.9997,1,0.995,0.995,0.20596,0.05334,0.09298,0.17803,0.84238,0.001604,0.001604,0.001604
12,119.399,0.46865,0.08291,0.04818,0.43226,0.88744,0.9997,1,0.995,0.995,0.9997,1,0.995,0.99349,0.20318,0.08199,0.04996,0.1812,0.84641,0.0015644,0.0015644,0.0015644
13,128.739,0.45267,0.08267,0.03275,0.41218,0.89562,0.99971,1,0.995,0.99264,0.99971,1,0.995,0.995,0.18716,0.06218,0.01438,0.16761,0.84336,0.0015248,0.0015248,0.0015248
14,139.327,0.46501,0.08294,0.04286,0.42999,0.89741,0.99971,1,0.995,0.99243,0.99971,1,0.995,0.995,0.20266,0.06861,0.02692,0.17256,0.84352,0.0014852,0.0014852,0.0014852
15,149.939,0.44617,0.06821,0.03756,0.41726,0.89624,0.99972,1,0.995,0.995,0.99972,1,0.995,0.995,0.18226,0.05588,0.01472,0.15923,0.84207,0.0014456,0.0014456,0.0014456
16,159.881,0.43741,0.06684,0.03758,0.41107,0.88515,0.99971,1,0.995,0.97473,0.99971,1,0.995,0.995,0.25681,0.03648,0.01562,0.18896,0.84986,0.001406,0.001406,0.001406
17,171.159,0.43106,0.07166,0.03915,0.4021,0.88606,0.99973,1,0.995,0.98048,0.99973,1,0.995,0.995,0.25621,0.04733,0.03939,0.18937,0.84641,0.0013664,0.0013664,0.0013664
18,180.777,0.42125,0.07022,0.03909,0.39579,0.88357,0.99972,1,0.995,0.99478,0.99972,1,0.995,0.995,0.1932,0.04849,0.01512,0.16255,0.84146,0.0013268,0.0013268,0.0013268
19,189.7,0.41902,0.06698,0.03787,0.38889,0.8812,0.99972,1,0.995,0.99391,0.99972,1,0.995,0.995,0.20855,0.04841,0.00524,0.15938,0.84313,0.0012872,0.0012872,0.0012872
20,199.616,0.41422,0.07203,0.02966,0.40896,0.88739,0.99971,1,0.995,0.98937,0.99971,1,0.995,0.99382,0.22403,0.06238,0.01187,0.17155,0.84566,0.0012476,0.0012476,0.0012476
21,208.621,0.38802,0.07243,0.03007,0.39172,0.87942,0.99972,1,0.995,0.99467,0.99972,1,0.995,0.99254,0.15918,0.08378,0.01973,0.15268,0.8395,0.001208,0.001208,0.001208
