generation,best_fitness_score,global_max_raw_reward,global_avg_raw_reward,selected_individual_reward
1,0.11828890084406235,11.0,9.296,11.0
2,0.22366026384063567,22.6,10.116,22.6
3,1.0632023879168346,166.0,15.563999999999998,166.0
4,0.8031618887440976,171.8,30.976,167.0
5,0.5850384213072435,500.0,87.132,131.4
6,0.46091976236344956,500.0,163.108,144.4
7,0.3833960417406599,500.0,210.12800000000004,155.6
8,0.34439415374877536,500.0,197.056,500.0
9,0.3231515643838931,500.0,211.02800000000002,500.0
10,0.2664830597053701,500.0,187.952,500.0
11,0.2515702068833501,500.0,211.452,500.0
12,0.29261198230339047,500.0,170.968,500.0
13,0.28372558936114556,500.0,181.97199999999998,500.0
14,0.2738773133921682,500.0,197.58,500.0
15,0.2562990898797599,500.0,245.84400000000002,500.0
16,0.2485446904042175,500.0,230.032,500.0
17,0.2345327788334485,500.0,225.38,500.0
18,0.223513067690775,500.0,227.58,500.0
19,0.23120542076322678,500.0,216.48000000000005,500.0
20,0.2284553470119156,500.0,221.808,500.0
