generation,best_fitness_score,global_max_raw_reward,global_avg_raw_reward,selected_individual_reward
1,0.2681514009051636,27.2,9.86,27.2
2,0.2822900751054099,33.0,11.1,33.0
3,0.43194460189362394,90.8,21.18,90.8
4,0.33647953541718184,90.4,34.211999999999996,81.6
5,0.28192753632847034,95.8,45.032,78.4
6,0.6124748645604483,344.0,53.748000000000005,344.0
7,0.6552577533602878,425.2,60.82,425.2
8,0.6327236687946257,427.6,72.416,427.6
9,0.5994722394781342,500.0,90.33200000000001,451.0
10,0.5647097069484589,462.0,103.03999999999998,438.8
11,0.4938448205504014,500.0,159.72799999999998,408.8
12,0.39779569178256885,500.0,183.92000000000004,500.0
13,0.3574720805224519,500.0,223.93600000000004,441.0
14,0.28771807682761236,500.0,242.96399999999997,500.0
15,0.24491228180684693,500.0,243.12,500.0
16,0.2239494927768307,500.0,239.39199999999997,500.0
17,0.20295197472479093,500.0,298.096,500.0
18,0.19437518194612344,500.0,275.796,500.0
19,0.18860079239915184,500.0,281.808,500.0
20,0.2017591052178857,500.0,248.20399999999998,500.0
