generation,best_fitness_score,global_max_raw_reward,global_avg_raw_reward,selected_individual_reward
1,0.04727465028502744,-119.4364138298733,-335.5952597825922,-119.4364138298733
2,0.047574121046787925,-119.43698194525575,-274.9172949745859,-119.43698194525575
3,0.04577910809514907,-124.64908320824343,-335.49435085854003,-146.33226446746647
4,0.04565884432322914,-114.87450564363294,-267.0960141426023,-116.6179363260723
5,0.04543519854466059,-79.1724592474892,-227.69953700622716,-114.12927369542186
6,0.044737130910525336,-97.61111541817816,-291.30718009839217,-125.75050134885355
7,0.044048598784378265,-109.34757858130565,-279.53158920763315,-109.34757858130565
8,0.0438091551510935,-113.81522500029143,-278.104312923618,-117.02342851639109
9,0.04477736664351012,-43.190839161166586,-290.0713107564305,-107.67953480172574
10,0.04362143799729791,-116.97951661131614,-272.3526881806129,-128.4680211401611
11,0.046844514475422566,-124.99310991032306,-278.9636204441596,-124.99310991032306
12,0.04579594629730555,-120.33055090266475,-243.57476470358137,-147.3736670874709
13,0.04552312402390088,-112.48924372091908,-246.2023489568168,-112.48924372091908
14,0.04793476522395997,-105.67514141647317,-288.124418706978,-105.67514141647317
15,0.04792834459885993,-107.53271361432743,-250.25917127754772,-107.53271361432743
16,0.04719674346782635,-116.58101814231777,-268.67638434291155,-125.05344977234206
17,0.047146535111530205,-117.63164355022859,-270.30462944967763,-125.17841479692325
18,0.046780800066900316,-123.86776291704334,-276.7871332457523,-145.34040919643172
19,0.04641081163533363,-123.52499810300779,-244.69355403242588,-134.49379986737696
20,0.0459791511774329,-94.13207220783482,-245.90900099360772,-119.61449451740036
21,0.04625321214067988,-113.86516455037201,-232.03482093754337,-113.86516455037201
22,0.04622844490474031,-113.95271236659134,-244.93153680694013,-126.32567832318834
23,0.04656441728489541,-101.19220311890042,-239.26358786237606,-101.19220311890042
24,0.04591666396891703,-94.81547797866412,-226.73752817083212,-94.81547797866412
25,0.046016796819879614,-87.97246241474593,-252.07681756078,-87.97246241474593
26,0.045867467298050295,-78.46462893779227,-211.6407193612234,-93.15591916754161
27,0.04572605330754031,-95.63819974635275,-210.48607987337115,-115.18799434686937
28,0.04704552404100481,-67.52158457044357,-240.7635592097203,-67.52158457044357
29,0.04553420226989155,-88.49774190154997,-196.43335196074477,-88.49774190154997
30,0.04898272601473373,-69.10558477081506,-228.77400279916856,-120.91455958934594
31,0.0466217206358032,-64.67683057519051,-185.87593531696095,-74.34503340850817
32,0.04848089711304164,-92.52374022860255,-216.32596350373478,-127.00520226002966
33,0.04722442241178343,-76.0759785393171,-195.11518199823956,-80.57390292770776
34,0.04795107418001117,-81.9920454191417,-185.34749130130277,-81.9920454191417
35,0.04738078651196043,-73.11297773689668,-162.172448046364,-79.18038911729016
36,0.047099059920075535,-72.02661828068238,-174.252802120426,-75.57518502854056
37,0.04834987117131716,-73.3516940257598,-191.8286198090674,-73.3516940257598
38,0.04577594092973563,-77.36971604905679,-183.625222075909,-125.83415726378375
39,0.04589045079388672,-99.15920625260813,-178.21773607596435,-99.15920625260813
