generation,best_fitness_score,global_max_raw_reward,global_avg_raw_reward,selected_individual_reward
1,0.04830010049452467,-125.10279453672248,-506.29058767652083,-125.10279453672248
2,0.04732925316923825,-64.82377969955094,-331.06256036456114,-64.82377969955094
3,0.046051170338879795,-68.81696744054823,-388.9449406060304,-126.38762419974353
4,0.04994320634656069,-79.19686255233178,-346.8116730991642,-96.2544505391899
5,0.04702075584431411,-118.14831601276823,-340.9996810191807,-137.35877899937412
6,0.04667729863426073,-99.79042016843175,-302.43747004124833,-107.39487766346649
7,0.0459979006408098,-91.6432508728259,-304.26682403848974,-132.74797613015477
8,0.046800901350741914,-91.83879164008583,-301.7271910683613,-105.13887313203391
9,0.04606974314834875,-74.92128517137219,-238.47321840820814,-101.49162899474106
10,0.046751737516674705,-66.9172285638473,-214.34007718580918,-66.9172285638473
11,0.04578936520522127,-84.64841856609205,-258.358824550045,-84.64841856609205
12,0.0457233354714355,-81.42970164529325,-253.66031272523313,-81.42970164529325
13,0.045664160086939534,-99.19097131461237,-273.82285581009455,-107.82835132764194
14,0.0450973502003462,-88.2032594748332,-299.8335039140395,-97.25299604864686
15,0.04450319770546547,-48.023288468447944,-309.4147914979858,-61.159407549310664
16,0.045851458421806504,-29.195129313918066,-264.3726636654963,-51.217651841315295
17,0.0453298485909929,-49.22495730430261,-255.9707205147122,-68.82780419998832
18,0.04515917771587775,-60.99543551252971,-225.23064170078402,-60.99543551252971
19,0.044697979171368404,-34.30104982474131,-234.32583002974272,-83.188542320989
20,0.04473782187474488,-41.86327931693584,-274.6342520970389,-41.86327931693584
21,0.04417840570965547,-63.448030711932404,-240.98887460881602,-73.056176425228
22,0.04395887012782188,-45.2726728070884,-264.929279137001,-48.064322673803446
23,0.04610919594422645,-32.66126612363048,-283.1625991568659,-57.718508058965405
24,0.044971182130748494,-91.49906977269688,-247.31190918061458,-99.94464353092948
25,0.04429615224574427,-96.20667133934504,-231.2127056573932,-113.29638146562033
26,0.04415436685263934,-76.14042552410156,-210.94371644242884,-76.14042552410156
27,0.04391011078956898,-85.40449196561316,-238.24136830368133,-85.40449196561316
28,0.04488026173744599,-80.28200046168172,-196.82008741987337,-94.92283770219584
29,0.04478790593722504,-69.31757569583287,-228.23910763122777,-69.31757569583287
30,0.04438041248479772,-80.15428984427646,-257.50894988514403,-83.67747168573543
31,0.044235084616071764,-38.51312597910263,-252.63050155279655,-38.51312597910263
32,0.04404608898384728,-101.1453984027665,-249.00002114086905,-127.44742347998826
33,0.0437663869607986,-79.51112985930598,-257.5031235517412,-112.07091406881594
34,0.04417050033060279,-55.93778289152833,-283.0306162343156,-55.93778289152833
35,0.04392383727420079,-65.98776236072952,-249.75223995298367,-65.98776236072952
36,0.044471200286870335,-61.18413907956865,-192.21342464681842,-63.860373628504284
37,0.044380992499807634,-72.889051175927,-219.6889493634344,-77.01072401024439
38,0.04388587967385738,-65.10234037231317,-218.99987994700902,-94.22302347825149
39,0.04394245902430396,-31.340386737343273,-213.2010181486604,-73.67872011110062
40,0.04389418297928255,-73.06635422001911,-217.1182524943415,-73.06635422001911
41,0.04467653097792036,-62.81166601226444,-212.33018126742743,-62.81166601226444
42,0.04469799352063139,-69.21972082340977,-260.7411271584857,-82.69305861575977
43,0.044535897813960036,-46.24411497339438,-201.67545416590437,-49.62592992608413
44,0.04452608130232852,-61.26366006431524,-202.9489842161026,-61.26366006431524
45,0.046832278762675754,-52.71244368919645,-173.80976114469178,-55.10506550962506
46,0.04553963484267241,-67.11078290439241,-184.11457695787945,-104.85331830666667
47,0.04610895962039449,-61.49485773674716,-191.77999908127347,-67.04142585513547
48,0.04592464917676383,-55.54603053100508,-177.0184064577966,-55.54603053100508
49,0.04720274854469659,-38.19712896033798,-193.8281041156578,-38.19712896033798
50,0.05228503156152993,-47.623808718934036,-189.57208863216553,-47.623808718934036
51,0.051088778915674725,-55.287023927752706,-172.4812202353187,-55.287023927752706
52,0.05231015497431037,-32.853257482140734,-185.33543958939762,-32.853257482140734
53,0.050916241885714024,-60.64457205048336,-197.8507624530884,-60.64457205048336
54,0.04909402331453725,-41.95867696444957,-187.81683566348576,-41.95867696444957
55,0.04830074034298249,-68.8188457992691,-191.98962954423197,-68.8188457992691
56,0.04833198900704203,-51.92823453705669,-218.27427178886714,-51.92823453705669
57,0.04748367892731616,-40.807234540006455,-196.67753983582898,-40.807234540006455
58,0.04659864140775435,-48.70503326274317,-209.903771717784,-65.49401039425749
59,0.0467674713220539,-35.96731479691274,-199.80106220538983,-35.96731479691274
60,0.047032988490609856,-83.37786610061434,-195.71227764056775,-86.2995262932758
61,0.04676140719941882,-59.51510240842508,-204.2491235334693,-59.51510240842508
62,0.04642814434524846,-48.959741496378896,-215.6341310746356,-48.959741496378896
63,0.046697918855608936,-58.53380239991086,-184.05598685023918,-75.68504437179749
64,0.04806898890109299,-52.9598915504411,-206.86753774740885,-52.9598915504411
65,0.047277559686825475,-63.056615851489866,-222.70442245990327,-121.60771319499591
66,0.04669964125651858,-68.05541380674768,-213.0049526993018,-68.05541380674768
67,0.047120792192673996,-71.50880988288324,-213.80660951839005,-71.50880988288324
68,0.046225667604763473,-77.75357511174033,-190.03881960436541,-77.75357511174033
69,0.049686490015064075,-80.5983806682945,-199.38420973948735,-104.47495805815034
70,0.04827210140308527,-111.82315395745923,-241.14267533436814,-153.70056729918383
71,0.04815319787789593,-106.938415486403,-201.57922577041188,-136.42798875063727
72,0.048209824279985304,-93.4986279664073,-214.03591816260084,-104.33117588331454
73,0.049088942521798754,-107.55120675197767,-203.67712379143723,-109.25476746225073
74,0.048344676971204904,-84.54445180464664,-212.1279287080238,-109.21327217410096
75,0.047238398186254554,-78.19855701502775,-222.85678491941854,-113.15710640667275
76,0.05068710087146127,-56.04280887521909,-203.41792267267763,-109.48933744386605
77,0.05360569057956624,-78.00648624722687,-198.4901731836824,-78.00648624722687
78,0.05557543761594621,-65.93491337429552,-226.54972497046572,-65.93491337429552
79,0.05553954612087839,-45.440152563122275,-187.64999033129345,-45.440152563122275
80,0.054737783448870043,-52.469716411160945,-200.77991572543462,-52.469716411160945
81,0.053224412590537916,-35.03135019293031,-192.95034695327828,-47.68130299267332
82,0.05188168977030618,-78.72485758204161,-195.10455969804133,-78.72485758204161
83,0.05002594987739893,-55.94335455325959,-196.04020570955655,-55.94335455325959
84,0.049936612378751605,-58.43260593956954,-181.0127350094645,-71.19434151133513
85,0.04724215276880464,-78.11297375744665,-203.312559390546,-176.53784203338637
86,0.04722248645169508,-49.99219132927795,-196.3332595388074,-49.99219132927795
87,0.04924407832210384,-57.529466522361986,-205.88283767202893,-67.86731776485581
88,0.05027985379743542,-62.141925879452046,-202.94910561306787,-71.9031661218822
89,0.0515392060878452,-17.721178528642096,-212.15922693756949,-17.721178528642096
90,0.05040175936714744,-56.6507646736199,-196.97039460320576,-76.71497226414829
91,0.04968141391546012,-8.584268886106255,-173.23157249543414,-8.584268886106255
92,0.04907514667936787,-47.78290667744743,-213.3308095200683,-54.698627671297665
93,0.04867895283046643,-59.42778740692211,-206.36512755064456,-83.94821708237643
94,0.04717303298037864,-46.394869425949445,-221.77971834833153,-61.24708544999011
95,0.046156348806923556,-30.295878646637043,-193.01606464698392,-30.295878646637043
96,0.046147696154830185,-41.42999929827788,-174.41419728636768,-58.76488641708695
97,0.0458301092247941,-68.86173409519351,-197.65201486408787,-68.86173409519351
98,0.04436184420112349,-72.21680374642416,-211.45438610324982,-135.12303087023147
99,0.04619042608879931,-59.55974767311286,-204.50057994093342,-59.963732082228546
100,0.05013474777254546,-48.000565254168066,-174.23365085624144,-65.43150241394997
101,0.050599115365707575,-16.510272288748336,-194.15712676879053,-49.37720313731381
102,0.054761729764352,-7.124851358306455,-193.1558948756771,-7.124851358306455
103,0.054062997323406844,-5.00653054898861,-154.87462501774104,-5.00653054898861
104,0.052869175116991705,-5.275584356658664,-174.62258192702535,-5.275584356658664
105,0.05144091527361078,8.121556251410334,-229.7553102824228,-71.68115964531417
106,0.05082483695766557,10.020738260726386,-207.4242586786227,10.020738260726386
107,0.05093022092200874,-1.5495975475610464,-192.28660620773982,-32.138480346990335
108,0.05043741968033241,-0.3714471992244853,-165.2688224746434,-16.89124600494846
109,0.05057149258624083,-7.460095819108096,-182.59303571068892,-7.460095819108096
110,0.05178412709134994,-18.974383298392063,-184.89637038348462,-43.14572409989311
111,0.05104444586141403,11.751240965225529,-174.49910120808698,11.751240965225529
112,0.05027316677995066,37.78909870064463,-147.62227460735565,12.432827097988294
113,0.04934554543240674,3.1470687053111135,-162.71565254427924,-20.81303159025765
114,0.05027939122868047,8.66197454583235,-167.35927431117452,-31.158609763546487
115,0.04960572503912847,-7.1775190616641655,-162.74103125521995,-13.210546436201664
116,0.0519663270639184,15.303854303653456,-153.72952677106048,-2.268333762946895
117,0.051412389523465954,-3.2221137132921713,-171.27085049959103,-15.932459243004715
118,0.05172321069010326,-15.004845259271002,-146.52498925559885,-17.669017051662266
119,0.05122950361099297,26.62187279664755,-148.9504490206776,26.62187279664755
120,0.05572350407178788,24.551246651871523,-159.51568018339444,24.551246651871523
121,0.05235731682861025,15.23779724491819,-155.95997409142748,15.23779724491819
122,0.05459063937136874,-34.03525865429007,-193.49148195466938,-34.03525865429007
123,0.05165854001688263,-8.154409332820482,-170.70804276219968,-49.44419232510541
124,0.050774003319185045,14.38911425996593,-203.8209628381467,-38.07551217324995
125,0.05249864240305033,35.27671508549511,-201.79045181992248,35.27671508549511
126,0.0498180340890347,3.6194392931675994,-166.8080113516944,3.6194392931675994
127,0.04872641124897288,21.759117293360568,-156.2388329537649,21.759117293360568
128,0.04883487807643193,7.238485189253251,-173.2167480405497,7.238485189253251
129,0.04854812028192579,-4.887589205878333,-155.3210637384845,-4.887589205878333
130,0.049782960932207077,5.293229324561094,-173.32632474991394,-40.06821387848505
131,0.048462499645079045,-4.012863452795022,-177.23880815933165,-4.012863452795022
132,0.05038837032293481,0.7095458978724707,-173.12625813634216,-13.976410637260852
133,0.051486549437133954,8.818157984639939,-164.021381873146,8.818157984639939
134,0.052985098283273226,9.12103281157767,-164.11900312336195,9.12103281157767
135,0.054060277157705915,-8.278649539300304,-171.7586701784251,-8.278649539300304
136,0.05354227680215358,-44.06295952900488,-172.7890835092113,-82.61977873885402
137,0.052279298353889,-30.078041293372046,-170.4659207693013,-61.289937161494024
138,0.050875057662600476,-25.208984248299267,-170.70374588433097,-65.62558939609315
139,0.049237809179388234,-26.37101321196718,-203.70485675272928,-50.53764763268663
140,0.05375837700166163,-20.229912876980173,-168.43597233382386,-29.696429621703835
141,0.05357147746738994,-21.405266606175864,-167.4080869722731,-33.94896767242388
142,0.05191269951336694,-9.726774280336102,-178.08043000967356,-57.75468897287796
143,0.050975015945128106,-19.443435528788626,-160.41606301685206,-29.76743436384561
144,0.05198532175719442,2.1410006171662106,-187.30087336126869,2.1410006171662106
145,0.053908173773813614,-9.444740958344727,-168.5309835740723,-9.444740958344727
146,0.052454964601993205,-17.706524210141147,-173.35351962675355,-21.538674699934734
147,0.05101901132362014,-0.7250215642926946,-165.45071647139375,-0.7250215642926946
148,0.051071492967988644,7.736460879154896,-163.63810854073236,7.736460879154896
149,0.051098142115650634,31.354299637616712,-175.87441122010577,6.201836440883722
150,0.05015379065969848,-1.3095781174135168,-159.57973071322775,-1.3095781174135168
151,0.050382170983159,-12.076971312013182,-162.332592700493,-12.076971312013182
152,0.050702299465702885,1.7062016652534227,-185.81710919620497,-28.332672117812365
153,0.06043313229799263,14.29067353676777,-197.74724128681137,14.29067353676777
154,0.05632099357257643,-0.8198350302549073,-171.91811689546142,-41.363288433881344
155,0.053134443984765654,17.656631742079856,-141.29257701953006,-51.204163407907046
156,0.05362086021761753,-9.101511243180942,-172.985210915294,-9.101511243180942
157,0.05366543244467918,19.988559977780234,-170.70469846184866,-0.34087998172122697
158,0.05181149735513293,2.709824060187833,-174.97746206451612,2.709824060187833
159,0.050034027268632895,-2.219303110478046,-194.22571574494117,-20.81261812292516
160,0.049399308933454886,-19.09920840478261,-198.029679316075,-76.7165626419451
161,0.05134796196779061,-24.63023067533825,-183.17790959726486,-52.228744334470754
162,0.049887455041216264,11.1199996094744,-175.01943525156076,-54.39972383919089
163,0.04943802804143997,-24.64147588029201,-172.73109470778067,-29.613785134512863
164,0.05012248569744861,-27.381985523826916,-172.75873062503635,-37.39985661331199
165,0.0533882617381477,-39.46651658969653,-192.5538917738731,-74.9264443266273
166,0.050755385357351614,-0.12093683353902521,-182.14523389163858,-33.07206008494357
167,0.050041843570091046,11.99624983483248,-162.55655653109903,-25.493450037471128
168,0.05003323231263433,5.2626685475768396,-152.8802264948669,-22.273756644420605
169,0.05137874474798332,24.35823547288847,-160.50692204679515,-17.7233136858875
170,0.049536851233386935,0.24412949140801743,-183.45889391509044,-63.11921227920952
171,0.048695436005081756,-7.141977545399703,-197.39354073595803,-28.460928525319257
172,0.04863611864961916,-5.970136255717731,-181.71943549489146,-23.384520831732964
173,0.04819636411254337,0.16500558932741569,-161.83775651141985,0.16500558932741569
174,0.048054553877077376,34.39490042307049,-160.4123754909509,16.002106387581875
175,0.052546929240717244,17.866496838353562,-159.5951130433149,17.866496838353562
176,0.05227973428405713,-10.32960124454363,-178.14493092684114,-10.32960124454363
177,0.05114649219916001,104.79669285566442,-164.645914991942,104.79669285566442
178,0.051468458377845396,13.942970881376777,-168.71092239491946,-16.762904901722163
179,0.052640822155998045,60.884455884776074,-167.5657942288807,60.884455884776074
180,0.054045819463586095,9.633618301641713,-172.81984691390244,9.633618301641713
181,0.0515828647020443,35.95136350763331,-143.05247374558587,-19.04802851368254
182,0.05230604162472476,11.037938007078509,-175.96676158671895,11.037938007078509
183,0.05193821742201471,15.671827219778994,-184.39065075856345,15.671827219778994
184,0.05012746027205017,78.98375516844646,-187.5789767850361,3.17129814203073
185,0.051367239643566445,16.264524011555714,-187.20545803186357,-57.32049602378113
186,0.052499151611577324,74.27743653741327,-172.69782128281932,74.27743653741327
187,0.05320617843569551,0.917595290358095,-180.32194920051853,-59.98823016786689
188,0.05437748760653592,21.52473737838971,-180.59628479795248,21.52473737838971
189,0.05455350053905759,7.95773735244961,-192.2885814357919,-43.496760759512995
190,0.054064067345431656,11.339557269286193,-169.81535187848235,11.339557269286193
191,0.05682234739809719,32.61771596354431,-163.68415166648222,27.635276642328755
192,0.05620291545749241,8.792618997930813,-172.198973866305,8.792618997930813
193,0.05462342591226335,30.77131682305013,-140.83233500624834,30.77131682305013
194,0.05429300971446932,24.29360151841697,-178.30572045070264,24.29360151841697
195,0.05399344209642841,20.877562157960334,-182.22277046423247,20.877562157960334
196,0.05357168624918921,13.019815297749943,-195.74664728812488,13.019815297749943
197,0.05409804990298064,37.61020442681439,-164.27501107738888,37.61020442681439
198,0.05574887529227966,87.5714697567773,-171.14941184755202,87.5714697567773
199,0.054507436623991615,22.070922968599795,-180.17659268227956,22.070922968599795
200,0.05405605175950119,22.5565663562295,-156.80095317959834,22.5565663562295
