generation,best_fitness_score,global_max_raw_reward,global_avg_raw_reward,selected_individual_raw_reward
1,0.11460806688651043,-6.489149911733528e-05,-0.42987357687515493,-0.0010554813071675891
2,0.11529762435095145,-4.288559960824875e-05,-0.3669831240059817,-4.288559960824875e-05
3,0.1119183863031477,-4.824193627036627e-05,-0.3803044472834701,-0.001166382643726933
4,0.11187061175649626,-5.464324731452485e-05,-0.355610044033843,-0.0013994595919247944
5,0.1114282035034895,-6.659715506877772e-05,-0.37437262374602936,-0.0018132216832300921
6,0.11345491879839584,-5.786531647381946e-05,-0.3980787778261439,-0.02588353854094789
7,0.1108383568238368,-5.7976911423315436e-05,-0.2844759672887315,-0.02591648385353813
8,0.11183861573516476,-5.901959744092411e-05,-0.5961242565810216,-5.901959744092411e-05
9,0.11179492259097874,-4.5900785737133016e-05,-0.5014531327314794,-4.5900785737133016e-05
10,0.1111728337100367,-4.7495836469197406e-05,-0.29707299976386453,-4.7495836469197406e-05
11,0.11055750368556784,-4.022582753253597e-05,-0.4303985327881134,-0.002298849378176892
12,0.11471302205503042,-3.94790540790597e-05,-0.44826100542239833,-0.010631400822500959
13,0.11396325658700865,-3.6571214991999036e-05,-0.41655163474714535,-0.016495423512372494
14,0.11381309758785552,-0.0007675551308959131,-0.7373800443091544,-0.010228138309341548
15,0.11215089727031909,-0.0002370973643308463,-0.5562351364109236,-0.010220389723367909
16,0.1126119742945405,-0.0007840847955165858,-0.6363269235643092,-0.0029561256061172735
17,0.12129648300361634,-0.000799144568322464,-0.527594776057821,-0.0046663132964347275
18,0.11631519922370258,-0.0001180285792033308,-0.6401658319390258,-0.0051234881017226406
19,0.12578544328670532,-0.00023622586269774897,-0.40539283348244703,-0.009379062821886247
20,0.11942436394835206,-0.00020781782339923265,-0.7768791308729203,-0.009202221673573518
21,0.11661145693962775,-0.00017711701898938696,-0.724805119350107,-0.00899762911198033
22,0.11582007407086253,-0.00014477841157113663,-0.41069685696426544,-0.0011006682878558088
23,0.11549203147665872,-0.00013991773797209693,-0.4648366956864961,-0.004363867536107248
24,0.11355541370084371,-0.00014785093260570036,-0.5710199635418219,-0.0003271391267200779
25,0.11973205575188917,-0.00013713945788761095,-0.5997507982724227,-0.0003049026297912267
26,0.11733106647249353,-0.00031326449804159495,-0.6336663075126072,-0.0003410861610450735
27,0.11650809891073637,-0.00031178534321351156,-0.42206483131245187,-0.00034696462054176414
28,0.11440695004675094,-0.0003113936367055321,-0.4286765050317623,-0.00034910692739193025
29,0.11596033302193332,-0.0003197315695042377,-0.5959932976807976,-0.0009647698355302436
30,0.1135860949211184,-0.00031084391775159997,-0.6268797473044921,-0.0011759131468929971
31,0.11411025358518,-7.086084209707543e-05,-0.5858607317618879,-7.086084209707543e-05
32,0.11556992403065945,-0.0001193162582096128,-0.4508852193997829,-0.0001193162582096128
33,0.1143464466583733,-0.00019808324102189048,-0.3264899522487883,-0.00019808324102189048
34,0.11361594598088055,-0.00019223813631987787,-0.8735903717306457,-0.0004907482580192534
35,0.11301829487401824,-8.351279062685372e-05,-0.8564163877957582,-0.0003033808567391952
36,0.11243121217023866,-0.00018624957134496194,-0.9538847797458349,-0.00033998008510099546
37,0.12866933929088342,-0.00014977332766878673,-0.6561364358015218,-0.0024347481512335565
