gen,best_fitness,max_raw_reward,avg_raw_reward
1,0.13636946140670553,-1180.9065946846113,-1260.278639173884
2,0.145459761749543,-848.2398316242386,-1008.1409480891551
3,0.12640361926856072,-951.8925898143931,-1147.6904719806685
4,0.1577283485800231,-773.6364704291557,-993.5857801751775
5,0.14210455999156718,-802.5183845539942,-977.643243676253
6,0.14552427417705846,-1042.6459973805204,-1173.1165820812585
7,0.1438765061238266,-845.5159020516152,-1051.1779309090748
8,0.14539113554307145,-846.5865774776548,-1055.2940925845548
9,0.14694308178884968,-789.8552567021659,-985.8524563632484
10,0.13010013676123972,-1008.356264322126,-1193.6155424004994
11,0.12912230773334948,-981.7272823470332,-1152.7586758201096
12,0.12468091379965444,-904.2356132263125,-1159.6353556813942
13,0.11945071370803323,-918.6428834738329,-1123.1530478584493
14,0.12943930687115884,-884.5503254492521,-1049.1523537497212
15,0.17352895018346462,-700.1840435161502,-1021.5421169450576
16,0.15021876241942406,-745.0108219219467,-1009.9337840392109
17,0.1626791839799578,-1144.313655821948,-1315.0669782616578
18,0.1614374393822008,-756.3044861865874,-1049.6237744921727
19,0.13280954519494964,-877.6750252203116,-1069.3699128669352
20,0.13664530676509973,-886.2919571375294,-1096.9586526408048
21,0.14866324181957832,-875.4362648019854,-1115.2354154887955
22,0.13345522763360468,-1030.835837001498,-1164.304872447518
23,0.15741273154140625,-861.9136027927877,-1080.4002021341284
24,0.14972923446235517,-860.4072210166134,-1077.0559331632535
25,0.12932071641761822,-1093.5558367881429,-1216.5510569770577
26,0.1431445514752506,-868.7176620871478,-1063.9632330752293
27,0.1318490817712341,-999.3045922436129,-1126.5139414398234
28,0.1460439259721762,-838.5257539869217,-1003.7583318954925
29,0.13430975402796438,-1080.1313420186245,-1216.5659392469588
30,0.15055860250976444,-1007.3965414073824,-1182.0606688669434
31,0.1458581074367542,-903.1226722527039,-1121.5866433305052
32,0.1547322151843998,-768.5772890842563,-1034.7466395048511
33,0.14833315023177485,-922.514650416816,-1178.2676330665397
34,0.1583001154373979,-865.0095054250781,-1145.3200913090207
35,0.14167699550698248,-886.6019670304333,-1112.969915544092
36,0.13410836451412544,-1002.803733535425,-1176.390773724368
37,0.16713712386306923,-762.6062878789144,-1077.1141579197938
38,0.14579970182254254,-855.1070821427004,-1102.6911242558565
39,0.14051102524735437,-822.1784130604226,-1043.6363804284626
40,0.13689003150921428,-939.3282311303374,-1190.08778284937
41,0.18569914792941777,-741.7059496918021,-1093.5241000461701
42,0.13093226751113182,-1084.409076940773,-1213.0370156136012
43,0.1449575035803215,-895.7491479958801,-1093.7440184510779
44,0.11939604681076513,-1016.6553864001222,-1196.41498384667
45,0.14894871088699357,-953.5924285217828,-1206.2281606190106
46,0.13047542476441173,-990.5041656736445,-1161.7942369367163
47,0.1527229624995546,-799.9159609018512,-1052.3699870694977
48,0.151445716825301,-784.5414396023368,-1034.6055340382447
49,0.15333896019629675,-836.7067978475555,-1099.8007292362802
50,0.14830089355151818,-768.3637577993034,-1035.9737777847265
51,0.1272752356292112,-918.4516975633671,-1096.9278364055558
52,0.15561305360541763,-759.613938009055,-1030.8009357877627
53,0.15362684197656676,-788.4386500316149,-998.8675502660053
54,0.15220515619392128,-768.6586181813612,-1027.963371113393
55,0.14848121113525667,-811.8216420581805,-1042.1428883130893
56,0.13312442005843886,-848.0542114556553,-1013.1096919835629
57,0.13732935218423376,-933.2496339464735,-1092.631095067996
58,0.1287915252318311,-1013.8186098801168,-1177.1509484809815
59,0.16847152671811016,-808.7413177139057,-1047.2936582922052
60,0.14234033131051674,-934.4221367056149,-1141.9213951058146
61,0.1385003961642132,-860.1751130854236,-1063.234338447995
62,0.16104559632362137,-761.6238728835767,-1077.5611521492692
63,0.14448581219531334,-938.5371147198166,-1158.0584598117166
64,0.14863164374503077,-835.4556975018253,-1054.4241311499843
65,0.14779366296108973,-861.2662256061049,-1042.6659728324157
66,0.1726960167234815,-799.5068371507167,-1086.2890406517683
67,0.1434575796971854,-895.9773008394728,-1152.3768138820126
68,0.13834280560001497,-898.4406511472953,-1071.8505683432645
69,0.1410705850701774,-970.5316307241974,-1170.4223124093687
70,0.15452270955788797,-816.5503589144743,-1057.270640486082
71,0.13651619063791084,-898.2029107997165,-1073.9111008816105
72,0.17459912752479467,-799.7073010277729,-1070.7370138185233
73,0.13945627304303687,-917.230596803731,-1095.5861896905853
74,0.13687952290866368,-997.2388079552787,-1165.6840833900499
75,0.13510168343347934,-933.8126438102969,-1141.0406632102106
76,0.15515247232759477,-973.8589288842853,-1216.8350120217578
77,0.17581148697912316,-722.437854658858,-1089.1182941851403
78,0.14209425949216706,-893.1679493049909,-1157.6847223624065
79,0.15453006731070384,-942.3187490590578,-1172.3300099921628
80,0.17612293542813273,-803.4780600445661,-1135.3955444766057
81,0.1465776704239301,-922.8773047878324,-1132.0969710442184
82,0.1531822663814034,-772.2205816220909,-1065.1690301114375
83,0.15615711211867855,-977.4705700813545,-1219.9347781234908
84,0.15495290975379014,-796.435564805133,-1057.0108040713117
85,0.13285112195921114,-1003.428122725047,-1165.1116835094813
86,0.13472146831741855,-888.6646616964669,-1056.31065844438
87,0.13921653393406663,-856.8215101583048,-1043.998832542476
