(neat) PS D:\Git\ga_combine\source_code\multi_ga_pendulum_smoo> python ga_pendulum.py --population 50 --generations 100 --subset-k 5 --seed-refresh-rate 0.4
Starting Batch Experiment with seeds: [101, 102, 103, 104, 105]

##################################################
STARTING RUN WITH GLOBAL SEED: 101
##################################################

Global Seed set to: 101
Initial subset: [2099, 2049, 2094, 2070, 2084] (Max Age: 10)
Training Started. Logs: runs_pendulum/ga_1774047806_seed101
   Detailed logs: runs_pendulum/ga_1774047806_seed101/detailed_history.csv
   Checkpoints:   runs_pendulum/ga_1774047806_seed101/checkpoints/
Gen 1 | Fit: 0.15 | MaxRaw: -1183.1 | Avg: -1278.3
Gen 2 | Fit: 0.13 | MaxRaw: -991.7 | Avg: -1091.2
Gen 3 | Fit: 0.15 | MaxRaw: -1025.7 | Avg: -1149.7
Gen 4 | Fit: 0.16 | MaxRaw: -800.7 | Avg: -1073.7
Gen 5 | Fit: 0.14 | MaxRaw: -878.6 | Avg: -1034.2
Gen 6 | Fit: 0.14 | MaxRaw: -880.7 | Avg: -1069.3
Gen 7 | Fit: 0.15 | MaxRaw: -1041.9 | Avg: -1217.7
Gen 8 | Fit: 0.16 | MaxRaw: -786.0 | Avg: -1044.9
Gen 9 | Fit: 0.15 | MaxRaw: -840.6 | Avg: -1020.3
Gen 10 | Fit: 0.14 | MaxRaw: -888.4 | Avg: -1079.2
Gen 11 | Fit: 0.14 | MaxRaw: -916.3 | Avg: -1140.0
Gen 12 | Fit: 0.14 | MaxRaw: -916.8 | Avg: -1115.6
Gen 13 | Fit: 0.16 | MaxRaw: -697.3 | Avg: -952.6
Gen 14 | Fit: 0.16 | MaxRaw: -757.6 | Avg: -1015.1
Gen 15 | Fit: 0.13 | MaxRaw: -893.0 | Avg: -1097.0
Gen 16 | Fit: 0.15 | MaxRaw: -868.5 | Avg: -1077.1
Gen 17 | Fit: 0.14 | MaxRaw: -767.8 | Avg: -1000.4
Gen 18 | Fit: 0.16 | MaxRaw: -643.2 | Avg: -917.3
Gen 19 | Fit: 0.14 | MaxRaw: -756.1 | Avg: -1007.5
Gen 20 | Fit: 0.15 | MaxRaw: -665.2 | Avg: -960.0
Gen 21 | Fit: 0.14 | MaxRaw: -838.3 | Avg: -1057.7
Gen 22 | Fit: 0.16 | MaxRaw: -685.1 | Avg: -977.5
Gen 23 | Fit: 0.13 | MaxRaw: -1127.9 | Avg: -1266.1
Gen 24 | Fit: 0.14 | MaxRaw: -1044.5 | Avg: -1200.6
Gen 25 | Fit: 0.14 | MaxRaw: -950.4 | Avg: -1134.4
Gen 26 | Fit: 0.16 | MaxRaw: -908.0 | Avg: -1126.5
Gen 27 | Fit: 0.14 | MaxRaw: -843.0 | Avg: -1073.5
Gen 28 | Fit: 0.15 | MaxRaw: -772.3 | Avg: -1020.1
Gen 29 | Fit: 0.16 | MaxRaw: -750.2 | Avg: -982.3
Gen 30 | Fit: 0.15 | MaxRaw: -637.8 | Avg: -936.8
Gen 31 | Fit: 0.14 | MaxRaw: -783.0 | Avg: -1057.9
Gen 32 | Fit: 0.13 | MaxRaw: -794.9 | Avg: -1055.1
Gen 33 | Fit: 0.16 | MaxRaw: -713.8 | Avg: -983.6
Gen 34 | Fit: 0.18 | MaxRaw: -667.1 | Avg: -987.6
Gen 35 | Fit: 0.16 | MaxRaw: -689.1 | Avg: -1004.5
Gen 36 | Fit: 0.18 | MaxRaw: -663.8 | Avg: -992.5
Gen 37 | Fit: 0.16 | MaxRaw: -730.6 | Avg: -978.2
Gen 38 | Fit: 0.14 | MaxRaw: -763.1 | Avg: -1008.3
Gen 39 | Fit: 0.17 | MaxRaw: -589.3 | Avg: -913.9
Gen 40 | Fit: 0.14 | MaxRaw: -907.3 | Avg: -1148.2
Gen 41 | Fit: 0.14 | MaxRaw: -789.8 | Avg: -1067.3
Gen 42 | Fit: 0.17 | MaxRaw: -718.1 | Avg: -1027.5
Gen 43 | Fit: 0.17 | MaxRaw: -586.6 | Avg: -959.7
Gen 44 | Fit: 0.17 | MaxRaw: -650.4 | Avg: -950.9
Gen 45 | Fit: 0.16 | MaxRaw: -653.4 | Avg: -927.7
Gen 46 | Fit: 0.15 | MaxRaw: -761.9 | Avg: -1051.7
Gen 47 | Fit: 0.15 | MaxRaw: -656.4 | Avg: -957.0
Gen 48 | Fit: 0.15 | MaxRaw: -787.3 | Avg: -1046.5
Gen 49 | Fit: 0.18 | MaxRaw: -660.6 | Avg: -967.0
Gen 50 | Fit: 0.15 | MaxRaw: -741.0 | Avg: -1032.5
Gen 51 | Fit: 0.18 | MaxRaw: -664.1 | Avg: -979.0
Gen 52 | Fit: 0.19 | MaxRaw: -626.2 | Avg: -978.7
Gen 53 | Fit: 0.16 | MaxRaw: -650.3 | Avg: -975.1
Gen 54 | Fit: 0.13 | MaxRaw: -838.1 | Avg: -1122.8
Gen 55 | Fit: 0.17 | MaxRaw: -688.8 | Avg: -987.1
Gen 56 | Fit: 0.17 | MaxRaw: -607.1 | Avg: -979.8
Gen 57 | Fit: 0.18 | MaxRaw: -582.8 | Avg: -969.1
Gen 58 | Fit: 0.15 | MaxRaw: -829.4 | Avg: -1120.7
Gen 59 | Fit: 0.15 | MaxRaw: -738.3 | Avg: -1034.6
Gen 60 | Fit: 0.18 | MaxRaw: -604.2 | Avg: -954.0
Gen 61 | Fit: 0.17 | MaxRaw: -737.4 | Avg: -1014.4
Gen 62 | Fit: 0.16 | MaxRaw: -633.3 | Avg: -971.1
Gen 63 | Fit: 0.15 | MaxRaw: -875.2 | Avg: -1172.6
Gen 64 | Fit: 0.18 | MaxRaw: -673.9 | Avg: -1025.2
Gen 65 | Fit: 0.17 | MaxRaw: -604.2 | Avg: -956.2
Gen 66 | Fit: 0.16 | MaxRaw: -781.2 | Avg: -1096.1
Gen 67 | Fit: 0.19 | MaxRaw: -712.0 | Avg: -1107.7
Gen 68 | Fit: 0.18 | MaxRaw: -727.8 | Avg: -1075.5
Gen 69 | Fit: 0.16 | MaxRaw: -625.1 | Avg: -979.1
Gen 70 | Fit: 0.14 | MaxRaw: -855.1 | Avg: -1115.8
Gen 71 | Fit: 0.16 | MaxRaw: -612.8 | Avg: -934.3
Gen 72 | Fit: 0.16 | MaxRaw: -599.3 | Avg: -885.6
