Windows PowerShell
版权所有（C） Microsoft Corporation。保留所有权利。

安装最新的 PowerShell，了解新功能和改进！https://aka.ms/PSWindows

PS C:\Git\ga_combine\source_code\multi_ppo_acrobot_noisy> python ppo_3m_noisy_acrobot_train.py
=== Starting E2E PPO (3M Params) Tests on ACROBOT IN NOISY ENVIRONMENT ===
Target Score: -85.0 | Max Steps Allowed: 1000000


--- Running NOISY Acrobot Seed 103 (1/3) with 16 workers ---
[*] PPO 3M Model Instantiated for Acrobot!
[*] Total Parameters: 3,029,924 (Trainable: 3,029,924)
    [Progress] Steps: 10000 | Elapsed: 38.0s | Recent Avg Reward: -494.0
    [Progress] Steps: 20000 | Elapsed: 76.1s | Recent Avg Reward: -500.0
    [Progress] Steps: 30000 | Elapsed: 114.1s | Recent Avg Reward: -498.1
    [Progress] Steps: 40000 | Elapsed: 151.7s | Recent Avg Reward: -500.0
    [Progress] Steps: 50000 | Elapsed: 194.5s | Recent Avg Reward: -500.0
    [Progress] Steps: 60000 | Elapsed: 231.9s | Recent Avg Reward: -500.0
    [Progress] Steps: 70000 | Elapsed: 269.9s | Recent Avg Reward: -500.0
    [Progress] Steps: 80000 | Elapsed: 307.9s | Recent Avg Reward: -500.0
    [Progress] Steps: 90000 | Elapsed: 346.0s | Recent Avg Reward: -500.0
    [Progress] Steps: 100000 | Elapsed: 387.9s | Recent Avg Reward: -500.0
    [Progress] Steps: 110000 | Elapsed: 425.9s | Recent Avg Reward: -500.0
    [Progress] Steps: 120000 | Elapsed: 464.1s | Recent Avg Reward: -493.4
    [Progress] Steps: 130000 | Elapsed: 502.0s | Recent Avg Reward: -498.5
    [Progress] Steps: 140000 | Elapsed: 544.6s | Recent Avg Reward: -449.9
    [Progress] Steps: 150000 | Elapsed: 582.7s | Recent Avg Reward: -443.6
    [Progress] Steps: 160000 | Elapsed: 620.6s | Recent Avg Reward: -431.1
    [Progress] Steps: 170000 | Elapsed: 658.9s | Recent Avg Reward: -400.4
    [Progress] Steps: 180000 | Elapsed: 697.4s | Recent Avg Reward: -356.9
    [Progress] Steps: 190000 | Elapsed: 740.0s | Recent Avg Reward: -280.9
    [Progress] Steps: 200000 | Elapsed: 778.5s | Recent Avg Reward: -260.3
    [Progress] Steps: 210000 | Elapsed: 817.1s | Recent Avg Reward: -179.8
    [Progress] Steps: 220000 | Elapsed: 855.6s | Recent Avg Reward: -154.7
    [Progress] Steps: 230000 | Elapsed: 899.2s | Recent Avg Reward: -154.3
    [Progress] Steps: 240000 | Elapsed: 938.0s | Recent Avg Reward: -127.5
    [Progress] Steps: 250000 | Elapsed: 976.5s | Recent Avg Reward: -126.0
    [Progress] Steps: 260000 | Elapsed: 1015.7s | Recent Avg Reward: -117.7
    [Progress] Steps: 270000 | Elapsed: 1055.0s | Recent Avg Reward: -122.0
    [Progress] Steps: 280000 | Elapsed: 1098.5s | Recent Avg Reward: -114.7
    [Progress] Steps: 290000 | Elapsed: 1137.6s | Recent Avg Reward: -108.4
