Timestep,Reward
160,10.0
176,11.0
176,11.0
192,12.0
224,14.0
240,15.0
256,16.0
336,10.0
352,22.0
368,12.0
384,24.0
384,24.0
432,17.0
432,27.0
464,29.0
480,14.0
544,13.0
544,34.0
544,12.0
544,34.0
560,20.0
608,15.0
624,15.0
624,39.0
656,17.0
688,16.0
720,11.0
720,18.0
768,14.0
768,36.0
768,48.0
816,17.0
848,23.0
896,11.0
896,15.0
912,19.0
912,23.0
912,43.0
944,16.0
944,20.0
960,25.0
960,31.0
1104,18.0
1120,13.0
1120,22.0
1136,12.0
1152,24.0
1168,16.0
1184,18.0
1216,16.0
1248,21.0
1280,27.0
1280,32.0
1296,25.0
1296,11.0
1312,22.0
1328,24.0
1328,12.0
1344,39.0
1424,16.0
1440,21.0
1440,51.0
1440,16.0
1488,12.0
1520,14.0
1536,13.0
1536,14.0
1552,13.0
1568,22.0
1584,29.0
1616,18.0
1632,12.0
1648,25.0
1680,16.0
1728,12.0
1728,28.0
1744,16.0
1744,13.0
1776,9.0
1792,32.0
1824,17.0
1824,42.0
1888,19.0
1888,28.0
1904,14.0
1904,18.0
1936,18.0
1936,31.0
1984,15.0
2000,14.0
2016,31.0
2096,23.0
2128,25.0
2160,16.0
2160,21.0
2176,22.0
2192,18.0
2208,13.0
2240,9.0
2272,21.0
2272,24.0
2304,35.0
2368,13.0
2384,25.0
2416,18.0
2448,16.0
2464,18.0
2480,20.0
2496,30.0
2528,40.0
2576,19.0
2624,20.0
2624,52.0
2640,14.0
2640,25.0
2656,13.0
2688,10.0
2720,28.0
2720,21.0
2736,16.0
2752,11.0
2752,34.0
2784,10.0
2800,21.0
2800,27.0
2832,21.0
2848,12.0
2880,12.0
2880,82.0
2928,18.0
2944,10.0
2944,13.0
2976,65.0
2976,22.0
2992,17.0
3040,15.0
3056,13.0
3088,28.0
3104,24.0
3120,20.0
3120,15.0
3136,16.0
3152,25.0
3200,17.0
3216,15.0
3232,16.0
3248,16.0
3248,26.0
3296,16.0
3312,16.0
3312,13.0
3328,36.0
3360,17.0
3408,18.0
3408,12.0
3408,18.0
3440,13.0
3472,17.0
3504,13.0
3520,17.0
3552,38.0
3552,12.0
3568,16.0
3568,27.0
3584,11.0
3600,10.0
3600,22.0
3648,21.0
3664,16.0
3696,14.0
3696,34.0
3712,10.0
3760,11.0
3808,10.0
3824,31.0
3840,15.0
3856,18.0
3856,18.0
3888,30.0
3904,15.0
3920,13.0
3968,26.0
3984,18.0
4032,68.0
4032,32.0
4096,25.0
4096,12.0
4112,9.0
4176,36.0
4208,24.0
4208,11.0
4240,25.0
4240,24.0
4272,10.0
4272,24.0
4288,16.0
4304,13.0
4304,31.0
4304,24.0
4304,28.0
4400,10.0
4448,13.0
4464,30.0
4480,11.0
4480,11.0
4496,14.0
4496,25.0
4496,13.0
4496,12.0
4512,21.0
4512,19.0
4576,19.0
4624,26.0
4640,9.0
4656,12.0
4672,12.0
4720,17.0
4736,77.0
4736,15.0
4800,18.0
4800,31.0
4816,21.0
4896,31.0
4912,11.0
4928,27.0
4960,19.0
4976,29.0
4976,76.0
4992,22.0
5040,15.0
5072,28.0
5072,25.0
5072,21.0
5152,12.0
5152,11.0
5168,23.0
5168,22.0
5200,18.0
5248,11.0
5248,22.0
5280,13.0
5296,23.0
5296,20.0
5296,45.0
5344,12.0
5344,11.0
5360,13.0
5408,10.0
5440,15.0
5456,11.0
5456,10.0
5472,47.0
5520,10.0
5552,16.0
5568,14.0
5600,22.0
5648,36.0
5648,19.0
5728,11.0
5728,27.0
5760,12.0
5776,8.0
5792,24.0
5824,11.0
5824,83.0
5824,52.0
5840,24.0
5856,25.0
5888,23.0
5952,12.0
5968,50.0
5984,10.0
6032,13.0
6032,37.0
6048,20.0
6064,14.0
6080,65.0
6176,20.0
6176,14.0
6208,20.0
6224,16.0
6240,40.0
6240,13.0
6256,27.0
6272,13.0
6304,16.0
6304,52.0
6336,22.0
6400,14.0
6400,23.0
6400,20.0
6432,12.0
6448,15.0
6464,12.0
6496,48.0
6496,12.0
6496,20.0
6560,21.0
6576,17.0
6608,51.0
6640,12.0
6688,27.0
6704,19.0
6704,13.0
6720,30.0
6752,22.0
6784,14.0
6784,22.0
6800,14.0
6800,12.0
6816,65.0
6816,20.0
6832,31.0
6880,10.0
6944,30.0
6960,16.0
6976,11.0
6992,19.0
7008,19.0
7008,23.0
7008,14.0
7024,14.0
7072,42.0
7088,16.0
7104,22.0
7104,18.0
7152,21.0
7152,12.0
7216,45.0
7248,15.0
7280,31.0
7312,15.0
7328,22.0
7344,20.0
7360,13.0
7360,16.0
7392,24.0
7424,21.0
7424,34.0
7440,21.0
7440,12.0
7504,18.0
7568,26.0
7568,35.0
7584,17.0
7584,37.0
7584,19.0
7648,18.0
7648,44.0
7680,16.0
7680,21.0
7680,11.0
7680,22.0
7696,19.0
7712,18.0
7728,18.0
7792,13.0
7808,15.0
7872,18.0
7904,12.0
7936,16.0
7936,22.0
7952,19.0
7968,15.0
7984,19.0
8000,22.0
8016,21.0
8064,39.0
8112,26.0
8128,16.0
8144,15.0
8176,13.0
8208,25.0
8208,16.0
8224,15.0
8224,34.0
8256,43.0
8272,16.0
8320,13.0
8320,11.0
8320,16.0
8352,22.0
8352,26.0
8352,35.0
8352,26.0
8416,13.0
8448,12.0
8448,11.0
8464,69.0
8480,16.0
8480,16.0
8512,21.0
8592,17.0
8592,9.0
8592,17.0
8608,10.0
8608,16.0
8624,17.0
8624,13.0
8640,32.0
8656,28.0
8672,12.0
8704,14.0
8720,25.0
8752,10.0
8752,25.0
8800,12.0
8800,18.0
8832,12.0
8848,15.0
8912,12.0
8912,20.0
8912,16.0
8960,23.0
8960,16.0
9008,41.0
9056,16.0
9072,10.0
9104,30.0
9136,32.0
9152,25.0
9152,22.0
9152,12.0
9216,10.0
9280,13.0
9312,53.0
9344,12.0
9344,27.0
9376,23.0
9392,27.0
9392,15.0
9424,47.0
9424,42.0
9456,39.0
9488,11.0
9504,41.0
9520,26.0
9536,9.0
9552,21.0
9568,41.0
9568,14.0
9568,11.0
9632,30.0
9632,16.0
9664,24.0
9696,17.0
9744,20.0
9760,12.0
9792,16.0
9792,17.0
9920,16.0
9920,22.0
9920,22.0
9920,14.0
9936,19.0
9936,37.0
9984,33.0
10000,23.0
10032,15.0
10032,15.0
10048,18.0
10048,19.0
10080,33.0
10080,36.0
10096,60.0
10144,14.0
10144,14.0
10176,16.0
10176,43.0
10208,14.0
10272,14.0
10272,21.0
10272,14.0
10288,13.0
10304,24.0
10320,24.0
10336,19.0
10336,16.0
10352,11.0
10368,14.0
10384,24.0
10400,14.0
10416,20.0
10464,9.0
10528,12.0
10560,14.0
10592,20.0
10624,17.0
10640,21.0
10656,23.0
10672,25.0
10672,19.0
10736,22.0
10736,11.0
10832,26.0
10848,36.0
10880,46.0
10928,17.0
10928,45.0
10944,22.0
10976,19.0
10976,21.0
11008,21.0
11024,62.0
11056,20.0
11072,21.0
11088,39.0
11104,16.0
11120,31.0
11136,38.0
11152,11.0
11152,47.0
11168,18.0
11200,17.0
11232,14.0
11248,19.0
11280,11.0
11280,19.0
11328,31.0
11376,22.0
11392,19.0
11408,22.0
11408,16.0
11424,22.0
11456,11.0
11472,17.0
11488,16.0
11488,23.0
11520,12.0
11584,19.0
11600,29.0
11616,12.0
11632,30.0
11648,15.0
11664,26.0
11680,18.0
11696,33.0
11744,16.0
11744,16.0
11760,22.0
11776,53.0
11808,22.0
11840,23.0
11840,15.0
11856,21.0
11904,14.0
11904,10.0
11904,13.0
11936,17.0
11936,22.0
12032,14.0
12048,13.0
12064,14.0
12064,13.0
12080,28.0
12080,29.0
12144,15.0
12144,48.0
12160,16.0
12208,35.0
12224,28.0
12224,30.0
12224,9.0
12240,13.0
