Train_Seed,Test_Seed,Reward
101,106,35.0
101,107,41.0
101,108,64.0
101,109,35.0
101,110,46.0
101,111,42.0
101,112,52.0
101,113,41.0
101,114,38.0
101,115,78.0
101,116,29.0
101,117,45.0
101,118,35.0
101,119,40.0
101,120,65.0
101,121,42.0
101,122,48.0
101,123,35.0
101,124,45.0
101,125,34.0
101,126,42.0
101,127,39.0
101,128,56.0
101,129,39.0
101,130,49.0
101,131,40.0
101,132,37.0
101,133,44.0
101,134,40.0
101,135,40.0
101,136,55.0
101,137,38.0
101,138,32.0
101,139,49.0
101,140,37.0
101,141,50.0
101,142,51.0
101,143,46.0
101,144,74.0
101,145,41.0
101,146,45.0
101,147,43.0
101,148,34.0
101,149,35.0
101,150,51.0
101,151,52.0
101,152,39.0
101,153,35.0
101,154,25.0
101,155,46.0
101,156,42.0
101,157,35.0
101,158,42.0
101,159,48.0
101,160,55.0
101,161,36.0
101,162,35.0
101,163,31.0
101,164,35.0
101,165,39.0
101,166,37.0
101,167,23.0
101,168,48.0
101,169,33.0
101,170,64.0
101,171,43.0
101,172,46.0
101,173,35.0
101,174,56.0
101,175,39.0
101,176,40.0
101,177,39.0
101,178,38.0
101,179,25.0
101,180,43.0
101,181,48.0
101,182,49.0
101,183,41.0
101,184,38.0
101,185,32.0
101,186,38.0
101,187,39.0
101,188,35.0
101,189,42.0
101,190,27.0
101,191,38.0
101,192,40.0
101,193,56.0
101,194,55.0
101,195,24.0
101,196,41.0
101,197,42.0
101,198,36.0
101,199,40.0
101,200,39.0
101,201,55.0
101,202,26.0
101,203,58.0
101,204,45.0
101,205,42.0
102,106,29.0
102,107,39.0
102,108,38.0
102,109,35.0
102,110,46.0
102,111,81.0
102,112,25.0
102,113,32.0
102,114,54.0
102,115,42.0
102,116,67.0
102,117,36.0
102,118,35.0
102,119,36.0
102,120,25.0
102,121,42.0
102,122,34.0
102,123,52.0
102,124,52.0
102,125,48.0
102,126,38.0
102,127,28.0
102,128,36.0
102,129,37.0
102,130,59.0
102,131,36.0
102,132,45.0
102,133,44.0
102,134,33.0
102,135,40.0
102,136,28.0
102,137,49.0
102,138,31.0
102,139,40.0
102,140,43.0
102,141,38.0
102,142,67.0
102,143,61.0
102,144,41.0
102,145,41.0
102,146,30.0
102,147,40.0
102,148,50.0
102,149,40.0
102,150,54.0
102,151,44.0
102,152,31.0
102,153,41.0
102,154,52.0
102,155,46.0
102,156,60.0
102,157,35.0
102,158,42.0
102,159,49.0
102,160,35.0
102,161,42.0
102,162,35.0
102,163,46.0
102,164,41.0
102,165,61.0
102,166,37.0
102,167,57.0
102,168,48.0
102,169,30.0
102,170,36.0
102,171,57.0
102,172,63.0
102,173,40.0
102,174,24.0
102,175,41.0
102,176,40.0
102,177,49.0
102,178,38.0
102,179,25.0
102,180,47.0
102,181,43.0
102,182,63.0
102,183,41.0
102,184,38.0
102,185,42.0
102,186,24.0
102,187,53.0
102,188,38.0
102,189,61.0
102,190,45.0
102,191,38.0
102,192,72.0
102,193,51.0
102,194,55.0
102,195,37.0
102,196,39.0
102,197,34.0
102,198,41.0
102,199,40.0
102,200,43.0
102,201,57.0
102,202,52.0
102,203,58.0
102,204,32.0
102,205,42.0
103,106,29.0
103,107,35.0
103,108,98.0
103,109,30.0
103,110,28.0
103,111,45.0
103,112,52.0
103,113,51.0
103,114,47.0
103,115,32.0
103,116,57.0
103,117,64.0
103,118,35.0
103,119,46.0
103,120,39.0
103,121,38.0
103,122,39.0
103,123,38.0
103,124,26.0
103,125,34.0
103,126,61.0
103,127,39.0
103,128,69.0
103,129,51.0
103,130,35.0
103,131,36.0
103,132,39.0
103,133,32.0
103,134,65.0
103,135,43.0
103,136,34.0
103,137,49.0
103,138,31.0
103,139,40.0
103,140,43.0
103,141,28.0
103,142,51.0
103,143,130.0
103,144,41.0
103,145,21.0
103,146,39.0
103,147,98.0
103,148,72.0
103,149,35.0
103,150,51.0
103,151,38.0
103,152,39.0
103,153,39.0
103,154,38.0
103,155,30.0
103,156,23.0
103,157,63.0
103,158,50.0
103,159,39.0
103,160,35.0
103,161,49.0
103,162,38.0
103,163,32.0
103,164,35.0
103,165,33.0
103,166,57.0
103,167,43.0
103,168,51.0
103,169,30.0
103,170,26.0
103,171,43.0
103,172,42.0
103,173,35.0
103,174,22.0
103,175,41.0
103,176,55.0
103,177,58.0
103,178,42.0
103,179,22.0
103,180,61.0
103,181,36.0
103,182,30.0
103,183,67.0
103,184,38.0
103,185,32.0
103,186,41.0
103,187,39.0
103,188,51.0
103,189,35.0
103,190,23.0
103,191,46.0
103,192,28.0
103,193,40.0
103,194,39.0
103,195,37.0
103,196,46.0
103,197,23.0
103,198,79.0
103,199,44.0
103,200,45.0
103,201,34.0
103,202,38.0
103,203,43.0
103,204,104.0
103,205,27.0
104,106,39.0
104,107,41.0
104,108,38.0
104,109,47.0
104,110,35.0
104,111,59.0
104,112,52.0
104,113,75.0
104,114,47.0
104,115,32.0
104,116,40.0
104,117,36.0
104,118,35.0
104,119,24.0
104,120,35.0
104,121,42.0
104,122,34.0
104,123,52.0
104,124,27.0
104,125,49.0
104,126,35.0
104,127,35.0
104,128,47.0
104,129,57.0
104,130,46.0
104,131,50.0
104,132,37.0
104,133,44.0
104,134,43.0
104,135,40.0
104,136,64.0
104,137,45.0
104,138,66.0
104,139,40.0
104,140,62.0
104,141,38.0
104,142,51.0
104,143,42.0
104,144,35.0
104,145,41.0
104,146,37.0
104,147,43.0
104,148,50.0
104,149,41.0
104,150,51.0
104,151,41.0
104,152,24.0
104,153,41.0
104,154,52.0
104,155,46.0
104,156,23.0
104,157,35.0
104,158,51.0
104,159,49.0
104,160,45.0
104,161,36.0
104,162,35.0
104,163,46.0
104,164,41.0
104,165,35.0
104,166,48.0
104,167,58.0
104,168,25.0
104,169,56.0
104,170,41.0
104,171,57.0
104,172,46.0
104,173,45.0
104,174,56.0
104,175,41.0
104,176,40.0
104,177,49.0
104,178,38.0
104,179,25.0
104,180,38.0
104,181,55.0
104,182,90.0
104,183,45.0
104,184,38.0
104,185,32.0
104,186,24.0
104,187,52.0
104,188,38.0
104,189,42.0
104,190,45.0
104,191,38.0
104,192,41.0
104,193,45.0
104,194,55.0
104,195,37.0
104,196,36.0
104,197,42.0
104,198,41.0
104,199,40.0
104,200,43.0
104,201,55.0
104,202,52.0
104,203,58.0
104,204,54.0
104,205,51.0
105,106,39.0
105,107,59.0
105,108,38.0
105,109,47.0
105,110,46.0
105,111,61.0
105,112,39.0
105,113,43.0
105,114,35.0
105,115,32.0
105,116,67.0
105,117,58.0
105,118,35.0
105,119,36.0
105,120,39.0
105,121,38.0
105,122,34.0
105,123,38.0
105,124,78.0
105,125,34.0
105,126,33.0
105,127,39.0
105,128,47.0
105,129,48.0
105,130,40.0
105,131,47.0
105,132,37.0
105,133,70.0
105,134,33.0
105,135,48.0
105,136,39.0
105,137,49.0
105,138,39.0
