(neat) PS D:\Git\ga_combine\source_code\multi_ppo_cartpole_4.5M> python ppo_cartpole_4.5M.py
=== Starting E2E PPO Vision Baseline (Strict Time-Equivalent) Tests ===
Target Score: 495.0 | Max Steps Allowed: 4500000


--- Running Seed 101 (1/5) with 16 parallel workers ---
    [Progress] Steps: 10000 | Elapsed: 14.6s | Recent 20-Ep Avg Reward: 26.3
    [Progress] Steps: 20000 | Elapsed: 27.7s | Recent 20-Ep Avg Reward: 25.1
    [Progress] Steps: 30000 | Elapsed: 41.2s | Recent 20-Ep Avg Reward: 27.1
    [Progress] Steps: 40000 | Elapsed: 54.7s | Recent 20-Ep Avg Reward: 44.5
    [Progress] Steps: 50000 | Elapsed: 73.3s | Recent 20-Ep Avg Reward: 42.4
    [Progress] Steps: 60000 | Elapsed: 86.1s | Recent 20-Ep Avg Reward: 45.5
    [Progress] Steps: 70000 | Elapsed: 98.6s | Recent 20-Ep Avg Reward: 39.3
    [Progress] Steps: 80000 | Elapsed: 111.6s | Recent 20-Ep Avg Reward: 43.9
    [Progress] Steps: 90000 | Elapsed: 124.5s | Recent 20-Ep Avg Reward: 52.1
    [Progress] Steps: 100000 | Elapsed: 142.5s | Recent 20-Ep Avg Reward: 49.0
    [Progress] Steps: 110000 | Elapsed: 155.1s | Recent 20-Ep Avg Reward: 48.5
    [Progress] Steps: 120000 | Elapsed: 167.5s | Recent 20-Ep Avg Reward: 46.1
    [Progress] Steps: 130000 | Elapsed: 180.1s | Recent 20-Ep Avg Reward: 51.0
    [Progress] Steps: 140000 | Elapsed: 198.1s | Recent 20-Ep Avg Reward: 51.0
    [Progress] Steps: 150000 | Elapsed: 210.8s | Recent 20-Ep Avg Reward: 46.1
    [Progress] Steps: 160000 | Elapsed: 223.4s | Recent 20-Ep Avg Reward: 43.7
    [Progress] Steps: 170000 | Elapsed: 236.2s | Recent 20-Ep Avg Reward: 52.0
    [Progress] Steps: 180000 | Elapsed: 248.8s | Recent 20-Ep Avg Reward: 50.8
    [Progress] Steps: 190000 | Elapsed: 266.7s | Recent 20-Ep Avg Reward: 49.0
    [Progress] Steps: 200000 | Elapsed: 279.7s | Recent 20-Ep Avg Reward: 41.9
    [Progress] Steps: 210000 | Elapsed: 292.5s | Recent 20-Ep Avg Reward: 40.4
    [Progress] Steps: 220000 | Elapsed: 305.4s | Recent 20-Ep Avg Reward: 44.9
    [Progress] Steps: 230000 | Elapsed: 323.2s | Recent 20-Ep Avg Reward: 47.1
    [Progress] Steps: 240000 | Elapsed: 336.0s | Recent 20-Ep Avg Reward: 43.9
    [Progress] Steps: 250000 | Elapsed: 348.4s | Recent 20-Ep Avg Reward: 51.4
    [Progress] Steps: 260000 | Elapsed: 361.4s | Recent 20-Ep Avg Reward: 44.8
    [Progress] Steps: 270000 | Elapsed: 374.1s | Recent 20-Ep Avg Reward: 40.2
