(base) PS D:\OneDrive\OneDrive - Dalhousie University\2026_Winter\ga_combine\source_code\multi_ppo_cartpole_4.5M_smoo> python ppo_cartpole_4.5M.py
=== Starting E2E PPO Vision Baseline (Strict Time-Equivalent) Tests ===
Target Score: 495.0 | Max Steps Allowed: 4500000


--- Running Seed 101 (1/5) with 16 parallel workers ---
    [Progress] Steps: 10000 | Elapsed: 8.9s | Recent 20-Ep Avg Reward: 23.5
    [Progress] Steps: 20000 | Elapsed: 17.2s | Recent 20-Ep Avg Reward: 19.7
    [Progress] Steps: 30000 | Elapsed: 25.5s | Recent 20-Ep Avg Reward: 30.2
    [Progress] Steps: 40000 | Elapsed: 34.1s | Recent 20-Ep Avg Reward: 28.6
    [Progress] Steps: 50000 | Elapsed: 46.5s | Recent 20-Ep Avg Reward: 36.5
    [Progress] Steps: 60000 | Elapsed: 55.1s | Recent 20-Ep Avg Reward: 56.8
    [Progress] Steps: 70000 | Elapsed: 63.5s | Recent 20-Ep Avg Reward: 64.3
    [Progress] Steps: 80000 | Elapsed: 72.1s | Recent 20-Ep Avg Reward: 68.7
    [Progress] Steps: 90000 | Elapsed: 80.4s | Recent 20-Ep Avg Reward: 92.0
    [Progress] Steps: 100000 | Elapsed: 92.4s | Recent 20-Ep Avg Reward: 123.5
    [Progress] Steps: 110000 | Elapsed: 100.8s | Recent 20-Ep Avg Reward: 151.6
    [Progress] Steps: 120000 | Elapsed: 109.2s | Recent 20-Ep Avg Reward: 165.3
    [Progress] Steps: 130000 | Elapsed: 117.6s | Recent 20-Ep Avg Reward: 167.1
    [Progress] Steps: 140000 | Elapsed: 129.1s | Recent 20-Ep Avg Reward: 231.8
    [Progress] Steps: 150000 | Elapsed: 137.2s | Recent 20-Ep Avg Reward: 188.7
    [Progress] Steps: 160000 | Elapsed: 145.3s | Recent 20-Ep Avg Reward: 276.2
    [Progress] Steps: 170000 | Elapsed: 154.8s | Recent 20-Ep Avg Reward: 149.1
    [Progress] Steps: 180000 | Elapsed: 167.2s | Recent 20-Ep Avg Reward: 252.9
    [Progress] Steps: 190000 | Elapsed: 182.4s | Recent 20-Ep Avg Reward: 254.8
    [Progress] Steps: 200000 | Elapsed: 190.8s | Recent 20-Ep Avg Reward: 364.9
    [Progress] Steps: 210000 | Elapsed: 199.2s | Recent 20-Ep Avg Reward: 309.8
    [Progress] Steps: 220000 | Elapsed: 207.5s | Recent 20-Ep Avg Reward: 333.6
    [Progress] Steps: 230000 | Elapsed: 219.4s | Recent 20-Ep Avg Reward: 383.4
    [Progress] Steps: 240000 | Elapsed: 227.8s | Recent 20-Ep Avg Reward: 416.6
    [Progress] Steps: 250000 | Elapsed: 239.3s | Recent 20-Ep Avg Reward: 426.4
    [Progress] Steps: 260000 | Elapsed: 252.1s | Recent 20-Ep Avg Reward: 307.1
    [Progress] Steps: 270000 | Elapsed: 265.1s | Recent 20-Ep Avg Reward: 311.6
    [Progress] Steps: 280000 | Elapsed: 283.8s | Recent 20-Ep Avg Reward: 439.1
    [Progress] Steps: 290000 | Elapsed: 293.1s | Recent 20-Ep Avg Reward: 404.9
    [Progress] Steps: 300000 | Elapsed: 305.5s | Recent 20-Ep Avg Reward: 386.7
    [Progress] Steps: 310000 | Elapsed: 318.0s | Recent 20-Ep Avg Reward: 441.8
    [Progress] Steps: 320000 | Elapsed: 336.5s | Recent 20-Ep Avg Reward: 458.1
    [Progress] Steps: 330000 | Elapsed: 349.1s | Recent 20-Ep Avg Reward: 431.4
    [Progress] Steps: 340000 | Elapsed: 361.8s | Recent 20-Ep Avg Reward: 318.1
    [Progress] Steps: 350000 | Elapsed: 371.7s | Recent 20-Ep Avg Reward: 332.1
    [Progress] Steps: 360000 | Elapsed: 380.1s | Recent 20-Ep Avg Reward: 462.4
    [Progress] Steps: 370000 | Elapsed: 395.8s | Recent 20-Ep Avg Reward: 477.1
    [Progress] Steps: 380000 | Elapsed: 408.4s | Recent 20-Ep Avg Reward: 473.2
    [Progress] Steps: 390000 | Elapsed: 418.5s | Recent 20-Ep Avg Reward: 402.2
    [Progress] Steps: 400000 | Elapsed: 428.6s | Recent 20-Ep Avg Reward: 365.7
    [Progress] Steps: 410000 | Elapsed: 447.0s | Recent 20-Ep Avg Reward: 476.7
    [Progress] Steps: 420000 | Elapsed: 459.8s | Recent 20-Ep Avg Reward: 449.3
    [Progress] Steps: 430000 | Elapsed: 472.8s | Recent 20-Ep Avg Reward: 481.6
    [Progress] Steps: 440000 | Elapsed: 485.3s | Recent 20-Ep Avg Reward: 305.1
    [Progress] Steps: 450000 | Elapsed: 497.7s | Recent 20-Ep Avg Reward: 405.1
    [Progress] Steps: 460000 | Elapsed: 516.3s | Recent 20-Ep Avg Reward: 431.2
    [Progress] Steps: 470000 | Elapsed: 526.1s | Recent 20-Ep Avg Reward: 365.4
    [Progress] Steps: 480000 | Elapsed: 537.8s | Recent 20-Ep Avg Reward: 255.7
    [Progress] Steps: 490000 | Elapsed: 550.7s | Recent 20-Ep Avg Reward: 429.7
    [Progress] Steps: 500000 | Elapsed: 569.0s | Recent 20-Ep Avg Reward: 460.9
    [Progress] Steps: 510000 | Elapsed: 581.5s | Recent 20-Ep Avg Reward: 424.9
    [Progress] Steps: 520000 | Elapsed: 594.1s | Recent 20-Ep Avg Reward: 217.7
    [Progress] Steps: 530000 | Elapsed: 606.5s | Recent 20-Ep Avg Reward: 395.2
    [Progress] Steps: 540000 | Elapsed: 619.1s | Recent 20-Ep Avg Reward: 447.2
    [Progress] Steps: 550000 | Elapsed: 637.7s | Recent 20-Ep Avg Reward: 357.4
    [Progress] Steps: 560000 | Elapsed: 650.3s | Recent 20-Ep Avg Reward: 449.8
    [Progress] Steps: 570000 | Elapsed: 663.2s | Recent 20-Ep Avg Reward: 485.1
    [Progress] Steps: 580000 | Elapsed: 675.9s | Recent 20-Ep Avg Reward: 490.9
    [Progress] Steps: 590000 | Elapsed: 692.8s | Recent 20-Ep Avg Reward: 493.4
    [Progress] Steps: 600000 | Elapsed: 705.3s | Recent 20-Ep Avg Reward: 481.0
    [Progress] Steps: 610000 | Elapsed: 717.8s | Recent 20-Ep Avg Reward: 500.0

    [SUCCESS] Target reward 495.0 reached at step 610000!
    [SUCCESS] Time taken to converge: 717.79 seconds.
[*] Final Result for Seed 101: Stopped at 610000 steps in 718.47 seconds
[*] Data strictly saved to: ppo_results_seed_101\ppo_learning_curve.csv
[*] Model successfully saved to: ppo_results_seed_101\final_ppo_model.zip

--- Running Seed 102 (2/5) with 16 parallel workers ---
    [Progress] Steps: 10000 | Elapsed: 14.0s | Recent 20-Ep Avg Reward: 22.6
    [Progress] Steps: 20000 | Elapsed: 26.9s | Recent 20-Ep Avg Reward: 21.0
    [Progress] Steps: 30000 | Elapsed: 39.3s | Recent 20-Ep Avg Reward: 27.1
    [Progress] Steps: 40000 | Elapsed: 48.3s | Recent 20-Ep Avg Reward: 37.5
    [Progress] Steps: 50000 | Elapsed: 67.1s | Recent 20-Ep Avg Reward: 42.6
    [Progress] Steps: 60000 | Elapsed: 80.0s | Recent 20-Ep Avg Reward: 69.5
    [Progress] Steps: 70000 | Elapsed: 92.7s | Recent 20-Ep Avg Reward: 77.7
    [Progress] Steps: 80000 | Elapsed: 105.5s | Recent 20-Ep Avg Reward: 48.5
    [Progress] Steps: 90000 | Elapsed: 115.1s | Recent 20-Ep Avg Reward: 73.7
    [Progress] Steps: 100000 | Elapsed: 132.5s | Recent 20-Ep Avg Reward: 95.2
    [Progress] Steps: 110000 | Elapsed: 145.1s | Recent 20-Ep Avg Reward: 147.6
    [Progress] Steps: 120000 | Elapsed: 157.4s | Recent 20-Ep Avg Reward: 216.2
    [Progress] Steps: 130000 | Elapsed: 170.0s | Recent 20-Ep Avg Reward: 269.0
    [Progress] Steps: 140000 | Elapsed: 188.2s | Recent 20-Ep Avg Reward: 307.1
    [Progress] Steps: 150000 | Elapsed: 200.6s | Recent 20-Ep Avg Reward: 360.9
    [Progress] Steps: 160000 | Elapsed: 213.0s | Recent 20-Ep Avg Reward: 410.2
    [Progress] Steps: 170000 | Elapsed: 225.5s | Recent 20-Ep Avg Reward: 384.2
    [Progress] Steps: 180000 | Elapsed: 237.9s | Recent 20-Ep Avg Reward: 362.2
    [Progress] Steps: 190000 | Elapsed: 256.0s | Recent 20-Ep Avg Reward: 451.8
    [Progress] Steps: 200000 | Elapsed: 268.9s | Recent 20-Ep Avg Reward: 425.5
    [Progress] Steps: 210000 | Elapsed: 281.8s | Recent 20-Ep Avg Reward: 370.8
