(base) PS D:\OneDrive\OneDrive - Dalhousie University\2026_Winter\ga_combine\source_code\multi_ppo_cartpole_noise> python ppo_noisy_train.py
=== Starting E2E PPO Vision Baseline (Strict Time-Equivalent) Tests IN NOISY ENVIRONMENT ===
Target Score: 495.0 | Max Steps Allowed: 1000000


--- Running NOISY Seed 101 (1/5) with 16 parallel workers ---
    [Progress] Steps: 10000 | Elapsed: 35.5s | Recent 20-Ep Avg Reward: 20.0
    [Progress] Steps: 20000 | Elapsed: 70.6s | Recent 20-Ep Avg Reward: 28.9
    [Progress] Steps: 30000 | Elapsed: 105.7s | Recent 20-Ep Avg Reward: 23.0
    [Progress] Steps: 40000 | Elapsed: 139.9s | Recent 20-Ep Avg Reward: 37.9
    [Progress] Steps: 50000 | Elapsed: 177.1s | Recent 20-Ep Avg Reward: 47.5
    [Progress] Steps: 60000 | Elapsed: 209.9s | Recent 20-Ep Avg Reward: 61.1
    [Progress] Steps: 70000 | Elapsed: 242.7s | Recent 20-Ep Avg Reward: 65.0
    [Progress] Steps: 80000 | Elapsed: 275.3s | Recent 20-Ep Avg Reward: 63.0
    [Progress] Steps: 90000 | Elapsed: 306.9s | Recent 20-Ep Avg Reward: 94.4
    [Progress] Steps: 100000 | Elapsed: 342.0s | Recent 20-Ep Avg Reward: 105.8
    [Progress] Steps: 110000 | Elapsed: 373.7s | Recent 20-Ep Avg Reward: 105.3
    [Progress] Steps: 120000 | Elapsed: 404.7s | Recent 20-Ep Avg Reward: 137.4
    [Progress] Steps: 130000 | Elapsed: 435.2s | Recent 20-Ep Avg Reward: 143.1
    [Progress] Steps: 140000 | Elapsed: 469.5s | Recent 20-Ep Avg Reward: 147.7
    [Progress] Steps: 150000 | Elapsed: 500.0s | Recent 20-Ep Avg Reward: 190.1
    [Progress] Steps: 160000 | Elapsed: 530.5s | Recent 20-Ep Avg Reward: 161.5
    [Progress] Steps: 170000 | Elapsed: 561.0s | Recent 20-Ep Avg Reward: 144.4
    [Progress] Steps: 180000 | Elapsed: 591.8s | Recent 20-Ep Avg Reward: 205.2
    [Progress] Steps: 190000 | Elapsed: 625.8s | Recent 20-Ep Avg Reward: 192.8
    [Progress] Steps: 200000 | Elapsed: 655.7s | Recent 20-Ep Avg Reward: 199.1
    [Progress] Steps: 210000 | Elapsed: 686.1s | Recent 20-Ep Avg Reward: 246.8
