Timestep,Reward
10000,24.05
20000,21.3
30000,23.2
40000,21.75
50000,44.55
60000,39.7
70000,60.9
80000,62.0
90000,79.75
100000,108.35
110000,110.0
120000,120.65
130000,110.95
140000,140.5
150000,115.7
160000,131.25
170000,132.9
180000,127.05
190000,153.1
200000,134.7
210000,108.75
220000,78.15
230000,99.75
240000,78.35
250000,87.1
260000,70.95
270000,105.65
280000,70.55
290000,81.55
300000,131.95
310000,94.25
320000,92.05
330000,107.5
340000,92.85
350000,86.6
360000,91.0
370000,88.45
380000,105.05
390000,81.35
400000,100.1
410000,94.0
420000,87.7
430000,66.1
440000,90.5
450000,84.55
460000,91.6
470000,90.55
480000,78.15
490000,80.35
500000,84.3
510000,98.5
520000,99.65
530000,94.0
540000,93.85
550000,94.9
560000,89.55
570000,94.5
580000,73.6
590000,103.55
600000,106.9
610000,107.65
620000,86.75
630000,94.4
640000,89.3
650000,94.9
660000,89.55
670000,89.2
680000,94.75
690000,109.8
700000,104.5
710000,114.65
720000,71.85
730000,84.15
740000,92.75
750000,91.8
760000,98.75
770000,79.9
780000,92.35
790000,91.25
800000,81.75
810000,94.35
820000,84.45
830000,118.55
840000,123.35
850000,134.1
860000,106.1
870000,119.35
880000,75.05
890000,95.9
900000,101.25
910000,87.1
920000,139.75
930000,126.25
940000,105.55
950000,133.75
960000,104.5
970000,91.6
980000,84.85
990000,100.35
1000000,111.85
